model,name,name_out,loaded,balanced,feasible,solved,min_pressure,location
602001 Dundee LP,W:\Scotland Networks_471\North_471\602001 Dundee LP\FY-1\602001_DUNDEE_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602001 Dundee LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,13.19,6.02001E+13
602002 Rosyth LP,W:\Scotland Networks_471\North_471\602002 Rosyth LP\FY-1\602002_Rosyth_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602002 Rosyth LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.31,6.02002E+13
602003 Kirkcaldy LP,W:\Scotland Networks_471\North_471\602003 Kirkcaldy LP\FY1\602003 - Kirkcaldy - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602003 Kirkcaldy LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.72,6.02003E+13
602004 Dunfermline LP,W:\Scotland Networks_471\North_471\602004 Dunfermline LP\FY-1\602004Dunfermline FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602004 Dunfermline LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.39,6.02004E+13
602005 Perth LP,W:\Scotland Networks_471\North_471\602005 Perth LP\FY-1\602005_Perth_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602005 Perth LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.08,6.02005E+13
602007 Brechin LP,W:\Scotland Networks_471\North_471\602007 Brechin LP\FY1\602007_Brechin_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602007 Brechin LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,17.98,6.02007E+13
602008 Forfar LP,W:\Scotland Networks_471\North_471\602008 Forfar LP\FY1\602008 Forfar - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602008 Forfar LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.25,6.02008E+13
602009 Leven - Buckhaven LP,W:\Scotland Networks_471\North_471\602009 Leven - Buckhaven LP\FY-1\602009 - Leven.Buckhaven - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602009 Leven - Buckhaven LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.59,6.02009E+13
602010 St. Andrews LP,W:\Scotland Networks_471\North_471\602010 St. Andrews LP\FY1\602010 St Andrews LP - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602010 St. Andrews LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.74,6.0201E+13
602011 Montrose LP,W:\Scotland Networks_471\North_471\602011 Montrose LP\FY-1\602011_MONTROSE_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602011 Montrose LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.36,6.02011E+13
602012 Glenrothes LP,W:\Scotland Networks_471\North_471\602012 Glenrothes LP\FY-1\602012GLENROTHES-FY1.mdb,S:\TEST AREA\ac00418\ASP_models_out\602012 Glenrothes LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.22,602012-285338
602013 Cowdenbeath - Crossgates LP,W:\Scotland Networks_471\North_471\602013 Cowdenbeath - Crossgates LP\FY1\602013_COWDENBEATH_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602013 Cowdenbeath - Crossgates LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.22,6.02013E+13
