",model,name,name_out,loaded,balanced,feasible,solved,min_pressure,location"
" ,643027 Armadale LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643027 Armadale LP\FY-1\643027_ARMADALE_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643027 Armadale LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.0396,64302700000666"
" ,643028 Kelso LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643028 Kelso LP\FY-1\643028_KELSO-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643028 Kelso LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.7504,64302800000281"
" ,643029 Annan LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643029 Annan LP\FY-1\643029 - Annan - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643029 Annan LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.3831,64302900001017"
" ,643030 Moffat LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643030 Moffat LP\FY-1\643030 - Moffat - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643030 Moffat LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,27.4122,64303000001005"
" ,643031 LANGHOLM,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643031 LANGHOLM\FY-1\643031 - Langholm - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643031 LANGHOLM_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.3039,64303100000055"
" ,643032 Peebles LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643032 Peebles LP\FY-1\643032PEEBLES-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643032 Peebles LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.0423,64303200021078"
" ,643033 Selkirk LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643033 Selkirk LP\FY-1\643033 Selkirk FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643033 Selkirk LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,20.3547,64303300000414"
" ,643034 Melrose LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643034 Melrose LP\FY1\643034_MELROSE_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643034 Melrose LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,24.3203,64303400002240"
" ,643036 Gullane LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643036 Gullane LP\FY-1\643036-Gullane-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643036 Gullane LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.3837,64303600000226"
" ,643037 Arniston-Gorebridge LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643037 Arniston-Gorebridge LP\FY1\643037 - Arniston Gorebridge - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643037 Arniston-Gorebridge LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.9254,64303700000408"
" ,643038 Blackridge LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643038 Blackridge LP\FY-1\643038_BLACKRIDGE_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643038 Blackridge LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.5955,64303800000058"
" ,643039 Castle Douglas LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643039 Castle Douglas LP\FY1\643039_CASTLE_DOUGLAS_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643039 Castle Douglas LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.3948,64303900000815"
" ,643040 Dalbeattie LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643040 Dalbeattie LP\FY-1\643040-DALBEATTIE-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643040 Dalbeattie LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.3553,64304000000286"
" ,643041 Earlston LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643041 Earlston LP\FY-1\643041_EARLSTON_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643041 Earlston LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.1532,64304100000184"
" ,643042 Newtongrange LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643042 Newtongrange LP\FY1\643042_Newtongrange_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643042 Newtongrange LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.6074,64304200000676"
