",model,name,name_out,loaded,balanced,feasible,solved,min_pressure,location"
" ,820001_LYNDHURST,\\vpoct502\Syn471\Southern Networks_471\S2 (82) district LP models_471\820001_LYNDHURST\FY1\820001_Lyndhurst_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\820001_LYNDHURST_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.29,82000100000211"
" ,820002_CHANDLERS_FORD,\\vpoct502\Syn471\Southern Networks_471\S2 (82) district LP models_471\820002_CHANDLERS_FORD\FY1\820002_Chandlers Ford_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\820002_CHANDLERS_FORD_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,19.7107,82000200006511"
" ,820004_ANDOVER,\\vpoct502\Syn471\Southern Networks_471\S2 (82) district LP models_471\820004_ANDOVER\FY1\820004_ANDOVER_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\820004_ANDOVER_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.0878,82000400015919"
" ,820007_SELSEY,\\vpoct502\Syn471\Southern Networks_471\S2 (82) district LP models_471\820007_SELSEY\FY1\820007_SELSEY_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\820007_SELSEY_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,25.3086,82000700000550"
" ,820008_WIMBORNE,\\vpoct502\Syn471\Southern Networks_471\S2 (82) district LP models_471\820008_WIMBORNE\FY1\820008_WIMBORNE_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\820008_WIMBORNE_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,20.7102,82000800000870"
" ,820009_WEYMOUTH,\\vpoct502\Syn471\Southern Networks_471\S2 (82) district LP models_471\820009_WEYMOUTH\FY1\820009_WEYMOUTH_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\820009_WEYMOUTH_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,19.348,82000900002337"
" ,820010_PETERSFIELD,\\vpoct502\Syn471\Southern Networks_471\S2 (82) district LP models_471\820010_PETERSFIELD\FY1\820010_PETERSFIELD_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\820010_PETERSFIELD_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.7847,82001000001814"
" ,820016_RINGWOOD,\\vpoct502\Syn471\Southern Networks_471\S2 (82) district LP models_471\820016_RINGWOOD\FY1\820016_RINGWOOD_FY1.mdb,S:\TEST AREA\ac00418\ASP_models_out\820016_RINGWOOD_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.2717,82001600000832"
" ,820018_GOSPORT,\\vpoct502\Syn471\Southern Networks_471\S2 (82) district LP models_471\820018_GOSPORT\FY1\820018_GOSPORT_FY1.mdb,S:\TEST AREA\ac00418\ASP_models_out\820018_GOSPORT_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.139,82001800001686"
" ,820019_WINCHESTER,\\vpoct502\Syn471\Southern Networks_471\S2 (82) district LP models_471\820019_WINCHESTER\FY1\820019 - Winchester - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\820019_WINCHESTER_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,11.1156,82001900014466"
