"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)"
"60606500000016","Nodes","16","21.000000","52.909444","DDS demands","Known Flow","405299.896442","856589.587295","","0.000000","","","-9.279999","","","","-8.298341","-9.279999","","","","","D1 PROFILE","","",""
"60606500000006","Nodes","6","21.000000","51.925233","DDS demands","Known Flow","405354.830457","856763.132343","","0.000000","","","-1.559999","","","","-1.394979","-1.559999","","","","","D1 PROFILE","","",""
"60606500000008","Nodes","8","21.000000","50.485416","Default Known Flow Node","Known Flow","405384.896465","856750.782339","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60606500000009","Nodes","9","21.000000","50.080185","DDS demands","Known Flow","405440.869480","856869.147371","","0.000000","","","-6.959999","","","","-6.223756","-6.959999","","","","","D1 PROFILE","","",""
"60606500000043","Nodes","43","21.000000","52.909444","Default Known Flow Node","Known Flow","405312.879445","856584.334294","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60606500000015","Nodes","15","21.000000","52.983824","Default Known Flow Node","Known Flow","405285.987881","856597.849943","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60606500000018","Nodes","18","21.000000","51.579698","DDS demands","Known Flow","405350.229455","856606.092300","","0.000000","","-14.529999","-5.110000","","","","-17.562439","-19.639999","","","","C2 PROFILE","D1 PROFILE","","",""
"60606500000013","Nodes","13","21.000000","54.073483","Default Known Flow Node","Known Flow","405255.280430","856611.233301","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60606500000014","Nodes","14","21.000000","53.974129","DDS demands","Known Flow","405239.358425","856570.189290","","0.000000","","","-6.170000","","","","-5.517324","-6.170000","","","","","D1 PROFILE","","",""
"60606500000012","Nodes","12","21.000000","55.563918","DDS demands","Known Flow","405293.482440","856763.500343","","0.000000","","-9.819999","","","","","-8.781219","-9.819999","","","","C2 PROFILE","","","",""
"60606500000011","Nodes","11","21.000000","62.881998","DDS demands","Known Flow","405112.831391","856752.481340","","0.000000","","","-18.579999","","","","-16.614568","-18.579999","","","","","D1 PROFILE","","",""
