"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"60206700000038","Nodes","38","21.000000","27.721846","DDS demands","Known Flow","333296.875000","732981.250000","","0.000000","","","","-21.389999","","-19.127321","-21.389999","","","","","","D1 PROFILE",""
"60206700000085","Nodes","85","21.000000","27.583352","Default Known Flow Node","Known Flow","333300.250000","732969.250000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60206700000089","Nodes","89","21.000000","24.234885","DDS demands","Known Flow","333394.250000","732850.750000","","0.000000","","","","-1.070000","","-0.956813","-1.070000","","","","","","D1 PROFILE",""
"60206700001003","Nodes","1003","21.000000","23.811409","Default Known Flow Node","Known Flow","333410.281250","732854.875000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60206700000220","Nodes","-16","21.000000","23.386198","Default Known Flow Node","Known Flow","333426.375000","732859.000000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60206700000044","Nodes","44","21.000000","27.079101","DDS demands","Known Flow","333277.750000","733246.125000","","0.000000","","","","-13.020000","","-11.642717","-13.020000","","","","","","D1 PROFILE",""
"60206700001012","Nodes","1012","21.000000","25.880449","Default Known Flow Node","Known Flow","333290.218750","733445.250000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60206700000099","Nodes","99","21.000000","25.733081","DDS demands","Known Flow","333295.000000","733477.250000","","0.000000","","","","-13.340000","","-11.928867","-13.340000","","","","","","D1 PROFILE",""
"60206700000032","Nodes","","21.000000","41.547649","Default Known Flow Node","Known Flow","334280.783156","732952.415817","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60206700001011","Nodes","1011","21.000000","41.225535","Default Known Flow Node","Known Flow","334278.656250","732918.187500","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60206700000031","Nodes","31","21.000000","41.311705","Default Known Flow Node","Known Flow","334280.625000","732947.000000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60206700000086","Nodes","86","21.000000","26.050426","Default Known Flow Node","Known Flow","333347.125000","732842.000000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60206700000232","Nodes","-33","21.000000","26.599445","Default Known Flow Node","Known Flow","333309.750000","732917.500000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60206700000090","Nodes","90","21.000000","25.918175","Default Known Flow Node","Known Flow","333359.750000","732779.750000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60206700000087","Nodes","87","21.000000","24.262744","DDS demands","Known Flow","333377.375000","732899.000000","","0.000000","","","","-5.619999","","-5.025504","-5.619999","","","","","","D1 PROFILE",""
