"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)"
"60210100000023","Nodes","23","21.000000","36.137432","DDS demands","Known Flow","347351.770000","752359.885000","","0.000000","","-2.539999","","-2.271313","-2.539999","","","","D1 PROFILE",""
"60210100000024","Nodes","24","21.000000","36.045813","DDS demands","Known Flow","347316.520000","752445.635000","","0.000000","","0.000000","","0.000000","0.000000","","","","D1 PROFILE",""
"60210100000002","Nodes","2","21.000000","48.273931","DDS demands","Known Flow","347413.020000","752022.885000","","0.000000","","-5.010000","","-4.480031","-5.010000","","","","D1 PROFILE",""
"60210100000001","Nodes","LUNANHEAD VILLAGE DG, Tel, Site I.D 1646","21.000000","49.999998","Default Known Pressure Node","Known Pressure","347402.770000","752008.635000","","999998.967025","","","","128.964102","144.219995","","","","",""
"60210100000028","Nodes","28","21.000000","36.505776","DDS demands","Known Flow","347470.395000","752303.385000","","0.000000","","-0.710000","","-0.634894","-0.710000","","","","D1 PROFILE",""
"60210100000027","Nodes","27","21.000000","36.266137","DDS demands","Known Flow","347454.395000","752320.010000","","0.000000","","-2.329999","","-2.083527","-2.329999","","","","D1 PROFILE",""
"60210100000029","Nodes","29","21.000000","36.519941","DDS demands","Known Flow","347483.020000","752307.385000","","0.000000","","-0.560000","","-0.500762","-0.560000","","","","D1 PROFILE",""
"60210100000026","Nodes","26","21.000000","36.534222","DDS demands","Known Flow","347456.145000","752296.010000","","0.000000","","-1.049999","","-0.938928","-1.049999","","","","D1 PROFILE",""
"60210100000032","Nodes","32","21.000000","36.359092","DDS demands","Known Flow","347462.020000","752287.260000","","0.000000","","-3.219999","","-2.879381","-3.219999","","","","D1 PROFILE",""
"60210100000019","Nodes","19","21.000000","39.045485","DDS demands","Known Flow","347433.895000","752164.260000","","0.000000","","-0.779999","","-0.697489","-0.779999","","","","D1 PROFILE",""
"60210100000018","Nodes","18","21.000000","38.923434","DDS demands","Known Flow","347438.520000","752153.510000","","0.000000","","-2.470000","","-2.208718","-2.470000","","","","D1 PROFILE",""
"60210100000020","Nodes","20","21.000000","39.129798","DDS demands","Known Flow","347453.270000","752202.760000","","0.000000","","-2.109999","","-1.886799","-2.109999","","","","D1 PROFILE",""
"60210100000017","Nodes","17","21.000000","42.320677","DDS demands","Known Flow","347483.520000","752146.135000","","0.000000","-2.509999","-3.049999","","-4.971851","-5.559999","","","C1 PROFILE","D1 PROFILE",""
"60210100000021","Nodes","21","21.000000","37.166623","DDS demands","Known Flow","347431.770000","752251.135000","","0.000000","","-5.879999","","-5.258001","-5.879999","","","","D1 PROFILE",""
"60210100000030","Nodes","30","21.000000","36.913267","DDS demands","Known Flow","347441.145000","752255.635000","","0.000000","","-4.070000","","-3.639466","-4.070000","","","","D1 PROFILE",""
"60210100000022","Nodes","22","21.000000","36.706192","DDS demands","Known Flow","347420.895000","752275.260000","","0.000000","","-4.360000","","-3.898790","-4.360000","","","","D1 PROFILE",""
"60210100000025","Nodes","25","21.000000","35.921617","DDS demands","Known Flow","347312.145000","752455.510000","","0.000000","","-2.589999","","-2.316024","-2.589999","","","","D1 PROFILE",""
"60210100000003","Nodes","3","21.000000","45.517042","DDS demands","Known Flow","347558.770000","752047.885000","","0.000000","","-7.679999","","-6.867593","-7.679999","","","","D1 PROFILE",""
"60210100000016","Nodes","16","21.000000","41.602886","DDS demands","Known Flow","347501.895000","752159.010000","","0.000000","","-1.090000","","-0.974697","-1.090000","","","","D1 PROFILE",""
"60210100000007","Nodes","7","21.000000","43.728402","DDS demands","Known Flow","347506.020000","752108.885000","","0.000000","","-2.589999","","-2.316024","-2.589999","","","","D1 PROFILE",""
"60210100000004","Nodes","4","21.000000","45.495142","DDS demands","Known Flow","347563.895000","752034.260000","","0.000000","","-5.480000","","-4.900314","-5.480000","","","","D1 PROFILE",""
"60210100000005","Nodes","5","21.000000","44.671908","DDS demands","Known Flow","347636.270000","752075.510000","","0.000000","","-5.719999","","-5.114926","-5.719999","","","","D1 PROFILE",""
"60210100000006","Nodes","6","21.000000","44.751404","DDS demands","Known Flow","347666.645000","752099.635000","","0.000000","","-1.159999","","-1.037292","-1.159999","","","","D1 PROFILE",""
"60210100000009","Nodes","9","21.000000","42.435684","DDS demands","Known Flow","347593.020000","752122.760000","","0.000000","","-8.609999","","-7.699215","-8.609999","","","","D1 PROFILE",""
"60210100000010","Nodes","10","21.000000","39.500664","DDS demands","Known Flow","347721.645000","752250.385000","","0.000000","","-0.560000","","-0.500762","-0.560000","","","","D1 PROFILE",""
"60210100000012","Nodes","12","21.000000","39.829431","DDS demands","Known Flow","347608.895000","752249.010000","","0.000000","","-0.810000","","-0.724316","-0.810000","","","","D1 PROFILE",""
"60210100000011","Nodes","11","21.000000","39.781937","DDS demands","Known Flow","347637.895000","752247.385000","","0.000000","","-1.249999","","-1.117772","-1.249999","","","","D1 PROFILE",""
"60210100000014","Nodes","14","21.000000","39.476027","DDS demands","Known Flow","347555.895000","752285.260000","","0.000000","","-9.430000","","-8.432475","-9.430000","","","","D1 PROFILE",""
"60210100000013","Nodes","13","21.000000","40.394706","DDS demands","Known Flow","347545.520000","752199.635000","","0.000000","","-4.239999","","-3.791483","-4.239999","","","","D1 PROFILE",""
"60210100000015","Nodes","15","21.000000","40.341421","DDS demands","Known Flow","347513.520000","752242.385000","","0.000000","","-6.350000","","-5.678283","-6.350000","","","","D1 PROFILE",""
