"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)"
"60208200000002","Nodes","2","21.000000","49.526540","DDS demands","Known Flow","359110.690314","749657.287346","","0.000000","0.000000","","-3.469999","","","0.000000","-3.102936","-3.469999","","","C1 PROFILE","","D1 PROFILE","","","I2 PROFILE"
"60208200000041","Nodes","41","21.000000","49.584235","DDS demands","Known Flow","359100.257606","749647.517319","","0.000000","","","-4.090000","","","-5.810000","-8.852757","-9.899999","","","","","D1 PROFILE","","","I2 PROFILE"
"60208200001006","Nodes","-310199","21.000000","46.817334","Default Known Flow Node","Known Flow","359506.370740","749808.117542","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60208200001014","Nodes","-820188","21.000000","46.373720","Default Known Flow Node","Known Flow","359529.780975","749775.259059","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60208200000006","Nodes","6","21.000000","49.180792","DDS demands","Known Flow","359277.215000","749776.265000","","0.000000","","","-16.739999","","","","-14.969207","-16.739999","","","","","D1 PROFILE","","",""
"60208200000007","Nodes","7","21.000000","49.042997","DDS demands","Known Flow","359366.840000","749832.765000","","0.000000","","","-8.640000","","","","-7.726043","-8.640000","","","","","D1 PROFILE","","",""
"60208200000003","Nodes","3","21.000000","49.512387","DDS demands","Known Flow","359164.306874","749661.345970","","0.000000","","-0.880000","-6.659999","","","","-6.742402","-7.539999","","","","C4 PROFILE","D1 PROFILE","","",""
"60208200000004","Nodes","4","21.000000","47.499622","DDS demands","Known Flow","359346.965000","749675.890000","","0.000000","","-2.769999","-1.860000","","","","-4.140228","-4.630000","","","","C4 PROFILE","D1 PROFILE","","",""
"60208200000005","Nodes","5","21.000000","47.369475","DDS demands","Known Flow","359314.590000","749728.890000","","0.000000","","","-4.650000","","","","-4.158113","-4.650000","","","","","D1 PROFILE","","",""
"60208200000009","Nodes","9","21.000000","46.533863","DDS demands","Known Flow","359452.373256","749684.645084","","0.000000","","","-16.290001","","","","-14.566810","-16.290001","","","","","D1 PROFILE","","",""
"60208200000010","Nodes","10","21.000000","46.084174","DDS demands","Known Flow","359402.136151","749768.597956","","0.000000","","","-8.760000","","","","-7.833349","-8.760000","","","","","D1 PROFILE","","",""
"60208200000035","Nodes","35","21.000000","49.121819","DDS demands","Known Flow","359427.609836","749800.314131","","0.000000","","","-0.910000","","","","-0.813738","-0.910000","","","","","D1 PROFILE","","",""
"60208200000015","Nodes","15","21.000000","49.017365","DDS demands","Known Flow","359452.052875","749884.812838","","0.000000","","","-10.119999","","","","-9.049484","-10.119999","","","","","D1 PROFILE","","",""
"60208200000016","Nodes","16","21.000000","47.242706","DDS demands","Known Flow","359485.791155","749836.844808","","0.000000","","","-8.359999","","","","-7.475661","-8.359999","","","","","D1 PROFILE","","",""
"60208200000039","Nodes","39","21.000000","49.825978","Default Known Flow Node","Known Flow","359006.582552","749643.139420","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60208200000038","Nodes","38","21.000000","49.604848","DDS demands","Known Flow","359005.593027","749670.186442","","0.000000","","","-1.990000","","","","-1.779493","-1.990000","","","","","D1 PROFILE","","",""
"60208200000037","Nodes","37","21.000000","49.720784","DDS demands","Known Flow","359047.243043","749645.988053","","0.000000","","","-2.319999","","","","-2.074585","-2.319999","","","","","D1 PROFILE","","",""
"60208200000036","Nodes","36","21.000000","49.678760","Default Known Flow Node","Known Flow","359042.685229","749689.587134","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60208200000042","Nodes","42","21.000000","49.584235","Default Known Flow Node","Known Flow","359097.873607","749629.304201","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60208200001012","Nodes","-312408","21.000000","49.510887","Default Known Flow Node","Known Flow","359104.388766","749668.074741","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60208200000018","Nodes","18","21.000000","46.053122","DDS demands","Known Flow","359620.215000","749980.140000","","0.000000","","","-8.619999","","","","-7.708158","-8.619999","","","","","D1 PROFILE","","",""
"60208200000017","Nodes","17","21.000000","47.175905","DDS demands","Known Flow","359556.340000","749864.015000","","0.000000","","","-3.579999","","","","-3.201299","-3.579999","","","","","D1 PROFILE","","",""
"60208200000030","Nodes","30","21.000000","45.420429","DDS demands","Known Flow","359905.965000","749705.015000","","0.000000","","","","","-17.139999","","0.000000","0.000000","","","","","","","DM PROFILE",""
"60208200000028","Nodes","28","21.000000","45.420429","DDS demands","Known Flow","359765.715000","749711.140000","","0.000000","","","-5.789999","","","","-5.177521","-5.789999","","","","","D1 PROFILE","","",""
"60208200000011","Nodes","11","21.000000","45.931326","DDS demands","Known Flow","359583.907580","749697.186691","","0.000000","","","-9.450000","","","","-8.450359","-9.450000","","","","","D1 PROFILE","","",""
"60208200000012","Nodes","12","21.000000","45.889256","DDS demands","Known Flow","359553.382470","749742.706592","","0.000000","","","-7.159999","","","","-6.402599","-7.159999","","","","","D1 PROFILE","","",""
"60208200000013","Nodes","13","21.000000","45.659115","DDS demands","Known Flow","359602.718160","749747.541105","","0.000000","","","-5.780000","","","","-5.168579","-5.780000","","","","","D1 PROFILE","","",""
"60208200000152","Nodes","152","21.000000","45.659115","Default Known Flow Node","Known Flow","359657.336576","749752.284502","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60208200000023","Nodes","23","21.000000","44.980575","Default Known Flow Node","Known Flow","359697.340000","749784.765000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60208200000053","Nodes","53","21.000000","44.980575","Default Known Flow Node","Known Flow","359692.715000","749797.765000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60208200001008","Nodes","-310203","21.000000","44.875966","Default Known Flow Node","Known Flow","359655.090000","749781.640000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60208200000022","Nodes","22","21.000000","45.045330","DDS demands","Known Flow","359701.840000","749758.640000","","0.000000","","","-2.059999","","","","-1.842088","-2.059999","","","","","D1 PROFILE","","",""
"60208200001009","Nodes","-310207","21.000000","45.044862","Default Known Flow Node","Known Flow","359701.715000","749759.640000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60208200000025","Nodes","25","21.000000","44.463933","DDS demands","Known Flow","359802.921534","749805.890963","","0.000000","","","-12.260000","","","","-10.963111","-12.260000","","","","","D1 PROFILE","","",""
"60208200000021","Nodes","21","21.000000","45.486384","DDS demands","Known Flow","359706.590000","749706.265000","","0.000000","","","-4.090000","","","","-3.657351","-4.090000","","","","","D1 PROFILE","","",""
"60208200000029","Nodes","29","21.000000","45.377813","DDS demands","Known Flow","359783.840000","749664.015000","","0.000000","","","-5.150000","","","","-4.605222","-5.150000","","","","","D1 PROFILE","","",""
"60208200000026","Nodes","26","21.000000","44.002187","DDS demands","Known Flow","359781.996893","749861.186902","","0.000000","","","-9.729999","","","","-8.700739","-9.729999","","","","","D1 PROFILE","","",""
"60208200000048","Nodes","48","21.000000","44.002187","Default Known Flow Node","Known Flow","359745.841856","749848.837933","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60208200000027","Nodes","27","21.000000","43.915331","DDS demands","Known Flow","359779.389888","749918.300884","","0.000000","","","-3.010000","","","","-2.691595","-3.010000","","","","","D1 PROFILE","","",""
"60208200000032","Nodes","32","21.000000","32.423550","DDS demands","Known Flow","359747.556990","749928.797507","","0.000000","","","-5.929999","","","","-5.302711","-5.929999","","","","","D1 PROFILE","","",""
"60208200000047","Nodes","47","21.000000","32.423550","Default Known Flow Node","Known Flow","359710.340000","749913.390000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60208200000054","Nodes","54","21.000000","32.423550","Default Known Flow Node","Known Flow","359761.964121","749891.476179","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
