"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(TT)"
"60204500000021","Nodes","","21.000000","21.325967","DDS demands","Known Flow","348049.747195","699469.471816","","0.000000","","","","","-10.180000","","","","-9.103139","-10.180000","","","","","","","","D1 PROFILE","","","",""
"60204500000007","Nodes","","21.000000","21.452991","DDS demands","Known Flow","348006.540394","699434.509541","","0.000000","","","","","-0.970000","","","","-0.867391","-0.970000","","","","","","","","D1 PROFILE","","","",""
"60204500001003","Nodes","","21.000000","23.274133","Default Known Flow Node","Known Flow","348276.304925","699995.715685","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60204500000029","Nodes","","21.000000","23.331201","DDS demands","Known Flow","348346.483944","700045.305698","","0.000000","","","","-3.209999","-11.499999","","","","-13.153945","-14.709999","","","","","","","C4 PROFILE","D1 PROFILE","","","",""
"60204500001196","Nodes","","21.000000","31.457550","Default Known Flow Node","Known Flow","348685.758982","700063.546126","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60204500000143","Nodes","","21.000000","31.459071","DDS demands","Known Flow","348685.945486","700062.683935","","0.000000","","","","","-1.519999","","","","-1.359211","-1.519999","","","","","","","","D1 PROFILE","","","",""
"60204500000036","Nodes","","21.000000","31.498630","DDS demands","Known Flow","348708.086042","700065.572704","","0.000000","","","","","-24.040001","","","","-21.496999","-24.040001","","","","","","","","D1 PROFILE","","","",""
"60204500000035","Nodes","","21.000000","26.864794","DDS demands","Known Flow","348500.011986","700006.725688","","0.000000","","","","","-21.329999","","","","-19.073667","-21.329999","","","","","","","","D1 PROFILE","","","",""
"60204500001002","Nodes","","21.000000","28.591301","DDS demands","Known Flow","348567.560830","700030.122608","","0.000000","","","","","-6.020000","","","","-5.383191","-6.020000","","","","","","","","D1 PROFILE","","","",""
"60204500000009","Nodes","","21.000000","22.219808","Default Known Flow Node","Known Flow","348073.123299","699614.965630","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60204500001001","Nodes","","21.000000","22.554459","Default Known Flow Node","Known Flow","348093.475536","699649.433246","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60204500000115","Nodes","","21.000000","32.076007","DDS demands","Known Flow","349502.185477","699885.738507","","0.000000","","","","","-14.619999","","","","-13.073465","-14.619999","","","","","","","","D1 PROFILE","","","",""
"60204500001183","Nodes","","21.000000","25.500844","Default Known Flow Node","Known Flow","348454.972273","699961.156810","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60204500000027","Nodes","","21.000000","23.132210","DDS demands","Known Flow","348097.341876","699803.286632","","0.000000","","","","","-7.550000","","","","-6.751345","-7.550000","","","","","","","","D1 PROFILE","","","",""
"60204500000119","Nodes","","21.000000","23.581517","DDS demands","Known Flow","348104.845623","699712.845496","","0.000000","","","","","-24.299999","","","","-21.729495","-24.299999","","","","","","","","D1 PROFILE","","","",""
