"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"60604500000111","Nodes","","21.000000","45.638682","Default Known Flow Node","Known Flow","413329.670627","842241.728391","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000113","Nodes","","21.000000","43.928211","Default Known Flow Node","Known Flow","413359.239635","842411.154437","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000115","Nodes","","21.000000","45.870500","Default Known Flow Node","Known Flow","413191.393589","842203.056381","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000116","Nodes","","21.000000","45.962485","Default Known Flow Node","Known Flow","413227.261599","842127.468360","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000119","Nodes","","21.000000","45.773263","Default Known Flow Node","Known Flow","413308.894621","842195.926379","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000200","Nodes","","21.000000","49.911215","Default Known Flow Node","Known Flow","413132.618573","842518.619466","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000161","Nodes","","21.000000","42.896451","Default Known Flow Node","Known Flow","413256.063607","842404.247435","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000128","Nodes","","21.000000","45.846981","Default Known Flow Node","Known Flow","413275.500612","842227.613387","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000131","Nodes","","21.000000","45.036688","Default Known Flow Node","Known Flow","413365.217636","842236.703390","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000158","Nodes","","21.000000","45.964684","Default Known Flow Node","Known Flow","413230.643274","842129.470911","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000138","Nodes","","21.000000","45.227537","Default Known Flow Node","Known Flow","413380.658641","842306.360409","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000114","Nodes","","21.000000","44.452796","Default Known Flow Node","Known Flow","413426.628653","842428.972442","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000142","Nodes","","21.000000","49.144853","Default Known Flow Node","Known Flow","413095.143563","842283.037402","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000144","Nodes","","21.000000","43.928211","Default Known Flow Node","Known Flow","413365.939798","842412.925995","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000133","Nodes","","21.000000","51.129940","Default Known Flow Node","Known Flow","413060.499553","842454.782449","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000156","Nodes","","21.000000","45.625852","DDS demands","Known Flow","413347.554632","842502.382462","","0.000000","","","","-1.760000","","","","-1.573823","-1.760000","","","","","","D1 PROFILE","","",""
"60604500000146","Nodes","","21.000000","45.141873","Default Known Flow Node","Known Flow","413403.388647","842329.071415","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000162","Nodes","","21.000000","42.642491","DDS demands","Known Flow","413278.662613","842394.211433","","0.000000","-42.380001","","","","","","","-37.896957","-42.380001","","","C2 PROFILE","","","","","",""
"60604500000163","Nodes","","21.000000","45.783479","Default Known Flow Node","Known Flow","413303.412620","842190.558377","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000164","Nodes","","21.000000","51.999999","Default Known Flow Node","Known Flow","412991.275535","842392.967432","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000169","Nodes","","21.000000","45.002467","Default Known Flow Node","Known Flow","413295.635617","842565.134479","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000172","Nodes","","21.000000","45.530871","Default Known Flow Node","Known Flow","412890.058507","842572.973481","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000173","Nodes","","21.000000","45.532971","Default Known Flow Node","Known Flow","413159.608580","842596.765488","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000175","Nodes","","21.000000","45.527776","Default Known Flow Node","Known Flow","413157.673580","842595.790487","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000189","Nodes","","21.000000","47.173616","Default Known Flow Node","Known Flow","413244.382905","842700.352826","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000179","Nodes","","21.000000","47.056718","DDS demands","Known Flow","413275.727612","842658.933505","","0.000000","","","","-1.519999","","","","-1.359211","-1.519999","","","","","","D1 PROFILE","","",""
"60604500000178","Nodes","","21.000000","47.106531","Default Known Flow Node","Known Flow","413291.917616","842637.778499","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000181","Nodes","","21.000000","46.152505","DDS demands","Known Flow","413351.924633","842677.077510","","0.000000","","","","-4.050000","","","","-3.621582","-4.050000","","","","","","D1 PROFILE","","",""
"60604500000182","Nodes","","21.000000","46.119800","Default Known Flow Node","Known Flow","413349.261632","842680.832511","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000123","Nodes","","21.000000","48.678936","Default Known Flow Node","Known Flow","413189.624589","842561.334478","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000195","Nodes","","21.000000","47.858796","Default Known Flow Node","Known Flow","413247.226092","842606.077872","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000183","Nodes","","21.000000","48.934084","Default Known Flow Node","Known Flow","413177.421585","842551.521475","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000185","Nodes","","21.000000","45.394629","DDS demands","Known Flow","413292.631617","842745.302528","","0.000000","","","","","","-267.109991","","-238.854529","-267.109991","","","","","","","","I2 PROFILE",""
"60604500000174","Nodes","2, 3 & 4 St Helena Court, Boddam, Peterhead","21.000000","43.782279","Point Loads","Known Flow","413134.927574","842627.806496","","0.000000","","","","","","","-7.060000","-6.313178","-7.060000","","","","","","","","","PL-AF PROFILE"
"60604500000187","Nodes","","21.000000","46.293756","Default Known Flow Node","Known Flow","412977.151531","842595.744487","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000165","Nodes","","21.000000","46.021811","Default Known Flow Node","Known Flow","412967.184528","842587.954485","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000192","Nodes","","21.000000","45.212163","Default Known Flow Node","Known Flow","413053.746552","842573.754481","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60604500000194","Nodes","","21.000000","45.787116","Default Known Flow Node","Known Flow","413163.411581","842598.682488","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
