"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"60600300012001","Nodes","12001, P11125625, STONEYWOOD TERRACE, -37.57SCMH","22.999998","27.851931","CSEP Unmatched","Known Flow","389382.889308","811131.546379","","0.000000","","","","","","","","","","","","","-37.569999","","","","-33.595766","-37.569999","","","","","","","","","","","","","","","","PL-AF PROFILE","","","",""
"60600300012002","Nodes","12002, DEV@GREAT WESTERN ROAD, -16.43SCMH","22.999998","30.076330","CSEP Unmatched","Known Flow","392188.189564","804768.802137","","0.000000","","","","","","","","","","","","","-16.430000","","","","-14.692001","-16.430000","","","","","","","","","","","","","","","","PL-AF PROFILE","","","",""
"60600300012003","Nodes","12003, P10125389, GORDON'S MILLS ROAD, -226.71SCMH","26.000000","34.730352","CSEP Unmatched","Known Flow","393165.097502","809219.877986","","0.000000","","","","","","","","","","","","","-66.190003","","","","-59.188285","-66.190003","","","","","","","","","","","","","","","","PL-AF PROFILE","","","",""
"60600300012004","Nodes","12004, P10125275, DEV@MIDDLEFIELD PLACE, -8.40SCMH","22.999998","31.904574","CSEP Unmatched","Known Flow","391738.078662","808679.056035","","0.000000","","","","","","","","","","","","","-8.399999","","","","-7.511430","-8.399999","","","","","","","","","","","","","","","","PL-AF PROFILE","","","",""
"60600300012007","Nodes","12007, P10125260, 366 KING STREET, -44.49SCMH","24.000000","23.429238","CSEP Unmatched","Known Flow","394370.399260","807360.513287","","0.000000","","","","","","","","","","","","","-44.490003","","","","-39.783758","-44.490003","","","","","","","","","","","","","","","","PL-AF PROFILE","","","",""
"60600300012008","Nodes","12008, P11126328, Old Croft Place, -27.88SCMH","22.999998","36.542384","CSEP Unmatched","Known Flow","391414.877325","807499.637293","","0.000000","","","","","","","","","","","","","","","-27.879998","","-24.930793","-27.879998","","","","","","","","","","","","","","","","","","DC PROFILE","",""
"60600300012009","Nodes","12009,","21.000000","72.578745","Default Known Flow Node","Known Flow","395460.000000","802018.875000","","0.000000","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","",""
"60600300012010","Nodes","12010,","21.000000","74.172825","Default Known Flow Node","Known Flow","395215.019699","802472.348850","","0.000000","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","",""
"60600300012011","Nodes","12011,","21.000000","74.172825","Default Known Flow Node","Known Flow","395210.204184","802449.422666","","0.000000","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","",""
"60600300012015","Nodes","12015,","21.000000","72.514619","Daily Metered Site","Known Flow","395334.875000","802057.000000","","0.000000","-40.930001","-3.089999","","","","","","","","","-12.369999","","","","","","-50.424950","-56.390002","","","","C1 PROFILE","C2 PROFILE","","","","","","","","","I2 PROFILE","","","","","",""
