"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)"
"60206300000088","Nodes","88","21.000000","23.258671","DDS demands","Known Flow","313041.266337","717233.069375","","0.000000","","","","","","","-5.519999","","","-4.936082","-5.519999","","","","","","","","","D1 PROFILE","",""
"60206300000071","Nodes","71","21.000000","22.251559","DDS demands","Known Flow","313285.198403","717039.199322","","0.000000","","","","","","","-5.530000","","","-4.945025","-5.530000","","","","","","","","","D1 PROFILE","",""
"60206300000070","Nodes","70","21.000000","22.475370","DDS demands","Known Flow","313266.724398","717148.174352","","0.000000","","","","","","","-9.119999","","","-8.155266","-9.119999","","","","","","","","","D1 PROFILE","",""
"60206300000069","Nodes","69","21.000000","22.609811","DDS demands","Known Flow","313255.934395","717219.061371","","0.000000","","","","","","","-5.409999","","","-4.837718","-5.409999","","","","","","","","","D1 PROFILE","",""
"60206300002367","Nodes","-1462556","21.000000","22.609811","Default Known Flow Node","Known Flow","313227.513388","717213.347370","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000073","Nodes","73","21.000000","22.242220","DDS demands","Known Flow","313364.205033","717319.543824","","0.000000","","","","","","","-12.239999","","","-10.945226","-12.239999","","","","","","","","","D1 PROFILE","",""
"60206300002371","Nodes","-18","21.000000","21.831184","Default Known Flow Node","Known Flow","313345.153912","717411.212363","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000066","Nodes","66","21.000000","23.997342","DDS demands","Known Flow","313277.850401","717427.819428","","0.000000","","","","","","","-8.260000","","","-7.386240","-8.260000","","","","","","","","","D1 PROFILE","",""
"60206300002333","Nodes","-14","21.000000","23.590667","Default Known Flow Node","Known Flow","313312.582496","717359.164930","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300001063","Nodes","P08117010, Kintillo Road, -27.42","24.000000","25.508566","CSEP DDS Matched","Known Flow","313394.930433","717487.107444","","0.000000","","","","","","","","-27.419999","","-24.519454","-27.419999","","","","","","","","","","DC PROFILE",""
"60206300000044","Nodes","44","21.000000","24.262996","DDS demands","Known Flow","313230.581389","717447.897434","","0.000000","","","","","","","-11.400000","","","-10.194084","-11.400000","","","","","","","","","D1 PROFILE","",""
"60206300000178","Nodes","178","21.000000","24.167311","DDS demands","Known Flow","313155.105143","717422.293084","","0.000000","","","","","","","-3.319999","","","-2.968803","-3.319999","","","","","","","","","D1 PROFILE","",""
"60206300000129","Nodes","129","21.000000","24.986234","DDS demands","Known Flow","313353.048422","717479.201442","","0.000000","","","","","","","-4.889999","","","-4.372725","-4.889999","","","","","","","","","D1 PROFILE","",""
"60206300000181","Nodes","181","21.000000","23.772342","Default Known Flow Node","Known Flow","313084.328349","717452.235435","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000072","Nodes","72","21.000000","22.039083","DDS demands","Known Flow","313319.075413","717343.448405","","0.000000","","","","","","","-8.120000","","","-7.261049","-8.120000","","","","","","","","","D1 PROFILE","",""
"60206300000074","Nodes","74","21.000000","21.723441","DDS demands","Known Flow","313369.910426","717418.993426","","0.000000","","","","","","","-8.350000","","","-7.466719","-8.350000","","","","","","","","","D1 PROFILE","",""
"60206300002364","Nodes","-1462549","21.000000","21.824412","Default Known Flow Node","Known Flow","313337.590284","717429.791274","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300002372","Nodes","-34","21.000000","24.362442","Default Known Flow Node","Known Flow","313269.620747","717461.130900","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
