"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"60604900000023","Nodes","23","21.000000","69.077370","DDS demands","Known Flow","326481.750000","842714.500000","","0.000000","","","","","-8.020000","","","","","-7.171628","-8.020000","","","","","","","","D1 PROFILE","","","","",""
"606049-1462478","Nodes","-1462478","21.000000","69.036266","Default Known Flow Node","Known Flow","326501.750000","842673.500000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60604900000019","Nodes","19","21.000000","65.047295","DDS demands","Known Flow","326587.750000","842556.750000","","0.000000","","","","","-13.009999","","","","","-11.633774","-13.009999","","","","","","","","D1 PROFILE","","","","",""
"606049-16","Nodes","-16","21.000000","65.856725","Default Known Flow Node","Known Flow","326554.625000","842650.625000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60604900000006","Nodes","6","21.000000","69.971791","DDS demands","Known Flow","326627.625000","842932.250000","","0.000000","-5.980000","","-1.350000","-10.339999","-10.649999","","","","","-25.324249","-28.319998","","","","C1 PROFILE","","C3 PROFILE","C4 PROFILE","D1 PROFILE","","","","",""
"60604900000007","Nodes","7","21.000000","69.939933","DDS demands","Known Flow","326598.375000","842907.250000","","0.000000","","","","-2.660000","-4.349999","","","","","-6.268467","-7.010000","","","","","","","C4 PROFILE","D1 PROFILE","","","","",""
"60604900000008","Nodes","8","21.000000","69.786596","DDS demands","Known Flow","326553.500000","842958.375000","","0.000000","","","","","-2.580000","","","","","-2.307082","-2.580000","","","","","","","","D1 PROFILE","","","","",""
"60604900000009","Nodes","9","21.000000","66.293592","DDS demands","Known Flow","326556.750000","842871.125000","","0.000000","-6.000000","","","","-15.510000","","","","","-19.234628","-21.510001","","","","C1 PROFILE","","","","D1 PROFILE","","","","",""
"60604900000012","Nodes","12","21.000000","69.669653","DDS demands","Known Flow","326674.625000","842878.625000","","0.000000","","","","","-11.019999","","","","","-9.854281","-11.019999","","","","","","","","D1 PROFILE","","","","",""
"60604900000014","Nodes","14","21.000000","69.566806","DDS demands","Known Flow","326641.125000","842852.125000","","0.000000","","","","","-3.410000","","-55.990003","","","-53.116546","-59.400005","","","","","","","","D1 PROFILE","","I2 PROFILE","","",""
