"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)"
"60207700000061","Nodes","61","21.000000","25.339961","DDS demands","Known Flow","320056.375810","737189.061429","","0.000000","","","","","","-3.629999","","","-3.246011","-3.629999","","","","","","","","D1 PROFILE","",""
"60207700000225","Nodes","-311848","21.000000","25.339961","Default Known Flow Node","Known Flow","320057.413652","737190.526617","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207700000062","Nodes","62","21.000000","24.821190","DDS demands","Known Flow","320127.385324","737252.321320","","0.000000","","","","","","-7.849999","","","-7.019610","-7.849999","","","","","","","","D1 PROFILE","",""
"60207700000063","Nodes","63","21.000000","26.698246","DDS demands","Known Flow","320178.358329","737315.351308","","0.000000","","","","","","-2.900000","","","-2.593232","-2.900000","","","","","","","","D1 PROFILE","",""
"60207700000048","Nodes","48","21.000000","26.593682","DDS demands","Known Flow","320179.705631","737304.584932","","0.000000","","","","","","-10.350000","","","-9.255155","-10.350000","","","","","","","","D1 PROFILE","",""
"60207700000230","Nodes","-311853","21.000000","26.954445","Default Known Flow Node","Known Flow","320178.931622","737296.814856","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207700000041","Nodes","41","21.000000","25.810668","DDS demands","Known Flow","320186.250000","737197.375000","","0.000000","","","","","","-21.660000","","","-19.368760","-21.660000","","","","","","","","D1 PROFILE","",""
"60207700000029","Nodes","29","21.000000","26.646628","DDS demands","Known Flow","320156.625000","737466.500000","","0.000000","","","","","","-8.130000","","","-7.269991","-8.130000","","","","","","","","D1 PROFILE","",""
"60207700000229","Nodes","-311852","21.000000","26.954445","Default Known Flow Node","Known Flow","320177.020647","737290.699737","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207700000231","Nodes","-311854","21.000000","25.879900","Default Known Flow Node","Known Flow","320189.750000","737196.625000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207700000054","Nodes","54","21.000000","26.543292","DDS demands","Known Flow","320162.875000","737544.250000","","0.000000","","","","","","-4.880000","","","-4.363783","-4.880000","","","","","","","","D1 PROFILE","",""
"60207700000064","Nodes","64","21.000000","25.366164","DDS demands","Known Flow","320226.125000","737652.750000","","0.000000","","","","","","-3.930000","","","-3.514276","-3.930000","","","","","","","","D1 PROFILE","",""
"60207700000233","Nodes","-311856","21.000000","25.366413","Default Known Flow Node","Known Flow","320227.250000","737645.500000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207700000067","Nodes","67","21.000000","25.153903","DDS demands","Known Flow","320108.625000","737772.500000","","0.000000","","","","","","-2.240000","","","-2.003048","-2.240000","","","","","","","","D1 PROFILE","",""
"60207700000226","Nodes","-311849","21.000000","25.229528","Default Known Flow Node","Known Flow","320121.875000","737683.625000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207700000234","Nodes","-311857","21.000000","25.408585","Default Known Flow Node","Known Flow","320234.750000","737575.750000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207700000040","Nodes","40","21.000000","25.364608","DDS demands","Known Flow","320235.000000","737574.375000","","0.000000","","","","","","-8.510000","","","-7.609794","-8.510000","","","","","","","","D1 PROFILE","",""
