"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"60205800000192","Nodes","192","21.000000","34.670718","DDS demands","Known Flow","340323.827761","702569.646385","","0.000000","","","","","-12.279999","","","","","-10.980995","-12.279999","","","","","","","D1 PROFILE","","","",""
"60205800001016","Nodes","1016","21.000000","32.663731","Default Known Flow Node","Known Flow","341951.348294","702858.602002","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205800000137","Nodes","137","21.000000","32.448037","Default Known Flow Node","Known Flow","341959.645206","702822.479454","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205800001006","Nodes","1006","21.000000","30.307433","Default Known Flow Node","Known Flow","341284.494221","702730.137726","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205800001015","Nodes","Logger 9533, 8 Emsdorf Crescent","21.000000","30.297485","Val Log Cath","Known Flow","341343.975115","702721.694251","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205800000195","Nodes","195","21.000000","30.252243","DDS demands","Known Flow","341397.282053","702705.310422","","0.000000","","","","","-2.660000","","","","","-2.378619","-2.660000","","","","","","","D1 PROFILE","","","",""
"60205800001012","Nodes","1012","21.000000","30.119787","Default Known Flow Node","Known Flow","341647.434547","703003.618765","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205800000096","Nodes","96","21.000000","30.380265","Default Known Flow Node","Known Flow","341679.424130","702993.699501","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205800001004","Nodes","Logger 9205, O/S 43 Leven Road","21.000000","34.337080","Val Log Post","Known Flow","340639.775111","702681.203239","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205800000193","Nodes","193","21.000000","30.752013","DDS demands","Known Flow","340911.712259","702764.379351","","0.000000","","","","","-8.819999","","","","","-7.887001","-8.819999","","","","","","","D1 PROFILE","","","",""
"60205800000030","Nodes","30","21.000000","21.883532","DDS demands","Known Flow","341255.535014","703015.280506","","0.000000","-3.140000","","","","-8.709999","","","","","-10.596482","-11.849999","","","C1 PROFILE","","","","D1 PROFILE","","","",""
"60205800001007","Nodes","1007","21.000000","22.268883","DDS demands","Known Flow","341325.531904","703029.526569","","0.000000","","","","-3.349999","-13.250000","","","","","-14.844017","-16.600000","","","","","","C4 PROFILE","D1 PROFILE","","","",""
"60205800001008","Nodes","1008","21.000000","23.009890","DDS demands","Known Flow","341410.092781","703055.168280","","0.000000","","","","","-15.659999","","","","","-14.003452","-15.659999","","","","","","","D1 PROFILE","","","",""
"60205800001001","Nodes","1001","21.000000","24.248748","DDS demands","Known Flow","341488.197195","703072.710312","","0.000000","","","","","-12.919999","","","","","-11.553295","-12.919999","","","","","","","D1 PROFILE","","","",""
"60205800001009","Nodes","1009","21.000000","26.215827","DDS demands","Known Flow","341574.756872","703063.756162","","0.000000","","","","","-6.500000","","","","","-5.812416","-6.500000","","","","","","","D1 PROFILE","","","",""
"60205800000240","Nodes","240","21.000000","27.982758","DDS demands","Known Flow","341641.886120","703069.734521","","0.000000","","","","","-4.050000","","","","","-3.621582","-4.050000","","","","","","","D1 PROFILE","","","",""
"60205800000085","Nodes","85","21.000000","25.556761","DDS demands","Known Flow","343100.675039","703604.089986","","0.000000","","","","","-2.109999","","","","","-1.886799","-2.109999","","","","","","","D1 PROFILE","","","",""
"60205800000056","Nodes","56","21.000000","32.656204","DDS demands","Known Flow","341945.050202","702871.620467","","0.000000","","","","","-5.639999","","","","","-5.043388","-5.639999","","","","","","","D1 PROFILE","","","",""
"60205800000210","Nodes","210","21.000000","32.704718","DDS demands","Known Flow","341934.571199","702913.701479","","0.000000","","","","","-5.539999","","","","","-4.953967","-5.539999","","","","","","","D1 PROFILE","","","",""
