"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"60602400000078","Nodes","78","21.000000","36.116379","DDS demands","Known Flow","365074.375000","865340.875000","","0.000000","","","-2.440000","","","","","-2.181891","-2.440000","","","","","D1 PROFILE","","","",""
"60602400000088","Nodes","88","21.000000","36.017794","DDS demands","Known Flow","365147.000000","865339.250000","","0.000000","","","-6.099999","","","","","-5.454729","-6.099999","","","","","D1 PROFILE","","","",""
"60602400000102","Nodes","102","21.000000","45.502572","Default Known Flow Node","Known Flow","365950.500000","865231.000000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400001042","Nodes","-72","21.000000","47.067444","Default Known Flow Node","Known Flow","366128.406250","865039.687500","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400001037","Nodes","-2978137","21.000000","47.736893","Default Known Flow Node","Known Flow","366175.125000","864955.250000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400000050","Nodes","50","21.000000","37.473277","DDS demands","Known Flow","365181.750000","865460.750000","","0.000000","","","-6.059999","","","","","-5.418960","-6.059999","","","","","D1 PROFILE","","","",""
"60602400000077","Nodes","77","21.000000","37.724336","DDS demands","Known Flow","365099.625000","865456.375000","","0.000000","","","-0.880000","","","","","-0.786911","-0.880000","","","","","D1 PROFILE","","","",""
"60602400000048","Nodes","48","21.000000","37.688723","DDS demands","Known Flow","365217.500000","865433.000000","","0.000000","","","-2.069999","","","","","-1.851031","-2.069999","","","","","D1 PROFILE","","","",""
"60602400000049","Nodes","49","21.000000","37.771338","DDS demands","Known Flow","365195.375000","865397.000000","","0.000000","","","-3.940000","","","","","-3.523218","-3.940000","","","","","D1 PROFILE","","","",""
"60602400000039","Nodes","39","21.000000","37.823061","DDS demands","Known Flow","365286.875000","865387.500000","","0.000000","","","-8.669999","","","","","-7.752868","-8.669999","","","","","D1 PROFILE","","","",""
"60602400000040","Nodes","40","21.000000","37.557939","DDS demands","Known Flow","365236.375000","865389.250000","","0.000000","","","-10.079999","","","","","-9.013715","-10.079999","","","","","D1 PROFILE","","","",""
"60602400000047","Nodes","47","21.000000","37.896512","DDS demands","Known Flow","365277.625000","865422.250000","","0.000000","","","-19.319998","","","","","-17.276288","-19.319998","","","","","D1 PROFILE","","","",""
"60602400000087","Nodes","87","21.000000","36.370668","DDS demands","Known Flow","365228.000000","865337.625000","","0.000000","","","-0.799999","","","","","-0.715374","-0.799999","","","","","D1 PROFILE","","","",""
"60602400000089","Nodes","89","21.000000","35.799874","DDS demands","Known Flow","365119.875000","865407.750000","","0.000000","","","-2.840000","","","","","-2.539578","-2.840000","","","","","D1 PROFILE","","","",""
"60602400000086","Nodes","86,Various Properties at:Reidhaven Street(MAX REF:192371)","21.000000","36.557281","Point Loads","Known Flow","365309.625000","865336.250000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400000103","Nodes","103","21.000000","36.553155","Default Known Flow Node","Known Flow","365309.500000","865338.125000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400000038","Nodes","38","21.000000","36.982024","DDS demands","Known Flow","365362.250000","865335.375000","","0.000000","","","-17.049999","","","","","-15.246414","-17.049999","","","","","D1 PROFILE","","","",""
"60602400000037","Nodes","37","21.000000","37.303962","DDS demands","Known Flow","365408.750000","865334.375000","","0.000000","","","-15.779999","","","","","-14.110758","-15.779999","","","","","D1 PROFILE","","","",""
"60602400000036","Nodes","36","21.000000","37.207016","DDS demands","Known Flow","365440.250000","865333.750000","","0.000000","","","-19.830000","","","","","-17.732341","-19.830000","","","","","D1 PROFILE","","","",""
"60602400000035","Nodes","35","21.000000","38.338063","DDS demands","Known Flow","365410.250000","865382.625000","","0.000000","","","-12.839999","","","","","-11.481757","-12.839999","","","","","D1 PROFILE","","","",""
"60602400000034","Nodes","34","21.000000","38.632582","DDS demands","Known Flow","365414.250000","865406.875000","","0.000000","","","-14.080000","","","","","-12.590588","-14.080000","","","","","D1 PROFILE","","","",""
"60602400000041","Nodes","41","21.000000","38.409274","DDS demands","Known Flow","365425.125000","865441.750000","","0.000000","","","-7.519999","","","","","-6.724518","-7.519999","","","","","D1 PROFILE","","","",""
"60602400000042","Nodes","42","21.000000","37.792367","DDS demands","Known Flow","365442.125000","865438.875000","","0.000000","","","-1.760000","","","","","-1.573823","-1.760000","","","","","D1 PROFILE","","","",""
"60602400000046","Nodes","46","21.000000","38.349373","DDS demands","Known Flow","365427.250000","865460.000000","","0.000000","","","-6.370000","","","","","-5.696168","-6.370000","","","","","D1 PROFILE","","","",""
"60602400000043","Nodes","43","21.000000","37.411473","DDS demands","Known Flow","365465.125000","865436.125000","","0.000000","","","-2.980000","","","","","-2.664769","-2.980000","","","","","D1 PROFILE","","","",""
"60602400000044","Nodes","44","21.000000","37.792367","Default Known Flow Node","Known Flow","365448.500000","865468.625000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60602400000045","Nodes","45","21.000000","36.648954","DDS demands","Known Flow","365451.375000","865499.875000","","0.000000","","","-4.650000","","","","","-4.158113","-4.650000","","","","","D1 PROFILE","","","",""
"60602400000033","Nodes","33","21.000000","39.045592","DDS demands","Known Flow","365514.750000","865380.000000","","0.000000","","-4.199999","-10.339999","","","","","-13.001927","-14.539999","","","","C4 PROFILE","D1 PROFILE","","","",""
