"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"60202300001011","Nodes","1011","21.000000","45.820030","Default Known Flow Node","Known Flow","355457.683270","734355.106327","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60202300000053","Nodes","53","21.000000","45.550942","DDS demands","Known Flow","355444.108585","734415.165605","","0.000000","","","","","-15.399999","","","","","-13.770955","-15.399999","","","","","","","D1 PROFILE","","","",""
"60202300000488","Nodes","488","21.000000","45.952441","DDS demands","Known Flow","356923.599278","734769.194147","","0.000000","","","","","-3.219999","","","","","-2.879381","-3.219999","","","","","","","D1 PROFILE","","","",""
"60202300001009","Nodes","P08117443, Anderson Street, 56.49","24.000000","28.144025","CSEP DDS Matched","Known Flow","355135.560832","734144.955995","","0.000000","","","","","","-56.490001","","","","-50.514371","-56.490001","","","","","","","","DC PROFILE","","",""
"60202300000222","Nodes","222","21.000000","45.927940","DDS demands","Known Flow","356987.258295","734804.560157","","0.000000","","","","","-1.630000","","","","","-1.457575","-1.630000","","","","","","","D1 PROFILE","","","",""
"60202300006729","Nodes","-696","21.000000","28.303557","Default Known Flow Node","Known Flow","356118.464720","735206.417661","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60202300000114","Nodes","114","21.000000","25.189071","DDS demands","Known Flow","355540.038901","734911.339186","","0.000000","","","","","-6.380000","","","","","-5.705110","-6.380000","","","","","","","D1 PROFILE","","","",""
"60202300001004","Nodes","1004","21.000000","25.825633","Default Known Flow Node","Known Flow","355584.484734","734908.581971","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60202300000113","Nodes","113","21.000000","27.186682","DDS demands","Known Flow","355659.482812","734827.375309","","0.000000","","","","","-2.049999","","","","","-1.833146","-2.049999","","","","","","","D1 PROFILE","","","",""
"60202300000024","Nodes","24","21.000000","26.328027","DDS demands","Known Flow","354632.651664","734280.040477","","0.000000","","","","","-16.010000","","","","","-14.316429","-16.010000","","","","","","","D1 PROFILE","","","",""
"60202300000750","Nodes","750","21.000000","26.588914","Default Known Flow Node","Known Flow","354674.134833","734284.226479","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60202300000719","Nodes","719","21.000000","26.744650","Default Known Flow Node","Known Flow","354699.706673","734284.662015","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60202300001017","Nodes","","21.000000","27.176350","Default Known Flow Node","Known Flow","354773.509742","734291.749823","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60202300006511","Nodes","-131","21.000000","26.256473","Default Known Flow Node","Known Flow","354617.565650","734280.363014","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
