"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"60605600000092","Nodes","92","21.000000","33.381012","DDS demands","Known Flow","399245.375000","847883.000000","","0.000000","","","","-2.796000","","","","","-2.500233","-2.796000","","","","","","D1 PROFILE","","","",""
"60605600000078","Nodes","78","21.000000","37.902787","DDS demands","Known Flow","399255.125000","847853.875000","","0.000000","","","","-3.409000","","","","","-3.048389","-3.409000","","","","","","D1 PROFILE","","","",""
"60605600000083","Nodes","83","21.000000","37.524158","DDS demands","Known Flow","399229.750000","847814.750000","","0.000000","","","","-9.543999","","","","","-8.534415","-9.543999","","","","","","D1 PROFILE","","","",""
"60605600000077","Nodes","77","21.000000","39.808703","Default Known Flow Node","Known Flow","399336.375000","847870.000000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60605600000076","Nodes","76","21.000000","39.887800","DDS demands","Known Flow","399356.125000","847872.500000","","0.000000","","","","-5.391000","","","","","-4.820728","-5.391000","","","","","","D1 PROFILE","","","",""
"606056-1462502","Nodes","-1462502","21.000000","39.842142","Point Loads","Known Flow","399358.625000","847875.500000","","0.000000","","","","","","","-72.639998","","-64.955986","-72.639998","","","","","","","","","PL-AF PROFILE",""
"606056-1462505","Nodes","-1462505","21.000000","44.969623","Point Loads","Known Flow","399909.000000","847957.000000","","0.000000","","","","","","","-84.150003","","-75.248436","-84.150003","","","","","","","","","PL-AF PROFILE",""
"60605600000073","Nodes","73","21.000000","44.971859","DDS demands","Known Flow","399906.875000","847955.875000","","0.000000","","","","-0.674000","","","","","-0.602702","-0.674000","","","","","","D1 PROFILE","","","",""
"60605600000075","Nodes","75","21.000000","41.984228","DDS demands","Known Flow","399618.000000","847885.875000","","0.000000","","","","-10.670000","","","","","-9.541305","-10.670000","","","","","","D1 PROFILE","","","",""
"60605600000074","Nodes","74","21.000000","43.442403","DDS demands","Known Flow","399771.375000","847961.250000","","0.000000","","","","-4.756999","","","","","-4.253794","-4.756999","","","","","","D1 PROFILE","","","",""
"606056-1462497","Nodes","-1462497","21.000000","43.438298","Point Loads","Known Flow","399767.875000","847961.750000","","0.000000","","","","","","","-95.280003","","-85.201084","-95.280003","","","","","","","","","PL-AF PROFILE",""
"60605600000096","Nodes","96","21.000000","48.473674","DDS demands","Known Flow","399499.250000","848315.250000","","0.000000","","","","-9.675000","","","","","-8.651558","-9.675000","","","","","","D1 PROFILE","","","",""
"60605600000097","Nodes","97","21.000000","48.362062","DDS demands","Known Flow","399498.750000","848266.625000","","0.000000","","","","-6.204999","","","","","-5.548621","-6.204999","","","","","","D1 PROFILE","","","",""
"60605600000098","Nodes","98","21.000000","48.443604","DDS demands","Known Flow","399440.000000","848280.125000","","0.000000","","","","-2.424000","","","","","-2.167584","-2.424000","","","","","","D1 PROFILE","","","",""
"60605600000060","Nodes","60","21.000000","48.270479","DDS demands","Known Flow","399914.875000","848142.500000","","0.000000","","","","-6.316000","","","","","-5.647880","-6.316000","","","","","","D1 PROFILE","","","",""
"60605600000062","Nodes","62","21.000000","48.086069","DDS demands","Known Flow","399941.250000","848140.000000","","0.000000","","","","-2.514000","","","","","-2.248063","-2.514000","","","","","","D1 PROFILE","","","",""
"606056-95","Nodes","-95","21.000000","48.258964","Default Known Flow Node","Known Flow","399917.750000","848154.375000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60605600000064","Nodes","64","21.000000","48.085588","DDS demands","Known Flow","399947.750000","848139.375000","","0.000000","","","","-1.036000","","","","","-0.926409","-1.036000","","","","","","D1 PROFILE","","","",""
"60605600000063","Nodes","63","21.000000","45.346769","DDS demands","Known Flow","399971.500000","848163.750000","","0.000000","","","","-11.766999","","","","","-10.522262","-11.766999","","","","","","D1 PROFILE","","","",""
"60605600000065","Nodes","65","21.000000","42.265871","DDS demands","Known Flow","399828.875000","848194.500000","","0.000000","","","","-0.864999","","","","","-0.773498","-0.864999","","","","","","D1 PROFILE","","","",""
"60605600000066","Nodes","66","21.000000","42.297609","DDS demands","Known Flow","399837.375000","848235.500000","","0.000000","","","","-1.941000","","","","","-1.735676","-1.941000","","","","","","D1 PROFILE","","","",""
"60605600000067","Nodes","67","21.000000","40.099021","DDS demands","Known Flow","399791.375000","848202.625000","","0.000000","","","","-0.542999","","","-103.029998","","-92.616831","-103.572997","","","","","","D1 PROFILE","","","PL-AF PROFILE",""
"606056-98","Nodes","-98","21.000000","48.233509","Default Known Flow Node","Known Flow","399904.125000","848168.250000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60605600000061","Nodes","61","21.000000","48.221813","DDS demands","Known Flow","399901.000000","848156.250000","","0.000000","","","","-3.710999","","","","","-3.318442","-3.710999","","","","","","D1 PROFILE","","","",""
"606056-1462472","Nodes","-1462472","21.000000","48.233509","Default Known Flow Node","Known Flow","399902.500000","848168.375000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"606056-1462511","Nodes","-1462511","21.000000","48.343334","Default Known Flow Node","Known Flow","399928.500000","848151.750000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60605600000045","Nodes","45","21.000000","35.302876","DDS demands","Known Flow","400365.625000","847754.500000","","0.000000","","","","-2.151999","","","","","-1.924356","-2.151999","","","","","","D1 PROFILE","","","",""
"60605600000044","Nodes","44","21.000000","35.500063","DDS demands","Known Flow","400347.875000","847829.375000","","0.000000","","-1.710000","","-8.830000","","","","","-9.425057","-10.540000","","","","C4 PROFILE","","D1 PROFILE","","","",""
"60605600000011","Nodes","11","21.000000","49.130798","Default Known Flow Node","Known Flow","400109.000000","847950.125000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60605600000017","Nodes","17","21.000000","47.070259","DDS demands","Known Flow","400182.375000","847933.875000","","0.000000","","","","-2.534000","","","","","-2.265948","-2.534000","","","","","","D1 PROFILE","","","",""
"60605600000047","Nodes","47","21.000000","45.564454","DDS demands","Known Flow","400182.000000","847702.125000","","0.000000","","","","-9.222000","","","","","-8.246477","-9.222000","","","","","","D1 PROFILE","","","",""
"60605600000012","Nodes","12","21.000000","48.447336","DDS demands","Known Flow","400166.625000","847973.250000","","0.000000","","","","-0.321999","","","","","-0.287938","-0.321999","","","","","","D1 PROFILE","","","",""
