"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"60604300009034","Nodes","-1150184","21.000000","43.077475","Default Known Flow Node","Known Flow","271981.453164","845922.851393","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60604300009035","Nodes","-1150185","21.000000","43.598913","Default Known Flow Node","Known Flow","271983.232041","845924.185218","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60604300001001","Nodes","1001","21.000000","65.901068","Default Known Flow Node","Known Flow","272794.833091","846347.151504","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60604300000075","Nodes","75","21.000000","56.057082","DDS demands","Known Flow","272790.928385","846309.322498","","0.000000","","","","-10.649999","","-9.523419","-10.649999","","","","","","D1 PROFILE",""
"60604300000077","Nodes","P00027338, Moray Park Terrace, -74.49","22.999998","27.349042","CSEP DDS Matched","Known Flow","272869.660946","846252.819471","","0.000000","","","","-13.609999","-74.489996","-78.780586","-88.099994","","","","","","D1 PROFILE","DC PROFILE"
"60604300000098","Nodes","98","21.000000","23.699174","DDS demands","Known Flow","271749.650101","846478.439544","","0.000000","","","","-2.920000","","-2.611116","-2.920000","","","","","","D1 PROFILE",""
"60604300000056","Nodes","56","21.000000","23.428888","Default Known Flow Node","Known Flow","271801.245928","846507.225734","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60604300000102","Nodes","102","21.000000","22.905272","DDS demands","Known Flow","271856.833130","846527.579557","","0.000000","","","","-9.739999","","-8.709680","-9.739999","","","","","","D1 PROFILE",""
"60604300009024","Nodes","9024","21.000000","41.521956","DDS demands","Known Flow","272128.540748","846049.282690","","0.000000","","","","-29.089999","","-26.012794","-29.089999","","","","","","D1 PROFILE",""
"60604300009026","Nodes","9026","21.000000","41.479282","DDS demands","Known Flow","272183.684219","846091.454439","","0.000000","","","","-11.350000","","-10.149371","-11.350000","","","","","","D1 PROFILE",""
"60604300000073","Nodes","73","21.000000","66.086036","DDS demands","Known Flow","272791.542569","846364.284466","","0.000000","","","","-6.939999","","-6.205871","-6.939999","","","","","","D1 PROFILE",""
"60604300000087","Nodes","87","21.000000","33.017567","DDS demands","Known Flow","271937.619913","845817.742620","","0.000000","","","","-6.589999","","-5.892895","-6.589999","","","","","","D1 PROFILE",""
"60604300000089","Nodes","89","21.000000","33.012132","DDS demands","Known Flow","271994.189168","845852.664374","","0.000000","","","","-1.080000","","-0.965755","-1.080000","","","","","","D1 PROFILE",""
"60604300000085","Nodes","85","21.000000","37.819884","DDS demands","Known Flow","271904.008143","845860.919376","","0.000000","","","","-8.069999","","-7.216337","-8.069999","","","","","","D1 PROFILE",""
"60604300009059","Nodes","-259890","21.000000","32.416224","Default Known Flow Node","Known Flow","272021.988073","845799.110460","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60604300000093","Nodes","93","21.000000","27.977522","DDS demands","Known Flow","272128.719204","845910.362389","","0.000000","","","","-7.860000","","-7.028551","-7.860000","","","","","","D1 PROFILE",""
"60604300000095","Nodes","95","21.000000","27.530125","DDS demands","Known Flow","272191.363221","845922.199393","","0.000000","","","","-10.540000","","-9.425055","-10.540000","","","","","","D1 PROFILE",""
"60604300000094","Nodes","94","21.000000","27.392795","DDS demands","Known Flow","272067.366188","845850.916373","","0.000000","","","","-9.999999","","-8.942177","-9.999999","","","","","","D1 PROFILE",""
"60604300000091","Nodes","91","21.000000","29.202665","DDS demands","Known Flow","272114.173586","845944.489390","","0.000000","","","","-3.000000","","-2.682653","-3.000000","","","","","","D1 PROFILE",""
"60604300000092","Nodes","92","21.000000","28.137897","DDS demands","Known Flow","272032.311178","845907.391389","","0.000000","","","","-13.600000","","-12.161362","-13.600000","","","","","","D1 PROFILE",""
"60604300000096","Nodes","96","21.000000","30.093867","DDS demands","Known Flow","272107.561558","845954.656722","","0.000000","","","","-2.349999","","-2.101411","-2.349999","","","","","","D1 PROFILE",""
"60604300009060","Nodes","-259892","21.000000","29.907201","Default Known Flow Node","Known Flow","272108.903199","845952.924401","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60604300000084","Nodes","84","21.000000","29.813385","DDS demands","Known Flow","272156.484212","845978.163408","","0.000000","","","","-5.039999","","-4.506857","-5.039999","","","","","","D1 PROFILE",""
"60604300000083","Nodes","83","21.000000","34.631907","DDS demands","Known Flow","272074.235190","845991.872412","","0.000000","","","","-2.269999","","-2.029874","-2.269999","","","","","","D1 PROFILE",""
"60604300000082","Nodes","82","21.000000","42.241822","Default Known Flow Node","Known Flow","272012.178945","845946.225938","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60604300000088","Nodes","88","21.000000","32.007570","DDS demands","Known Flow","271998.027169","845838.952370","","0.000000","","","","-11.600000","","-10.372927","-11.600000","","","","","","D1 PROFILE",""
"60604300000101","Nodes","101","21.000000","22.643436","DDS demands","Known Flow","271903.255143","846442.477534","","0.000000","","","","-2.450000","","-2.190833","-2.450000","","","","","","D1 PROFILE",""
"60604300000099","Nodes","99","21.000000","22.637411","DDS demands","Known Flow","271838.536125","846457.585538","","0.000000","","","","-6.210000","","-5.553092","-6.210000","","","","","","D1 PROFILE",""
"60604300000034","Nodes","34","21.000000","40.688062","DDS demands","Known Flow","272218.701827","846267.237853","","0.000000","","","","-3.020000","","-2.700537","-3.020000","","","","","","D1 PROFILE",""
"60604300009043","Nodes","-255197","21.000000","40.676670","Default Known Flow Node","Known Flow","272211.087360","846235.243477","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60604300009055","Nodes","-255212","21.000000","34.626005","Default Known Flow Node","Known Flow","272306.107253","846276.266489","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60604300000065","Nodes","65","21.000000","30.508885","DDS demands","Known Flow","272356.116266","846134.734450","","0.000000","","","","-23.950000","","-21.416517","-23.950000","","","","","","D1 PROFILE",""
"60604300009057","Nodes","-255216","21.000000","30.545874","Default Known Flow Node","Known Flow","272366.656269","846115.884445","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60604300000066","Nodes","66","21.000000","30.508885","Default Known Flow Node","Known Flow","272376.618272","846149.812455","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
