"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"60600700005049","Nodes","","21.000000","37.978720","Default Known Flow Node","Known Flow","322797.366992","862190.669819","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700005051","Nodes","","21.000000","35.641002","Default Known Flow Node","Known Flow","323215.315105","862185.482818","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700005107","Nodes","","21.000000","41.526304","Default Known Flow Node","Known Flow","322734.819975","863501.043176","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700005116","Nodes","","21.000000","41.526304","Default Known Flow Node","Known Flow","322732.048974","863487.100172","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700005121","Nodes","","21.000000","41.526304","Default Known Flow Node","Known Flow","322719.629971","863504.206177","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700005125","Nodes","","21.000000","41.526304","Default Known Flow Node","Known Flow","322714.070969","863514.201180","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700005135","Nodes","","21.000000","36.223352","Default Known Flow Node","Known Flow","323347.441141","862244.580834","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700005138","Nodes","","21.000000","49.164140","Default Known Flow Node","Known Flow","323445.710168","862244.974834","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700005139","Nodes","","21.000000","49.132972","DDS demands","Known Flow","323452.587170","862278.988843","","0.000000","","","","","","","-2.039999","","","","","","-1.824204","-2.039999","","","","","","","","","D1 PROFILE","","","","",""
"60600700005140","Nodes","","21.000000","49.169872","Default Known Flow Node","Known Flow","323445.200937","862243.774932","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
