"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)"
"60210300000002","Nodes","2","21.000000","47.857699","DDS demands","Known Flow","335951.960000","713376.795000","","0.000000","","-11.929999","","","-10.668019","-11.929999","","","","D1 PROFILE","",""
"60210300000001","Nodes","Cuparmuir DG, Tel, Constant, Site ID 1732","21.000000","49.999998","Default Known Pressure Node","Known Pressure","335942.460000","713400.045000","","215.239997","","","","","111.088674","124.229995","","","","","",""
"60210300000003","Nodes","3","21.000000","47.857699","Default Known Flow Node","Known Flow","336023.960000","713424.045000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60210300000010","Nodes","10","21.000000","38.073319","DDS demands","Known Flow","336071.835000","713470.295000","","0.000000","","-7.159999","","","-6.402599","-7.159999","","","","D1 PROFILE","",""
"60210300000005","Nodes","5","21.000000","38.613969","DDS demands","Known Flow","336021.085000","713263.545000","","0.000000","","-11.430000","","","-10.220911","-11.430000","","","","D1 PROFILE","",""
"60210300000004","Nodes","4","21.000000","38.756848","DDS demands","Known Flow","336011.585000","713250.170000","","0.000000","","-4.150000","","","-3.711004","-4.150000","","","","D1 PROFILE","",""
"60210300000008","Nodes","8","21.000000","35.459012","DDS demands","Known Flow","336161.085000","713443.045000","","0.000000","","-9.319999","","","-8.334110","-9.319999","","","","D1 PROFILE","",""
"60210300000006","Nodes","6","21.000000","31.281540","DDS demands","Known Flow","335995.210000","713207.045000","","0.000000","-17.329999","-11.539999","","","-25.816070","-28.870000","","","C1 PROFILE","D1 PROFILE","",""
"60210300000009","Nodes","9","21.000000","34.974187","DDS demands","Known Flow","336105.835000","713413.420000","","0.000000","","-8.169999","","","-7.305760","-8.169999","","","","D1 PROFILE","",""
"60210300000007","Nodes","7","21.000000","28.392464","DDS demands","Known Flow","336160.835000","713173.295000","","0.000000","","-1.090000","","-16.219999","-15.478911","-17.309999","","","","D1 PROFILE","","I2 PROFILE"
"60210300001000","Nodes","P00094843, Cupar Road, 18.6","26.000000","30.401150","CSEP DDS Matched","Known Flow","335981.772500","713177.170000","","0.000000","","","-18.600000","","-16.632453","-18.600000","","","","","DC PROFILE",""
"60210300000011","Nodes","11,","21.000000","29.459802","DDS demands","Known Flow","335809.210000","712926.045000","","0.000000","","-7.289999","","","-6.518848","-7.289999","","","","D1 PROFILE","",""
"60210300000019","Nodes","-76008","21.000000","47.857699","Default Known Flow Node","Known Flow","335991.210000","713391.420000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60210300000014","Nodes","-76009","21.000000","47.815563","Default Known Flow Node","Known Flow","335998.460000","713370.170000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60210300000020","Nodes","-76010","21.000000","38.612654","Default Known Flow Node","Known Flow","336022.210000","713265.670000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60210300000016","Nodes","-1250986","21.000000","29.267896","Default Known Flow Node","Known Flow","336116.585000","713159.545000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60210300000015","Nodes","-1245359","21.000000","38.330637","DDS demands","Known Flow","336082.835000","713528.420000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60210300000018","Nodes","-1568197","21.000000","28.940086","Default Known Flow Node","Known Flow","336130.585000","713147.670000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60210300000017","Nodes","-1568196","21.000000","28.940086","Default Known Flow Node","Known Flow","336127.085000","713141.795000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60210300000012","Nodes","","21.000000","29.500436","Default Known Flow Node","Known Flow","335817.804289","712936.153309","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60210300000013","Nodes","","21.000000","29.500436","Default Known Flow Node","Known Flow","335775.607391","712943.120531","","0.000000","","","","","0.000000","0.000000","","","","","",""
