"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"60601500000136","Nodes","136","21.000000","37.995414","DDS demands","Known Flow","371009.657405","863817.819443","","0.000000","","","","","","-5.909999","","","","","-5.284827","-5.909999","","","","","","","","D1 PROFILE","","","",""
"60601500000198","Nodes","198, BARNHILL RD DG, GCM, TEL, Site ID 1006","21.000000","47.999998","Default Known Pressure Node","Known Pressure","370612.444003","863869.417276","","999998.967025","","","","","","","","","","","853.872520","954.881992","","","","","","","","","","","",""
"60601500000186","Nodes","186","21.000000","39.442739","DDS demands","Known Flow","370862.860259","863899.864977","","0.000000","","","","","","-6.399999","","","","","-5.722994","-6.399999","","","","","","","","D1 PROFILE","","","",""
"60601500000187","Nodes","187","21.000000","39.350725","DDS demands","Known Flow","370859.036070","863859.918274","","0.000000","","","","","","-2.710000","","","","","-2.423330","-2.710000","","","","","","","","D1 PROFILE","","","",""
"60601500000081","Nodes","Logger 9194, 57 Barnhill Road","21.000000","39.276074","Val Log Cath","Known Flow","370922.632087","863899.347284","","0.000000","","","","","","-10.430000","","","","","-9.326693","-10.430000","","","","","","","","D1 PROFILE","","","",""
"60601500000188","Nodes","188","21.000000","39.250800","DDS demands","Known Flow","370809.609002","863861.299314","","0.000000","","","","","","-10.329999","","","","","-9.237270","-10.329999","","","","","","","","D1 PROFILE","","","",""
"60601500000205","Nodes","205","21.000000","38.951404","DDS demands","Known Flow","370882.693076","863796.097256","","0.000000","","","","","","-23.580000","","","-3.739999","","-24.430033","-27.319999","","","","","","","","D1 PROFILE","","","I2 PROFILE",""
"60601500000211","Nodes","211","21.000000","38.646899","DDS demands","Known Flow","370882.555076","863749.387244","","0.000000","","","","","","-3.599999","","","","","-3.219184","-3.599999","","","","","","","","D1 PROFILE","","","",""
"60601500000113","Nodes","113","21.000000","37.714124","DDS demands","Known Flow","370926.501088","863956.836300","","0.000000","","-57.449999","","","","-5.689999","","","","","-56.460918","-63.140000","","","","C2 PROFILE","","","","D1 PROFILE","","","",""
"60601500000116","Nodes","116","21.000000","37.714124","Default Known Flow Node","Known Flow","370942.099093","863956.452300","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000132","Nodes","132","21.000000","38.330921","DDS demands","Known Flow","371047.822121","863900.437285","","0.000000","","","","","","-2.030000","","","","","-1.815262","-2.030000","","","","","","","","D1 PROFILE","","","",""
"60601500000134","Nodes","134","21.000000","37.588346","DDS demands","Known Flow","371141.491147","863875.287278","","0.000000","","","","","","-11.729999","","","","","-10.489175","-11.729999","","","","","","","","D1 PROFILE","","","",""
"60601500000133","Nodes","133","21.000000","38.290914","DDS demands","Known Flow","371048.534121","863875.377278","","0.000000","","","","","","-4.880000","","","","","-4.363783","-4.880000","","","","","","","","D1 PROFILE","","","",""
