"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"60601100004291","Nodes","4291","21.000000","48.096286","Default Known Flow Node","Known Flow","399106.874756","866903.763102","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601100000363","Nodes","363","21.000000","38.472451","DDS demands","Known Flow","398688.499643","866390.762962","","0.000000","","","","","","","-10.329999","","","","","","-9.237270","-10.329999","","","","","","","","","D1 PROFILE","","","","",""
"60601100000517","Nodes","517","21.000000","36.482466","DDS demands","Known Flow","398700.115027","866468.388070","","0.000000","","","","","","","-6.280000","","","","","","-5.615688","-6.280000","","","","","","","","","D1 PROFILE","","","","",""
"60601100000362","Nodes","362","21.000000","36.434737","DDS demands","Known Flow","398665.624636","866464.637982","","0.000000","","","","","","","-2.119999","","","","","","-1.895741","-2.119999","","","","","","","","","D1 PROFILE","","","","",""
"60601100000101","Nodes","Logger 9237, 16 Moray Road","21.000000","44.740057","Val Log Post","Known Flow","399100.224204","867077.886222","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601100000045","Nodes","45","21.000000","45.303429","DDS demands","Known Flow","399103.624756","867034.888138","","0.000000","","","","","","","-7.340000","","","","","","-6.563559","-7.340000","","","","","","","","","D1 PROFILE","","","","",""
"60601100000110","Nodes","Logger 9212, 30 Robertson Road","21.000000","31.531700","Val Log Cath","Known Flow","398451.740396","866599.221323","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601100000361","Nodes","361","21.000000","32.438213","DDS demands","Known Flow","398582.124614","866597.263019","","0.000000","","","","-2.269999","","","-7.669999","","","","","","-8.888526","-9.939999","","","","","","C4 PROFILE","","","D1 PROFILE","","","","",""
"60601100000160","Nodes","160","21.000000","38.486165","DDS demands","Known Flow","399704.124919","866688.013043","","0.000000","-11.289999","","","","","","-10.369999","","","","","","-19.368760","-21.659998","","","C1 PROFILE","","","","","","D1 PROFILE","","","","",""
"60601100000106","Nodes","Logger 9003, 16 Saltoun Place","21.000000","39.223094","Val Log Post","Known Flow","399717.006118","866556.758761","","0.000000","","","","","","","-13.879999","","","","","","-12.411744","-13.879999","","","","","","","","","D1 PROFILE","","","","",""
