"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)"
"62503800000893","Nodes","893",21.000000,30.806726,"DDS demands","Known Flow",239652.384368,660302.523884,,0.000000,,,-9.439999,,-8.441416,-9.439999,,"",,,"D1 PROFILE",
"62503800000902","Nodes","902",21.000000,30.550271,"Default Known Flow Node","Known Flow",239526.969334,660247.730869,,0.000000,,,,,0.000000,0.000000,,"",,,,
"62503800001022","Nodes","1022",21.000000,29.608771,"Default Known Flow Node","Known Flow",239960.932290,660452.311558,,0.000000,,,,,0.000000,0.000000,,"",,,,
"62503800000081","Nodes","81",21.000000,28.656179,"DDS demands","Known Flow",239622.898652,660456.605322,,0.000000,,,-4.510000,,-4.032922,-4.510000,,"",,,"D1 PROFILE",
"62503800000024","Nodes","24",21.000000,29.136969,"DDS demands","Known Flow",239682.220281,660434.489871,,0.000000,,,-1.940000,,-1.734782,-1.940000,,"",,,"D1 PROFILE",
"62503800000029","Nodes","29",21.000000,28.411545,"DDS demands","Known Flow",239793.539495,660483.873357,,0.000000,,,-15.359999,,-13.735186,-15.359999,,"",,,"D1 PROFILE",
"62503800001019","Nodes","1019",21.000000,28.415936,"Default Known Flow Node","Known Flow",239783.979599,660493.307672,,0.000000,,,,,0.000000,0.000000,,"",,,,
"62503800000022","Nodes","22",21.000000,29.969879,"DDS demands","Known Flow",239861.755425,660410.076913,,0.000000,,,-7.089999,0.000000,-6.340004,-7.089999,,"",,,"D1 PROFILE","DH PROFILE"
"62503800001021","Nodes","1021",21.000000,29.981945,"Default Known Flow Node","Known Flow",239865.467426,660401.905911,,0.000000,,,,,0.000000,0.000000,,"",,,,
"62503800001018","Nodes","1018",21.000000,30.958902,"Default Known Flow Node","Known Flow",239731.039142,660333.049260,,0.000000,,,,,0.000000,0.000000,,"",,,,
"62503800001015","Nodes","1015",21.000000,30.683496,"Default Known Flow Node","Known Flow",239649.304367,660309.264886,,0.000000,,,,,0.000000,0.000000,,"",,,,
"62503800000085","Nodes","85",21.000000,24.806688,"Default Known Flow Node","Known Flow",239942.844796,660202.291574,,0.000000,,,,,0.000000,0.000000,,"",,,,
"62503800001020","Nodes","1020",21.000000,25.304241,"Default Known Flow Node","Known Flow",239851.140979,660114.799497,,0.000000,,,,,0.000000,0.000000,,"",,,,
"62503800000087","Nodes","87",21.000000,25.454847,"Default Known Flow Node","Known Flow",239804.149877,660151.524349,,0.000000,,,,,0.000000,0.000000,,"",,,,
"62503800001030","Nodes","1030",21.000000,26.334146,"Default Known Flow Node","Known Flow",239813.688513,660124.406339,,0.000000,,,,,0.000000,0.000000,,"",,,,
"62503800000933","Nodes","933",21.000000,26.307543,"Default Known Flow Node","Known Flow",239815.410260,660122.092763,,0.000000,,,,,0.000000,0.000000,,"",,,,
"62503800001013","Nodes","1013",21.000000,30.502978,"Default Known Flow Node","Known Flow",239518.977316,660244.386862,,0.000000,,,,,0.000000,0.000000,,"",,,,
