"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C3)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"62505700000004","Nodes","4,",21.000000,30.721639,"DDS demands","Known Flow",243585.185438,655263.623513,,0.000000,,,-11.220000,,,-10.033124,-11.220000,,"",,,"D1 PROFILE",,
"62505700000027","Nodes","27,",21.000000,30.012824,"DDS demands","Known Flow",243561.681431,655249.172509,,0.000000,,,-6.119999,,,-5.472613,-6.119999,,"",,,"D1 PROFILE",,
"62505700001000","Nodes","1000,",21.000000,26.764059,"Default Known Flow Node","Known Flow",243676.755463,655084.169464,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62505700000028","Nodes","28,",21.000000,29.924357,"DDS demands","Known Flow",243556.466430,655290.707520,,0.000000,,,-3.349999,,,-2.995629,-3.349999,,"",,,"D1 PROFILE",,
"62505700001001","Nodes","1001,",21.000000,26.814850,"Default Known Flow Node","Known Flow",243734.519478,655158.301484,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62505700000001","Nodes","UPLAWMOOR DG, Site ID 3418,",21.000000,33.999999,"Default Known Pressure Node","Known Pressure",243945.389536,655488.129574,,999998.967025,,,,,,309.721303,346.359994,,"",,,,,
"62505700000011","Nodes","11,",21.000000,24.739029,"DDS demands","Known Flow",243412.337391,655298.331522,,0.000000,,,-9.140000,,,-8.173152,-9.140000,,"",,,"D1 PROFILE",,
"62505700000024","Nodes","24,",21.000000,30.573971,"DDS demands","Known Flow",243675.245462,655267.145514,,0.000000,,-12.140000,,,,-10.855805,-12.140000,,"",,"C3  PROFILE",,,
"62505700000009","Nodes","9,",21.000000,25.570723,"DDS demands","Known Flow",243847.345509,655543.556589,,0.000000,,-2.359999,-14.229999,,,-14.835074,-16.590000,,"",,"C3  PROFILE","D1 PROFILE",,
"62505700000030","Nodes","30,",21.000000,34.023752,"Default Known Flow Node","Known Flow",244227.426612,655433.021559,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62505710000052","Nodes","10000052,",21.000000,28.366826,"Default Known Flow Node","Known Flow",243472.544407,655244.597508,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"625057-64","Nodes","64,",21.000000,28.148044,"Default Known Flow Node","Known Flow",243513.114418,655190.491493,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
