"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(TT)"
"62503400000388","Nodes","388",21.000000,32.439466,"DDS demands","Known Flow",227737.828126,683461.838186,,0.000000,,,-21.899999,,-1.429999,,,,,-20.862101,-23.329998,,,"",,,"C3  PROFILE",,"D1 PROFILE",,,,,
"62503400002492","Nodes","-473786",21.000000,32.568286,"Default Known Flow Node","Known Flow",227754.453131,683489.338193,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62503400002428","Nodes","Logger 9622, Lodge', Jct Rhu Road Higher / Gareloch Road",21.000000,32.277226,"Val Log Post","Known Flow",227910.828173,683321.463148,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62503400000464","Nodes","464",21.000000,32.613060,"DDS demands","Known Flow",228382.953302,683226.213122,,0.000000,,,,0.000000,-4.969999,,,,,-4.444263,-4.969999,,,"",,,,"C4 PROFILE","D1 PROFILE",,,,,
"62503400000466","Nodes","466",21.000000,32.486194,"DDS demands","Known Flow",228263.078269,683279.088136,,0.000000,,,,,-7.499999,,,,,-6.706634,-7.499999,,,"",,,,,"D1 PROFILE",,,,,
"62503400000467","Nodes","467",21.000000,32.362494,"DDS demands","Known Flow",228263.422929,683275.646030,,0.000000,,,,,-3.039999,,,,,-2.718422,-3.039999,,,"",,,,,"D1 PROFILE",,,,,
"62503400002489","Nodes","-35913",21.000000,32.424945,"Default Known Flow Node","Known Flow",228122.952833,683414.334677,,0.000000,,,,,,,-6.099999,,,-5.454729,-6.099999,,,"",,,,,,,"DH PROFILE",,,
"62503400002482","Nodes","-35849",21.000000,31.847206,"Default Known Flow Node","Known Flow",228241.078263,683221.963120,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62503400000468","Nodes","468",21.000000,31.553579,"DDS demands","Known Flow",228275.328272,683205.713116,,0.000000,,,,,-6.190000,,,,,-5.535208,-6.190000,,,"",,,,,"D1 PROFILE",,,,,
"62503400002484","Nodes","-35868",21.000000,32.363552,"Default Known Flow Node","Known Flow",228263.682130,683276.206854,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62503400002477","Nodes","-35769",21.000000,29.354391,"Default Known Flow Node","Known Flow",228265.578270,683026.963067,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62503400000472","Nodes","P00073458, West King Street, -12.7",22.999998,28.253412,"CSEP DDS Matched","Known Flow",228307.953281,683012.088063,,0.000000,,,,,-11.740000,-12.700000,,,,-21.854686,-24.440000,,,"",,,,,"D1 PROFILE","DC PROFILE",,,,
"62503400000469","Nodes","469",21.000000,31.244030,"DDS demands","Known Flow",228337.078289,683135.088097,,0.000000,,,,,-11.570000,,,,,-10.346101,-11.570000,,,"",,,,,"D1 PROFILE",,,,,
"62503400000470","Nodes","470",21.000000,30.717153,"DDS demands","Known Flow",228300.828279,683073.963080,,0.000000,,,,,-10.060000,,,,,-8.995832,-10.060000,,,"",,,,,"D1 PROFILE",,,,,
"62503400002481","Nodes","-35838",21.000000,31.343260,"Default Known Flow Node","Known Flow",228338.703290,683175.213108,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62503400000471","Nodes","471",21.000000,30.328840,"DDS demands","Known Flow",228267.453270,683066.463078,,0.000000,,,,,-11.029999,,,,,-9.863223,-11.029999,,,"",,,,,"D1 PROFILE",,,,,
"62503400002485","Nodes","-35869",21.000000,32.485936,"Default Known Flow Node","Known Flow",228265.328270,683278.088136,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62503400002478","Nodes","-35788",21.000000,29.962911,"Default Known Flow Node","Known Flow",228258.578268,683052.588074,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62503400002539","Nodes","-479124",21.000000,29.962911,"Default Known Flow Node","Known Flow",228259.078268,683057.713076,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62503400002540","Nodes","-479128",21.000000,29.962911,"Default Known Flow Node","Known Flow",228258.203268,683048.338073,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62503400002483","Nodes","-35867",21.000000,32.357778,"Default Known Flow Node","Known Flow",228263.006721,683274.745497,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62503400000474","Nodes","474",21.000000,32.086908,"DDS demands","Known Flow",228168.578243,683295.338140,,0.000000,,,,,-8.470000,,,,,-7.574026,-8.470000,,,"",,,,,"D1 PROFILE",,,,,
"62503400000476","Nodes","476",21.000000,30.142597,"DDS demands","Known Flow",228011.953201,683268.588133,,0.000000,,,,,-9.529999,,,,,-8.521896,-9.529999,,,"",,,,,"D1 PROFILE",,,,,
"62503400000478","Nodes","478",21.000000,29.567011,"DDS demands","Known Flow",228024.828204,683222.713121,,0.000000,,,,,-9.540000,,,,,-8.530839,-9.540000,,,"",,,,,"D1 PROFILE",,,,,
"62503400002541","Nodes","-479134",21.000000,32.436361,"Default Known Flow Node","Known Flow",228161.328241,683328.213149,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62503400002479","Nodes","-35808",21.000000,32.699102,"Default Known Flow Node","Known Flow",228642.453372,683111.088090,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62503400002480","Nodes","-35817",21.000000,32.613025,"Default Known Flow Node","Known Flow",228621.832640,683124.597094,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62503400002545","Nodes","-479638",21.000000,32.656060,"Default Known Flow Node","Known Flow",228613.953364,683128.338095,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62503400000462","Nodes","462",21.000000,32.656060,"Default Known Flow Node","Known Flow",228549.953347,683152.463102,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62503400000433","Nodes","433",21.000000,30.029852,"DDS demands","Known Flow",226501.702790,683878.713299,,0.000000,,,,,-1.879999,,,,,-1.681129,-1.879999,,,"",,,,,"D1 PROFILE",,,,,
"62503400000431","Nodes","431",21.000000,29.928125,"DDS demands","Known Flow",226600.202817,683899.838305,,0.000000,,,,,-1.209999,,,,,-1.082003,-1.209999,,,"",,,,,"D1 PROFILE",,,,,
"62503400002435","Nodes","-32033",21.000000,31.251390,"Default Known Flow Node","Known Flow",226730.077852,683922.213311,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62503400002503","Nodes","-477663",21.000000,31.643563,"Default Known Flow Node","Known Flow",226870.327890,683896.963304,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62503400000155","Nodes","155",21.000000,29.072729,"Default Known Flow Node","Known Flow",225972.798646,685615.589772,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62503400002433","Nodes","-32026",21.000000,31.515313,"Default Known Flow Node","Known Flow",226960.202915,683900.963305,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62503400002502","Nodes","-477662",21.000000,31.601446,"Default Known Flow Node","Known Flow",226951.202912,683932.213314,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
