"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"62502600000500","Nodes","500",21.000000,36.708350,"Default Known Flow Node","Known Flow",213648.251193,667238.531358,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"C1 PROFILE",,,,,,,,,,,,
"62502600000326","Nodes","326",21.000000,36.708350,"DDS demands","Known Flow",213645.007292,667310.285791,,0.000000,,,,,,-26.500000,,,,,,,-23.696774,-26.500000,,"C1 PROFILE",,,,,,"D1 PROFILE",,,,,,
"62502600000380","Nodes","380",21.000000,43.081918,"Default Known Flow Node","Known Flow",218451.118600,679158.378015,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"C1 PROFILE",,,,,,,,,,,,
"62502600000379","Nodes","379",21.000000,44.588553,"DDS demands","Known Flow",218384.321581,678633.881872,,0.000000,-15.999999,,,,,-9.289999,,,,,,,-22.614770,-25.289999,,"C1 PROFILE","C1 PROFILE",,,,,"D1 PROFILE",,,,,,
"62502600000171","Nodes","171",21.000000,44.068081,"DDS demands","Known Flow",218388.920583,678634.402872,,0.000000,,,-5.579999,,,-32.619998,,,,,,,-34.159124,-38.199999,,"C1 PROFILE",,,"C3  PROFILE",,,"D1 PROFILE",,,,,,
"62502600000555","Nodes","555",21.000000,45.410135,"Default Known Flow Node","Known Flow",216393.243822,679938.183613,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"C1 PROFILE",,,,,,,,,,,,
"62502600001020","Nodes","1020",21.000000,45.424395,"Default Known Flow Node","Known Flow",216388.786039,679935.539226,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"62502600000227","Nodes","227",21.000000,45.256218,"DDS demands","Known Flow",216389.907581,679945.505766,,0.000000,,,,,,-5.420000,,,,,,,-4.846660,-5.420000,,"C1 PROFILE",,,,,,"D1 PROFILE",,,,,,
"62502600000235","Nodes","235",21.000000,38.915922,"DDS demands","Known Flow",215458.125785,670971.951787,,0.000000,,,-1.760000,,,-17.479999,,,,,,,-17.204751,-19.239998,,"C1 PROFILE",,,"C3  PROFILE",,,"D1 PROFILE",,,,,,
"62502600000014","Nodes","14",21.000000,38.055705,"DDS demands","Known Flow",215605.499825,671281.866871,,0.000000,,,,,,-14.510000,,,,,,,-12.975102,-14.510000,,"C1 PROFILE",,,,,,"D1 PROFILE",,,,,,
"62502600000221","Nodes","221",21.000000,30.651124,"DDS demands","Known Flow",216640.176107,680339.512336,,0.000000,,,,,,-10.509999,,,,,,,-9.398229,-10.509999,,"C1 PROFILE",,,,,,"D1 PROFILE",,,,,,
"62502600000216","Nodes","216",21.000000,28.670008,"DDS demands","Known Flow",216902.549178,680277.258319,,0.000000,,,,,,-13.810000,,,,,,,-12.349149,-13.810000,,"C1 PROFILE",,,,,,"D1 PROFILE",,,,,,
"62502600000577","Nodes","577",21.000000,42.235139,"DDS demands","Known Flow",216139.715618,680401.632098,,0.000000,,,,,,-1.019999,,,,,,,-0.912102,-1.019999,,"C1 PROFILE",,,,,,"D1 PROFILE",,,,,,
"62502600000231","Nodes","231",21.000000,21.240757,"DDS demands","Known Flow",215521.231803,681213.141574,,0.000000,,,,,,-7.099999,,,,,,,-6.348946,-7.099999,,"C1 PROFILE",,,,,,"D1 PROFILE",,,,,,
"62502600000552","Nodes","552",21.000000,31.246467,"DDS demands","Known Flow",217269.975836,677805.977422,,0.000000,-13.869999,,,,,,,,,,,,-12.402802,-13.869999,,"C1 PROFILE","C1 PROFILE",,,,,,,,,,,
"62502600000146","Nodes","146",21.000000,29.587520,"DDS demands","Known Flow",217309.530289,678135.429736,,0.000000,,,,,,-31.169999,,,,,,,-27.872772,-31.169999,,"C1 PROFILE",,,,,,"D1 PROFILE",,,,,,
"62502600000425","Nodes","425",21.000000,31.282040,"DDS demands","Known Flow",218215.720536,679676.478156,,0.000000,,,,,,-17.459998,,,,,,,-15.613043,-17.459998,,"C1 PROFILE",,,,,,"D1 PROFILE",,,,,,
"62502600000504","Nodes","504",21.000000,30.320242,"Default Known Flow Node","Known Flow",218121.203510,679761.891179,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"C1 PROFILE",,,,,,,,,,,,
"62502600000328","Nodes","328",21.000000,35.593967,"Default Known Flow Node","Known Flow",217193.617258,676867.972391,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"C1 PROFILE",,,,,,,,,,,,
"62502600000329","Nodes","329",21.000000,35.346093,"DDS demands","Known Flow",217135.366242,676516.950296,,0.000000,,,,,,-15.689999,,,,,,,-14.030278,-15.689999,,"C1 PROFILE",,,,,,"D1 PROFILE",,,,,,
"62502600000061","Nodes","61",21.000000,34.417207,"DDS demands","Known Flow",217144.273244,676637.013329,,0.000000,,,,,,-53.499999,,,,,,,-47.840658,-53.499999,,"C1 PROFILE",,,,,,"D1 PROFILE",,,,,,
"62502600000062","Nodes","62",21.000000,35.144575,"DDS demands","Known Flow",217171.737252,676765.378364,,0.000000,,,,,,-32.839999,,,,,,,-29.366116,-32.839999,,"C1 PROFILE",,,,,,"D1 PROFILE",,,,,,
"62502600000013","Nodes","13",21.000000,37.223245,"DDS demands","Known Flow",215673.573181,671615.254960,,0.000000,,,,,,-13.899999,,,,,,,-12.429627,-13.899999,,"C1 PROFILE",,,,,,"D1 PROFILE",,,,,,
"62502600000332","Nodes","BULLWOOD ROAD DUNOON DG, tel, Site ID 3748",21.000000,40.000000,"Default Known Pressure Node","Known Pressure",216776.561144,675874.997121,,999998.967025,,,,,,,,,,,,,372.200690,416.230447,,"",,,,,,,,,,,,
"62502601462657","Nodes","1462657",21.000000,36.708350,"Default Known Flow Node","Known Flow",213639.787434,667214.432874,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"C1 PROFILE",,,,,,,,,,,,
"62502600000369","Nodes","369",21.000000,48.943676,"DDS demands","Known Flow",212641.350019,667566.835861,,0.000000,,,,,,-7.649999,,,,,,,-6.840766,-7.649999,,"C1 PROFILE",,,,,,"D1 PROFILE",,,,,,
