"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"62506300131998","Nodes","-131998",21.000000,57.754361,"Default Known Flow Node","Known Flow",223374.255939,690307.180048,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000038","Nodes","38",21.000000,57.722438,"DDS demands","Known Flow",223375.636939,690302.526047,,0.000000,,,,,-2.250000,,,,,-2.011990,-2.250000,,,"",,,,,"D1 PROFILE",,,,,
"62506300000029","Nodes","29",21.000000,71.650314,"Default Known Flow Node","Known Flow",224096.287461,690742.414833,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000001","Nodes","1",21.000000,74.927749,"DDS demands","Known Flow",224102.209369,690316.919789,,0.000000,,,,,-9.069999,,,,,-8.110555,-9.069999,,,"",,,,,"D1 PROFILE",,,,,
"62506310000001","Nodes","1, GARELOCHEAD DISTRICT DG, TEL, Site ID 3637",21.000000,74.999996,"Default Known Pressure Node","Known Pressure",224093.157135,690314.683050,,999998.967025,,,,,,,,,,617.739151,690.815018,,,"",,,,,,,,,,
"62506300000002","Nodes","2",21.000000,69.799212,"DDS demands","Known Flow",224068.226128,690981.983232,,0.000000,-3.140000,,,-6.269999,-24.520000,,,,,-30.340814,-33.929999,,,"","C1 PROFILE",,,"C4 PROFILE","D1 PROFILE",,,,,
"62506300132124","Nodes","-132124",21.000000,57.685924,"Default Known Flow Node","Known Flow",223760.371044,691609.091403,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000052","Nodes","52",21.000000,53.027316,"Default Known Flow Node","Known Flow",223750.553135,691649.186088,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
"62506300000018","Nodes","18",21.000000,50.712767,"DDS demands","Known Flow",223745.818040,691668.523419,,0.000000,,,,,-18.530000,,,,,-16.569857,-18.530000,,,"",,,,,"D1 PROFILE",,,,,
"62506300168103","Nodes","-168103",21.000000,69.200387,"Default Known Flow Node","Known Flow",224010.687112,691055.748252,,0.000000,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,
