"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"62501500000400","Nodes","400",21.000000,24.748917,"DDS demands","Known Flow",247018.575000,671992.470000,,0.000000,,,,,-1.389999,,,,-1.242962,-1.389999,,"",,,,,"D1 PROFILE",,,
"62501500168651","Nodes","168651",21.000000,24.662026,"Default Known Flow Node","Known Flow",247067.200000,671967.970000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62501503481485","Nodes","3481485",21.000000,22.770712,"Default Known Flow Node","Known Flow",246667.450000,672416.970000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62501500001002","Nodes","1002",21.000000,22.805426,"DDS demands","Known Flow",246672.372433,672399.708174,,0.000000,,,,,-6.459999,,,,-5.776647,-6.459999,,"",,,,,"D1 PROFILE",,,
"62501500172906","Nodes","172906",21.000000,23.757257,"Default Known Flow Node","Known Flow",246775.325000,672169.845000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62501500001000","Nodes","1000",21.000000,32.290635,"Default Known Flow Node","Known Flow",246653.742952,673048.235402,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62501500001001","Nodes","1001",21.000000,30.956967,"Default Known Flow Node","Known Flow",246638.162457,673016.960024,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62501500000120","Nodes","120",21.000000,28.071143,"Default Known Flow Node","Known Flow",246603.950000,672936.220000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62501500001005","Nodes","1005",21.000000,32.897653,"Default Known Flow Node","Known Flow",246656.658591,673068.110294,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62501500000219","Nodes","219",21.000000,24.694640,"Default Known Flow Node","Known Flow",247141.825000,671937.220000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62501500000267","Nodes","267",21.000000,25.995816,"Default Known Flow Node","Known Flow",247406.700000,671964.345000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62501500168653","Nodes","168653",21.000000,25.086592,"Default Known Flow Node","Known Flow",247143.575000,671925.970000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62501500000306","Nodes","306",21.000000,25.998148,"Default Known Flow Node","Known Flow",247415.325000,671992.845000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62501500186766","Nodes","186766",21.000000,25.998148,"Default Known Flow Node","Known Flow",247390.825000,671984.345000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62501500000214","Nodes","214",21.000000,24.662038,"DDS demands","Known Flow",247069.325000,671966.720000,,0.000000,,,,,-7.710000,,,,-6.894420,-7.710000,,"",,,,,"D1 PROFILE",,,
"62501500000218","Nodes","218",21.000000,24.694640,"DDS demands","Known Flow",247142.325000,671951.595000,,0.000000,,,,,-13.640000,,,,-12.197133,-13.640000,,"",,,,,"D1 PROFILE",,,
"62501500168652","Nodes","168652",21.000000,24.662026,"Default Known Flow Node","Known Flow",247068.075000,671969.845000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62501500000220","Nodes","220, ""LINK FROM CLYDEBANK LP NETWORK""",21.000000,25.999999,"Default Known Pressure Node","Known Pressure",247407.575000,671971.845000,,999998.967025,,,,,,,,,394.645197,441.330007,,"",,,,,,,,
"62501500000295","Nodes","295",21.000000,25.998148,"Default Known Flow Node","Known Flow",247390.825000,671973.470000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62501500000263","Nodes","263",21.000000,25.997501,"DDS demands","Known Flow",247384.950000,671973.220000,,0.000000,,,,,-8.830000,,,,-7.895944,-8.830000,,"",,,,,"D1 PROFILE",,,
"62501500000264","Nodes","264",21.000000,25.931780,"DDS demands","Known Flow",247350.671462,671971.476059,,0.000000,,,,,-3.339999,,,,-2.986687,-3.339999,,"",,,,,"D1 PROFILE",,,
