"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)"
"62507200000015","Nodes","15",21.000000,31.508587,"DDS demands","Known Flow",250164.250000,620993.625000,,0.000000,,,-5.339999,,,-4.775123,-5.339999,,"",,,"D1 PROFILE",,
"62507200000012","Nodes","12",21.000000,39.573893,"DDS demands","Known Flow",250161.625000,620899.625000,,0.000000,,,-10.339999,,,-9.246212,-10.339999,,"",,,"D1 PROFILE",,
"62507200000013","Nodes","13",21.000000,39.573893,"Default Known Flow Node","Known Flow",250151.375000,620896.750000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62507200000035","Nodes","P00106617, Main Street, 20.7",24.000000,54.857002,"CSEP DDS Matched","Known Flow",250477.933898,621036.414265,,0.000000,,,,-20.700001,,-18.510311,-20.700001,,"",,,,"DC PROFILE",
"62507200000011","Nodes","11",21.000000,43.647595,"DDS demands","Known Flow",250287.375000,620931.250000,,0.000000,,,-18.759999,,,-16.775527,-18.759999,,"",,,"D1 PROFILE",,
"62507200000034","Nodes","34",21.000000,41.095762,"DDS demands","Known Flow",250203.375000,620954.125000,,0.000000,,,-7.139999,,,-6.384715,-7.139999,,"",,,"D1 PROFILE",,
"62507200000033","Nodes","33",21.000000,31.541331,"DDS demands","Known Flow",250133.250000,621044.375000,,0.000000,,,-1.659999,,,-1.484401,-1.659999,,"",,,"D1 PROFILE",,
"62507200000016","Nodes","16",21.000000,38.732227,"DDS demands","Known Flow",250239.172712,621047.115872,,0.000000,,,-10.470000,,,-9.362461,-10.470000,,"",,,"D1 PROFILE",,
"62507200000037","Nodes","37",21.000000,37.546868,"DDS demands","Known Flow",250088.250000,621036.625000,,0.000000,,,-1.919999,,,-1.716898,-1.919999,,"",,,"D1 PROFILE",,
"62507200000036","Nodes","36",21.000000,36.461943,"DDS demands","Known Flow",250118.875000,621122.875000,,0.000000,,,-6.300000,,,-5.633573,-6.300000,,"",,,"D1 PROFILE",,
