"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)"
"62504700000148","Nodes","148",21.000000,24.989579,"DDS demands","Known Flow",236740.974576,634295.445807,,0.000000,-2.589999,,,,,,,-2.316024,-2.589999,,"","C1 PROFILE",,,,,,
"62504700000026","Nodes","26",21.000000,25.713020,"DDS demands","Known Flow",236639.986158,634456.167651,,0.000000,,,,,-2.910000,,,-2.602174,-2.910000,,"",,,,,"D1 PROFILE",,
"62504700000089","Nodes","89",21.000000,37.942774,"DDS demands","Known Flow",233041.689569,634684.077913,,0.000000,,,,,-8.079999,,,-7.225280,-8.079999,,"",,,,,"D1 PROFILE",,
"62504700000088","Nodes","88",21.000000,38.257877,"DDS demands","Known Flow",233064.767136,634587.499033,,0.000000,,,,,-7.649999,,,-6.840766,-7.649999,,"",,,,,"D1 PROFILE",,
"62504700003027","Nodes","3027",21.000000,38.127451,"Default Known Flow Node","Known Flow",233053.217151,634634.121450,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62504700003024","Nodes","3024",21.000000,38.185930,"Default Known Flow Node","Known Flow",233060.101803,634606.925367,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62504700000042","Nodes","42",21.000000,26.967049,"DDS demands","Known Flow",235975.180529,634781.333158,,0.000000,,,,,-15.160000,,,-13.556343,-15.160000,,"",,,,,"D1 PROFILE",,
"62504700000038","Nodes","38",21.000000,27.013746,"DDS demands","Known Flow",235948.518983,634800.866157,,0.000000,,,,,-25.510000,,,-22.811498,-25.510000,,"",,,,,"D1 PROFILE",,
"62504700000037","Nodes","37",21.000000,27.003252,"DDS demands","Known Flow",235915.393612,634853.502431,,0.000000,,,,,-13.080000,,,-11.696370,-13.080000,,"",,,,,"D1 PROFILE",,
"62504700000039","Nodes","39",21.000000,26.901248,"DDS demands","Known Flow",235822.240326,634866.649963,,0.000000,,,,,-9.090000,,,-8.128440,-9.090000,,"",,,,,"D1 PROFILE",,
"62504700000036","Nodes","36",21.000000,27.103485,"DDS demands","Known Flow",235944.934152,634892.368637,,0.000000,,,,,-10.039999,,,-8.977947,-10.039999,,"",,,,,"D1 PROFILE",,
"62504700000040","Nodes","40",21.000000,26.993387,"DDS demands","Known Flow",235869.657509,634940.039643,,0.000000,,,,,-11.190000,,,-10.006298,-11.190000,,"",,,,,"D1 PROFILE",,
"62504700000115","Nodes","Logger 9685,  Kilnford Drive",21.000000,27.248299,"Val Log Cath","Known Flow",235982.142225,634916.785752,,0.000000,,,,,-7.489999,,,-6.697691,-7.489999,,"",,,,,"D1 PROFILE",,
"62504700000041","Nodes","41",21.000000,26.612894,"DDS demands","Known Flow",235792.326317,634894.556970,,0.000000,,,,,-6.020000,,,-5.383191,-6.020000,,"",,,,,"D1 PROFILE",,
"62504700000116","Nodes","116",21.000000,27.209081,"Default Known Flow Node","Known Flow",235961.552363,634975.772992,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62504700000111","Nodes","111",21.000000,26.375503,"DDS demands","Known Flow",236035.736725,634727.154869,,0.000000,,,,,-4.210000,,,-3.764657,-4.210000,,"",,,,,"D1 PROFILE",,
"62504700000035","Nodes","35",21.000000,29.605567,"DDS demands","Known Flow",236208.673431,634805.381946,,0.000000,,,,,-17.339999,,,-15.505737,-17.339999,,"",,,,,"D1 PROFILE",,
"62504700000034","Nodes","34",21.000000,29.347945,"DDS demands","Known Flow",236179.115510,634788.442252,,0.000000,,,,,-14.600000,,,-13.055581,-14.600000,,"",,,,,"D1 PROFILE",,
"62504700000114","Nodes","114",21.000000,26.806737,"DDS demands","Known Flow",236045.194386,634797.354944,,0.000000,,,,,-7.669999,,,-6.858651,-7.669999,,"",,,,,"D1 PROFILE",,
"62504700000048","Nodes","48",21.000000,28.929948,"DDS demands","Known Flow",236119.954407,634609.173892,,0.000000,,,,,-6.690000,,,-5.982318,-6.690000,,"",,,,,"D1 PROFILE",,
"62504700000071","Nodes","71",21.000000,30.209109,"DDS demands","Known Flow",236470.491502,634915.857976,,0.000000,,,,,-13.340000,,,-11.928867,-13.340000,,"",,,,,"D1 PROFILE",,
"62504700000047","Nodes","47",21.000000,25.942603,"DDS demands","Known Flow",236083.590096,634648.618640,,0.000000,,,,,-12.729999,,,-11.383393,-12.729999,,"",,,,,"D1 PROFILE",,
"62504700000033","Nodes","33",21.000000,29.314914,"DDS demands","Known Flow",236218.305916,634640.954494,,0.000000,,,,,-28.680000,,,-25.646169,-28.680000,,"",,,,,"D1 PROFILE",,
"62504700000022","Nodes","22",21.000000,31.445156,"DDS demands","Known Flow",236412.839486,634789.620942,,0.000000,,,,,-23.519999,,,-21.032005,-23.519999,,"",,,,,"D1 PROFILE",,
"62504700000070","Nodes","70",21.000000,31.049200,"DDS demands","Known Flow",236375.898881,634884.367743,,0.000000,,,,,-7.479999,,,-6.688749,-7.479999,,"",,,,,"D1 PROFILE",,
"62504700000072","Nodes","72",21.000000,30.866356,"DDS demands","Known Flow",236344.904901,634928.254442,,0.000000,,,,,-0.410000,,,-0.366629,-0.410000,,"",,,,,"D1 PROFILE",,
"62504700000073","Nodes","73",21.000000,30.787592,"DDS demands","Known Flow",236361.645987,634936.011205,,0.000000,,,,,-0.049999,,,-0.044710,-0.049999,,"",,,,,"D1 PROFILE",,
"62504700000076","Nodes","76",21.000000,30.779019,"DDS demands","Known Flow",236355.458471,634947.063984,,0.000000,,,,,-3.119999,,,-2.789959,-3.119999,,"",,,,,"D1 PROFILE",,
"62504700000074","Nodes","74",21.000000,30.256244,"DDS demands","Known Flow",236389.432480,634949.666985,,0.000000,,,,,-3.380000,,,-3.022456,-3.380000,,"",,,,,"D1 PROFILE",,
"62504700000075","Nodes","75",21.000000,30.216779,"DDS demands","Known Flow",236399.872483,634965.875990,,0.000000,,,,,-4.780000,,,-4.274362,-4.780000,,"",,,,,"D1 PROFILE",,
"62504700000077","Nodes","77",21.000000,29.739043,"DDS demands","Known Flow",236451.579715,634966.421340,,0.000000,,,,,-5.780000,,,-5.168579,-5.780000,,"",,,,,"D1 PROFILE",,
"62504700000078","Nodes","78",21.000000,29.727548,"DDS demands","Known Flow",236462.439500,634947.912985,,0.000000,,,,,-1.960000,,,-1.752667,-1.960000,,"",,,,,"D1 PROFILE",,
"62504700000079","Nodes","79",21.000000,29.683362,"DDS demands","Known Flow",236458.433499,634986.620995,,0.000000,,,,,-5.059999,,,-4.524742,-5.059999,,"",,,,,"D1 PROFILE",,
"62504700000097","Nodes","97",21.000000,29.918106,"Default Known Flow Node","Known Flow",236492.294256,634984.859795,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62504700003008","Nodes","3008",21.000000,29.914929,"Default Known Flow Node","Known Flow",236496.948333,634971.717621,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62504700003015","Nodes","3015",21.000000,30.252481,"Default Known Flow Node","Known Flow",236475.064428,634902.820256,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62504700000112","Nodes","112",21.000000,26.378926,"DDS demands","Known Flow",236083.040175,634729.132962,,0.000000,,,,,-6.309999,,,-5.642515,-6.309999,,"",,,,,"D1 PROFILE",,
"62504700000113","Nodes","113",21.000000,26.316194,"DDS demands","Known Flow",236138.241241,634728.859077,,0.000000,,,,,-6.760000,,,-6.044912,-6.760000,,"",,,,,"D1 PROFILE",,
"62504700000117","Nodes","117",21.000000,27.934766,"DDS demands","Known Flow",236158.096362,634976.532307,,0.000000,,,,,-17.270000,,,-15.443143,-17.270000,,"",,,,,"D1 PROFILE",,
"62504700000119","Nodes","119",21.000000,28.145948,"DDS demands","Known Flow",236174.698969,634940.594848,,0.000000,,,,,-17.849999,,,-15.961788,-17.849999,,"",,,,,"D1 PROFILE",,
"62504700000120","Nodes","120",21.000000,27.443916,"DDS demands","Known Flow",236239.080439,634967.665990,,0.000000,,,,,-15.160000,,,-13.556343,-15.160000,,"",,,,,"D1 PROFILE",,
"62504700003003","Nodes","3003",21.000000,28.605175,"Default Known Flow Node","Known Flow",236186.191521,634896.210406,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62504700000121","Nodes","121",21.000000,28.632986,"DDS demands","Known Flow",236186.887732,634893.521630,,0.000000,,,,,-7.340000,,,-6.563559,-7.340000,,"",,,,,"D1 PROFILE",,
"62504700000122","Nodes","122",21.000000,28.400724,"DDS demands","Known Flow",236258.075444,634919.590977,,0.000000,,,,,-8.069999,,,-7.216338,-8.069999,,"",,,,,"D1 PROFILE",,
"62504700000123","Nodes","123",21.000000,29.249684,"DDS demands","Known Flow",236199.082281,634846.426065,,0.000000,,,,,-6.560000,,,-5.866069,-6.560000,,"",,,,,"D1 PROFILE",,
"62504700003037","Nodes","3037",21.000000,29.213350,"Default Known Flow Node","Known Flow",236213.081945,634849.422333,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62504700000124","Nodes","124",21.000000,29.073194,"DDS demands","Known Flow",236270.974448,634872.754964,,0.000000,,,,,-7.089999,,,-6.340004,-7.089999,,"",,,,,"D1 PROFILE",,
"62504700003032","Nodes","3032",21.000000,33.723522,"Default Known Flow Node","Known Flow",236465.991937,634710.051429,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62504700000053","Nodes","53",21.000000,33.445074,"DDS demands","Known Flow",236463.178500,634717.935922,,0.000000,,,,,-6.340000,,,-5.669341,-6.340000,,"",,,,,"D1 PROFILE",,
"62504700000144","Nodes","144",21.000000,26.773518,"DDS demands","Known Flow",236573.669336,634471.477020,,0.000000,-4.600000,,,,-11.119999,,,-14.057104,-15.719999,,"","C1 PROFILE",,,,"D1 PROFILE",,
"62504700000139","Nodes","139",21.000000,26.569569,"DDS demands","Known Flow",236591.709535,634508.566865,,0.000000,,,,-3.619999,-6.939999,,,-9.442941,-10.559999,,"",,,,"C4 PROFILE","D1 PROFILE",,
"62504700003036","Nodes","3036",21.000000,24.030106,"Default Known Flow Node","Known Flow",236508.380529,634838.979167,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62504700000131","Nodes","131",21.000000,29.353548,"DDS demands","Known Flow",236529.165735,634958.690220,,0.000000,,,,,-15.109999,,,-13.511631,-15.109999,,"",,,,,"D1 PROFILE",,
"62504700003013","Nodes","3013",21.000000,26.569569,"Default Known Flow Node","Known Flow",236600.791280,634502.775471,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62504700000134","Nodes","134",21.000000,29.458224,"DDS demands","Known Flow",236577.456483,634973.894340,,0.000000,,,,,-8.430000,,,-7.538257,-8.430000,,"",,,,,"D1 PROFILE",,
"62504700000059","Nodes","59",21.000000,23.887478,"DDS demands","Known Flow",236504.533776,634847.133414,,0.000000,,,,,-10.450000,,,-9.344577,-10.450000,,"",,,,,"D1 PROFILE",,
"62504700000058","Nodes","58",21.000000,23.868670,"DDS demands","Known Flow",236484.830506,634884.199967,,0.000000,,,,,-2.529999,,,-2.262371,-2.529999,,"",,,,,"D1 PROFILE",,
"62504700000060","Nodes","60",21.000000,23.680313,"DDS demands","Known Flow",236454.096497,634816.601949,,0.000000,,,,,-7.190000,,,-6.429426,-7.190000,,"",,,,,"D1 PROFILE",,
"62504700000057","Nodes","57",21.000000,25.079234,"DDS demands","Known Flow",236534.954274,634788.182886,,0.000000,,,,,-4.760000,,,-4.256477,-4.760000,,"",,,,,"D1 PROFILE",,
"62504700000049","Nodes","49",21.000000,31.539660,"DDS demands","Known Flow",236675.654105,634637.677236,,0.000000,,,,,-29.260000,,,-26.164816,-29.260000,,"",,,,,"D1 PROFILE",,
"62504700000140","Nodes","140",21.000000,28.172490,"DDS demands","Known Flow",236647.362908,634516.861014,,0.000000,,,,,-6.979999,,,-6.241640,-6.979999,,"",,,,,"D1 PROFILE",,
"62504700000063","Nodes","63",21.000000,25.393199,"DDS demands","Known Flow",236561.011527,634748.288930,,0.000000,,-2.580000,-9.170000,,-4.320000,,,-14.370081,-16.070001,,"",,"C2 PROFILE","C3  PROFILE",,"D1 PROFILE",,
"62504700000055","Nodes","P00103240, Kilmarnock Road, 10.34",22.999998,24.608872,"CSEP DDS Matched","Known Flow",236582.432137,634757.630103,,0.000000,,,,,-9.949999,-10.300000,,-18.107912,-20.250000,,"",,,,,"D1 PROFILE","DC PROFILE",
"62504700000061","Nodes","61",21.000000,23.052121,"DDS demands","Known Flow",236656.948553,634790.272942,,0.000000,,,,,-7.070000,,,-6.322121,-7.070000,,"",,,,,"D1 PROFILE",,
"62504700000066","Nodes","66",21.000000,23.114751,"DDS demands","Known Flow",236733.129437,634749.809392,,0.000000,,,,,-12.340000,,,-11.034649,-12.340000,,"",,,,,"D1 PROFILE",,
"62504700000064","Nodes","64",21.000000,22.327237,"DDS demands","Known Flow",236673.518008,634832.564723,,0.000000,,-6.000000,,,-4.999999,,,-9.836396,-11.000000,,"",,"C2 PROFILE",,,"D1 PROFILE",,
"62504700000065","Nodes","65",21.000000,22.320933,"DDS demands","Known Flow",236720.085206,634837.375613,,0.000000,,,,,-3.079999,,,-2.754191,-3.079999,,"",,,,,"D1 PROFILE",,
"62504700000054","Nodes","54",21.000000,22.112844,"DDS demands","Known Flow",236654.570552,634866.345962,,0.000000,,,,,-5.680000,,,-5.079157,-5.680000,,"",,,,,"D1 PROFILE",,
"62504700003038","Nodes","3038",21.000000,21.904851,"Default Known Flow Node","Known Flow",236662.058633,634870.473845,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62504700000023","Nodes","23",21.000000,32.286624,"DDS demands","Known Flow",236524.553758,634629.505512,,0.000000,,,,,-24.999999,,,-22.355447,-24.999999,,"",,,,,"D1 PROFILE",,
"62504700000067","Nodes","67",21.000000,23.009424,"DDS demands","Known Flow",236678.697559,634731.945926,,0.000000,,,,,-3.910000,,,-3.496392,-3.910000,,"",,,,,"D1 PROFILE",,
"62504700000068","Nodes","68",21.000000,23.720394,"DDS demands","Known Flow",236752.024579,634700.172917,,0.000000,,,,,-5.929999,,,-5.302711,-5.929999,,"",,,,,"D1 PROFILE",,
"62504700000105","Nodes","105",21.000000,24.798670,"Default Known Flow Node","Known Flow",236717.019382,634690.271562,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62504700003031","Nodes","3031",21.000000,23.684752,"Default Known Flow Node","Known Flow",236782.363152,634702.034136,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62504700000081","Nodes","81",21.000000,21.233805,"DDS demands","Known Flow",236640.709362,634908.191862,,0.000000,,,,,-9.869999,,,-8.825930,-9.869999,,"",,,,,"D1 PROFILE",,
"62504700000082","Nodes","82",21.000000,21.211922,"DDS demands","Known Flow",236673.904557,634932.480980,,0.000000,,,,,-2.609999,,,-2.333908,-2.609999,,"",,,,,"D1 PROFILE",,
"62504700000135","Nodes","135",21.000000,21.092002,"DDS demands","Known Flow",236601.060537,634890.594969,,0.000000,,,,,-6.510000,,,-5.821358,-6.510000,,"",,,,,"D1 PROFILE",,
"62504700003034","Nodes","3034",21.000000,23.311570,"Default Known Flow Node","Known Flow",236617.023018,634801.450807,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62504700000141","Nodes","141",21.000000,28.032712,"DDS demands","Known Flow",236721.597744,634565.336552,,0.000000,,,,,-4.679999,,,-4.184939,-4.679999,,"",,,,,"D1 PROFILE",,
"62504700000080","Nodes","80",21.000000,21.906482,"DDS demands","Known Flow",236701.211565,634889.579969,,0.000000,,,,,-2.949999,,,-2.637942,-2.949999,,"",,,,,"D1 PROFILE",,
"62504700003020","Nodes","3020",21.000000,25.720645,"Default Known Flow Node","Known Flow",236721.784570,634506.431865,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62504700000143","Nodes","143",21.000000,23.542634,"DDS demands","Known Flow",236758.462940,634421.668764,,0.000000,,,,,-23.909999,,,-21.380749,-23.909999,,"",,,,,"D1 PROFILE",,
"62504700000107","Nodes","107",21.000000,23.294605,"DDS demands","Known Flow",236743.641982,634614.641499,,0.000000,,,,,-23.770000,,,-21.255560,-23.770000,,"",,,,,"D1 PROFILE",,
"62504700000106","Nodes","106",21.000000,22.963041,"DDS demands","Known Flow",236771.119584,634626.987897,,0.000000,,,,,-2.150000,,,-1.922568,-2.150000,,"",,,,,"D1 PROFILE",,
"62504700000103","Nodes","P00103220, Kilmarnock Road, 17.26",24.000000,31.679214,"CSEP DDS Matched","Known Flow",236649.003476,634663.324170,,0.000000,,,,,-5.519999,-17.299999,,-20.406050,-22.819999,,"",,,,,"D1 PROFILE","DC PROFILE",
"62504700000104","Nodes","104",21.000000,25.312684,"Default Known Flow Node","Known Flow",236720.047678,634682.214481,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62504700003030","Nodes","3030",21.000000,31.590432,"Default Known Flow Node","Known Flow",236665.800337,634668.132813,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62504700000069","Nodes","69",21.000000,24.784457,"DDS demands","Known Flow",236707.425566,634687.557914,,0.000000,,,,,-4.610000,,,-4.122344,-4.610000,,"",,,,,"D1 PROFILE",,
"62504700000062","Nodes","62",21.000000,23.678902,"Default Known Flow Node","Known Flow",236808.786726,634700.555665,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62504700000108","Nodes","108",21.000000,23.569136,"DDS demands","Known Flow",236800.706592,634646.971903,,0.000000,,,,,-6.589999,,,-5.892895,-6.589999,,"",,,,,"D1 PROFILE",,
"62504700000090","Nodes","90",21.000000,30.588278,"DDS demands","Known Flow",236310.511458,635013.412002,,0.000000,,,,,-1.479999,,,-1.323442,-1.479999,,"",,,,,"D1 PROFILE",,
"62504700000118","Nodes","118",21.000000,27.604759,"DDS demands","Known Flow",236221.073434,635014.278003,,0.000000,,,,,-8.970000,,,-8.021135,-8.970000,,"",,,,,"D1 PROFILE",,
"62504700000092","Nodes","92",21.000000,29.604201,"DDS demands","Known Flow",236318.231059,635085.561277,,0.000000,,,,,-2.679999,,-5.500000,-7.314702,-8.180000,,"",,,,,"D1 PROFILE",,"DH PROFILE"
"62504700000101","Nodes","101",21.000000,29.453892,"DDS demands","Known Flow",236471.450502,635135.541036,,0.000000,,,,,-6.300000,,,-5.633573,-6.300000,,"",,,,,"D1 PROFILE",,
"62504700000094","Nodes","94",21.000000,30.425767,"DDS demands","Known Flow",236397.719482,635031.149007,,0.000000,,,,,-3.349999,,,-2.995629,-3.349999,,"",,,,,"D1 PROFILE",,
"62504700000093","Nodes","93",21.000000,30.531665,"DDS demands","Known Flow",236379.887477,635025.397006,,0.000000,,,,,-4.619999,,,-4.131286,-4.619999,,"",,,,,"D1 PROFILE",,
"62504700000095","Nodes","95",21.000000,30.435354,"DDS demands","Known Flow",236403.232484,635116.266030,,0.000000,,,,,-2.140000,,,-1.913626,-2.140000,,"",,,,,"D1 PROFILE",,
"62504700000136","Nodes","136",21.000000,30.451924,"DDS demands","Known Flow",236412.138486,635022.295005,,0.000000,,,,,-5.469999,,,-4.891371,-5.469999,,"",,,,,"D1 PROFILE",,
"62504700000091","Nodes","91",21.000000,30.588159,"DDS demands","Known Flow",236334.751465,635015.563003,,0.000000,,,,,-3.180000,,,-2.843613,-3.180000,,"",,,,,"D1 PROFILE",,
"62504700000126","Nodes","126",21.000000,29.673961,"DDS demands","Known Flow",236322.990462,635067.409017,,0.000000,,,,,-7.190000,,,-6.429426,-7.190000,,"",,,,,"D1 PROFILE",,
"62504700003006","Nodes","3006",21.000000,29.673961,"Default Known Flow Node","Known Flow",236321.661757,635067.007757,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
