"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)"
"62102000000137","Nodes","137,",21.000000,27.632528,"Default Known Flow Node","Known Flow",251988.209724,685834.838831,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102000000135","Nodes","135,",21.000000,27.729064,"DDS demands","Known Flow",251670.584638,685528.713748,,0.000000,,,,,-1.669999,,-1.493343,-1.669999,,"",,,,,"D1 PROFILE",
"62102000000177","Nodes","177,",21.000000,40.803595,"DDS demands","Known Flow",251661.834635,685853.213836,,0.000000,,,,,-5.659999,,-5.061273,-5.659999,,"",,,,,"D1 PROFILE",
"62102000000098","Nodes","98,",21.000000,69.406795,"DDS demands","Known Flow",252304.334810,685996.963876,,0.000000,-1.770000,,-1.869999,,-4.380000,,-7.171627,-8.019999,,"","C1 PROFILE",,"C3  PROFILE",,"D1 PROFILE",
"62102000000153","Nodes","153,",21.000000,67.691713,"DDS demands","Known Flow",252356.709824,685965.713867,,0.000000,,,,,-4.940000,,-4.417436,-4.940000,,"",,,,,"D1 PROFILE",
"62102000000076","Nodes","76,",21.000000,54.516436,"DDS demands","Known Flow",252289.584806,685701.838795,,0.000000,,,,,-1.960000,,-1.752667,-1.960000,,"",,,,,"D1 PROFILE",
"62102000000165","Nodes","165,",21.000000,52.167140,"DDS demands","Known Flow",252302.584810,685651.338781,,0.000000,,,,,-14.909999,,-13.332789,-14.909999,,"",,,,,"D1 PROFILE",
"62102000000087","Nodes","87,",21.000000,48.779346,"DDS demands","Known Flow",252230.709790,685682.963790,,0.000000,,,,,-0.950000,,-0.849507,-0.950000,,"",,,,,"D1 PROFILE",
"62102000000120","Nodes","120,",21.000000,65.920703,"DDS demands","Known Flow",252256.334797,685948.713862,,0.000000,,,-12.619999,,,,-11.285030,-12.619999,,"",,,"C3  PROFILE",,,
"62102000000119","Nodes","119,",21.000000,66.310346,"DDS demands","Known Flow",252286.834805,685917.713854,,0.000000,,,,,-6.229999,,-5.570977,-6.229999,,"",,,,,"D1 PROFILE",
"62102000000121","Nodes","121,",21.000000,70.626572,"DDS demands","Known Flow",252296.959808,685996.338875,,0.000000,,,,,-1.649999,,-1.475459,-1.649999,,"",,,,,"D1 PROFILE",
"62102000000122","Nodes","122,",21.000000,70.503515,"Default Known Flow Node","Known Flow",252222.834788,685998.838876,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102000000074","Nodes","74,",21.000000,71.271910,"Default Known Flow Node","Known Flow",252292.834807,685979.713871,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102000000080","Nodes","80,",21.000000,41.969347,"Default Known Flow Node","Known Flow",252471.834856,685560.963757,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102000000104","Nodes","104,",21.000000,40.545327,"DDS demands","Known Flow",252468.584855,685539.338751,,0.000000,,,,,-10.800000,,-9.657553,-10.800000,,"",,,,,"D1 PROFILE",
"62102000000081","Nodes","81,",21.000000,39.251347,"DDS demands","Known Flow",252422.834842,685516.713745,,0.000000,,,,,-13.749999,,-12.295496,-13.749999,,"",,,,,"D1 PROFILE",
"62102000000078","Nodes","78,",21.000000,48.837961,"DDS demands","Known Flow",252396.709835,685566.463758,,0.000000,,,,,-8.140000,,-7.278933,-8.140000,,"",,,,,"D1 PROFILE",
"62102000000079","Nodes","79,",21.000000,48.481589,"DDS demands","Known Flow",252268.834800,685580.338762,,0.000000,-6.000000,,,,-0.649999,,-5.946549,-6.650000,,"","C1 PROFILE",,,,"D1 PROFILE",
"62102000000164","Nodes","164,",21.000000,52.080000,"DDS demands","Known Flow",252279.334803,685630.463776,,0.000000,,,,,-6.900000,,-6.170103,-6.900000,,"",,,,,"D1 PROFILE",
"62102000161649","Nodes","161649,",21.000000,55.197174,"Default Known Flow Node","Known Flow",252293.084807,685704.713796,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102000000083","Nodes","83,",21.000000,45.854177,"DDS demands","Known Flow",252160.459771,685712.213798,,0.000000,,,,,-5.189999,,-4.640990,-5.189999,,"",,,,,"D1 PROFILE",
"62102000000086","Nodes","86,",21.000000,39.171781,"DDS demands","Known Flow",252155.209770,685645.588780,,0.000000,,,,,-12.080000,,-10.802152,-12.080000,,"",,,,,"D1 PROFILE",
"62102000000085","Nodes","85,",21.000000,45.899510,"DDS demands","Known Flow",252130.459763,685749.588808,,0.000000,,,,,-3.410000,,-3.049283,-3.410000,,"",,,,,"D1 PROFILE",
"62102000000084","Nodes","84,",21.000000,45.686616,"DDS demands","Known Flow",252180.709777,685792.838820,,0.000000,,,,,-5.749999,,-5.141752,-5.749999,,"",,,,,"D1 PROFILE",
"62102000000088","Nodes","88,",21.000000,51.666308,"DDS demands","Known Flow",252423.459843,685789.338819,,0.000000,,,,,-12.619999,,-11.285030,-12.619999,,"",,,,,"D1 PROFILE",
"62102000000150","Nodes","150,",21.000000,50.983938,"DDS demands","Known Flow",252496.459862,685762.588812,,0.000000,,,,,-8.689999,,-7.770753,-8.689999,,"",,,,,"D1 PROFILE",
"62102000161650","Nodes","161650,",21.000000,62.727761,"Default Known Flow Node","Known Flow",252319.334814,685872.463842,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102000000178","Nodes","178,",21.000000,67.712590,"DDS demands","Known Flow",252371.459828,685993.713875,,0.000000,,,,,-3.079999,,-2.754191,-3.079999,,"",,,,,"D1 PROFILE",
"62102000000152","Nodes","152,",21.000000,67.657669,"DDS demands","Known Flow",252343.834821,685930.213857,,0.000000,,,,,-3.650000,,-3.263895,-3.650000,,"",,,,,"D1 PROFILE",
"62102000161648","Nodes","161648,",21.000000,44.553934,"Default Known Flow Node","Known Flow",252100.688542,685934.569981,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102000000179","Nodes","179,",21.000000,44.510766,"DDS demands","Known Flow",252116.834759,685916.713854,,0.000000,,,,,-0.449999,,-0.402398,-0.449999,,"",,,,,"D1 PROFILE",
"62102000000182","Nodes","182,",21.000000,43.630947,"DDS demands","Known Flow",252051.582973,685888.962261,,0.000000,,,,,-2.939999,,-2.629000,-2.939999,,"",,,,,"D1 PROFILE",
"62102000000092","Nodes","92,",21.000000,41.758755,"Default Known Flow Node","Known Flow",252536.584873,685556.213756,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102000000089","Nodes","89,",21.000000,51.312365,"DDS demands","Known Flow",252427.459844,685776.463816,,0.000000,,,,,-16.139999,,-14.432676,-16.139999,,"",,,,,"D1 PROFILE",
