"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"625004-1382","Nodes","-1382",21.000000,28.928008,"Default Known Flow Node","Known Flow",246176.750000,661501.625000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,
"62500400005950","Nodes","5950",21.000000,30.439852,"DDS demands","Known Flow",247558.500000,660918.375000,,0.000000,,,,,,-45.349997,,,,,,,,,-40.552781,-45.349997,,,"",,,,,,"D1 PROFILE",,,,,,,,,
"62500400001189","Nodes","1189, P08119990, GLENFIELD ROAD SITE LANGCRAIGS DRIVE, INCREASE LOAD(-120.83)",25.000000,30.486515,"CSEP Unmatched","Known Flow",247542.906250,660953.562500,,0.000000,,,,,,,-58.699999,,,,,,,,-52.490589,-58.699999,,,"",,,,,,,"PL-AF PROFILE",,,,,,,,
"625004-1463264","Nodes","-1463264",21.000000,31.866126,"Default Known Flow Node","Known Flow",247707.750000,665027.500000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,
"62500400001188","Nodes","1188",21.000000,23.124273,"DDS demands","Known Flow",247572.296875,664978.750000,,0.000000,,,,,,,,,,,-100.800003,,,,-90.137169,-100.800003,,,"",,,,,,,,,,,"PL-AF PROFILE",,,,
"62500400004488","Nodes","4488",21.000000,26.996067,"DDS demands","Known Flow",248548.375000,663605.375000,,0.000000,-41.660001,,,,,,,,,,,,,,-37.253119,-41.660001,,,"","C1 PROFILE",,,,,,,,,,,,,,
"62500400001149","Nodes","1149",21.000000,26.232761,"DDS demands","Known Flow",248612.593750,663538.437500,,0.000000,,,,,,,,,,,-123.400004,,,-17.600000,-110.346492,-123.400004,,,"",,,,,,,,,,,"PL-AF PROFILE",,,"PL-PL PROFILE",
"62500400000288","Nodes","288",21.000000,25.593969,"DDS demands","Known Flow",250425.500000,666651.000000,,0.000000,,,,,,-6.599999,,,,,,,,,-5.901837,-6.599999,,,"",,,,,,"D1 PROFILE",,,,,,,,,
"62500400000269","Nodes","269",21.000000,25.603877,"DDS demands","Known Flow",250421.500000,666656.875000,,0.000000,,,,-4.900000,,-6.919999,,,,,,,,,-10.569655,-11.819999,,,"",,,,"C4 PROFILE",,"D1 PROFILE",,,,,,,,,
"62500400000246","Nodes","246",21.000000,26.779645,"DDS demands","Known Flow",250285.500000,666447.375000,,0.000000,,,,,,-6.719999,,,,,,,,,-6.009144,-6.719999,,,"",,,,,,"D1 PROFILE",,,,,,,,,
"62500400000247","Nodes","247",21.000000,26.719630,"DDS demands","Known Flow",250276.750000,666447.625000,,0.000000,,,,,,-12.010000,,,,,,,,,-10.739556,-12.010000,,,"",,,,,,"D1 PROFILE",,,,,,,,,
"62500400005858","Nodes","5858",21.000000,25.791659,"DDS demands","Known Flow",250389.250000,666598.250000,,0.000000,,,,,,-2.349999,,,,,,,,,-2.101411,-2.349999,,,"",,,,,,"D1 PROFILE",,,,,,,,,
"62500400004582","Nodes","4582,P08119137,NEW DEV LINWOOD REGENERATION SITE1 PLOTS1-44",25.000000,41.057165,"CSEP Unmatched","Known Flow",243672.085401,664933.671758,,0.000000,,,,,,,,,,,-46.709997,,,,-41.768914,-46.709997,,,"",,,,,,,,,,,"PL-AF PROFILE",,,,
"62500400001184","Nodes","1184, P08119126, LINWOOD REGENERATION SITE 2C PLOTS1-12 ERSKINEFAULD ROAD,-17.17",22.999998,34.904340,"CSEP Unmatched","Known Flow",243983.376328,664976.493590,,0.000000,,,,,,,,,,,-17.169999,,,,-15.353721,-17.169999,,,"",,,,,,,,,,,"PL-AF PROFILE",,,,
"62500400004580","Nodes","4580",21.000000,25.572297,"DDS demands","Known Flow",250291.500000,666726.500000,,0.000000,,,,,,-9.899999,,,,,,,,,-8.852757,-9.899999,,,"",,,,,,"D1 PROFILE",,,,,,,,,
"625004-6787","Nodes","-6787",21.000000,33.022604,"Default Known Flow Node","Known Flow",250775.375000,664014.375000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,
"625004-6792","Nodes","-6792",21.000000,33.059666,"Default Known Flow Node","Known Flow",250773.375000,664030.625000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,
"625004-5728","Nodes","-5728",21.000000,36.094656,"Default Known Flow Node","Known Flow",249898.250000,663680.625000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,
"62500400001499","Nodes","1499",21.000000,36.078164,"DDS demands","Known Flow",249897.000000,663680.875000,,0.000000,,,,,,-24.999999,,,,,,,,,-22.355447,-24.999999,,,"",,,,,,"D1 PROFILE",,,,,,,,,
