"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"62505600000038","Nodes","38",21.000000,35.105377,"DDS demands","Known Flow",240851.500000,619409.750000,,0.000000,,,,,-11.060000,,-9.890049,-11.060000,,"",,,,,"D1 PROFILE",
"62505600000054","Nodes","54",21.000000,34.935215,"DDS demands","Known Flow",240810.625000,619409.875000,,0.000000,,,,,-7.309999,,-6.536731,-7.309999,,"",,,,,"D1 PROFILE",
"62505600001003","Nodes","1003",21.000000,56.772402,"Default Known Flow Node","Known Flow",240901.796875,619639.750000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62505600001008","Nodes","1008",21.000000,54.422770,"DDS demands","Known Flow",241043.828125,619543.750000,,0.000000,,,-4.550000,,-26.139998,,-27.443544,-30.689998,,"",,,"C3  PROFILE",,"D1 PROFILE",
"62505600001002","Nodes","1002",21.000000,53.098613,"DDS demands","Known Flow",241160.578125,619534.000000,,0.000000,,,,,-1.339999,,-1.198251,-1.339999,,"",,,,,"D1 PROFILE",
"62505600001037","Nodes","1037",21.000000,51.393032,"Default Known Flow Node","Known Flow",241306.265625,619526.750000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62505600001007","Nodes","P08118694, HILLHEAD, 45.14",24.000000,26.815836,"CSEP DDS Matched","Known Flow",242227.873870,619817.180255,,0.000000,,,,,,-45.140001,-40.364991,-45.140001,,"",,,,,,"DC PROFILE"
"62505600001006","Nodes","1006",21.000000,50.241606,"Default Known Flow Node","Known Flow",241420.406250,619551.437500,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62505600000037","Nodes","37",21.000000,49.751754,"DDS demands","Known Flow",241477.750000,619566.875000,,0.000000,,-41.629999,,,-24.880000,,-59.474423,-66.509999,,"",,"C2 PROFILE",,,"D1 PROFILE",
"62505600001004","Nodes","1004",21.000000,21.927084,"DDS demands","Known Flow",242324.250000,619772.125000,,0.000000,,,,,-11.680000,,-10.444464,-11.680000,,"",,,,,"D1 PROFILE",
"62505600001005","Nodes","1005",21.000000,48.965971,"Default Known Flow Node","Known Flow",241572.937500,619599.250000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62505600001042","Nodes","1042",21.000000,47.445392,"Default Known Flow Node","Known Flow",241825.250000,619684.625000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62505600000008","Nodes","8",21.000000,57.774589,"DDS demands","Known Flow",240848.625000,619682.500000,,0.000000,,,,,-8.279999,,-7.404123,-8.279999,,"",,,,,"D1 PROFILE",
"62505600001001","Nodes","1001",21.000000,59.125803,"Default Known Flow Node","Known Flow",240828.046875,619710.062500,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62505600000007","Nodes","7",21.000000,61.119368,"DDS demands","Known Flow",240785.250000,619744.250000,,0.000000,,,,,-7.139999,,-6.384714,-7.139999,,"",,,,,"D1 PROFILE",
"62505600001048","Nodes","1048",21.000000,67.497317,"Default Known Flow Node","Known Flow",240684.812500,619805.937500,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
