"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)"
"62505000000032","Nodes","32",21.000000,23.831690,"DDS demands","Known Flow",236976.330640,638487.700948,,0.000000,,,,,-9.989999,-8.933236,-9.989999,,"",,,,,"D1 PROFILE"
"62505000000034","Nodes","34",21.000000,23.527477,"DDS demands","Known Flow",236985.080642,638437.575934,,0.000000,,,,,-8.479999,-7.582967,-8.479999,,"",,,,,"D1 PROFILE"
"62505001462512","Nodes","-1462512",21.000000,23.527477,"Default Known Flow Node","Known Flow",236988.330643,638437.700934,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62505000000033","Nodes","33",21.000000,23.726335,"DDS demands","Known Flow",237059.580662,638495.075950,,0.000000,,,,,-5.119999,-4.578395,-5.119999,,"",,,,,"D1 PROFILE"
"62505000000045","Nodes","45",21.000000,22.937362,"DDS demands","Known Flow",237125.955680,638438.700935,,0.000000,,,,,-7.629999,-6.822882,-7.629999,,"",,,,,"D1 PROFILE"
"62505000000086","Nodes","86",21.000000,21.390036,"DDS demands","Known Flow",237165.330691,638471.575943,,0.000000,,,,,-10.310000,-9.219387,-10.310000,,"",,,,,"D1 PROFILE"
"62505000000036","Nodes","36",21.000000,21.388591,"DDS demands","Known Flow",237166.955691,638450.575938,,0.000000,,,,,-1.999999,-1.788435,-1.999999,,"",,,,,"D1 PROFILE"
"62505000000087","Nodes","87",21.000000,21.366888,"DDS demands","Known Flow",237218.455705,638484.825947,,0.000000,,,,,-3.880000,-3.469565,-3.880000,,"",,,,,"D1 PROFILE"
"62505000000082","Nodes","82",21.000000,25.610235,"Default Known Flow Node","Known Flow",238229.330980,638311.950900,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62505000000101","Nodes","101",21.000000,25.791084,"DDS demands","Known Flow",238089.455942,638319.825902,,0.000000,,,,,-3.180000,-2.843613,-3.180000,,"",,,,,"D1 PROFILE"
