"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"62502100000222","Nodes",,21.000000,29.991210,"DDS demands","Known Flow",259364.451731,611810.311689,,0.000000,,,,-10.239999,,,,,-9.156791,-10.239999,,"",,,,"D1 PROFILE",,,,
"62502100000033","Nodes","33",21.000000,45.014603,"DDS demands","Known Flow",259953.331929,612440.509930,,0.000000,,,,-13.449999,,,,,-12.027230,-13.449999,,"",,,,"D1 PROFILE",,,,
"62502100000083","Nodes","83",21.000000,23.970295,"DDS demands","Known Flow",262405.640513,612961.152706,,0.000000,,,,-11.530000,,,,,-10.310332,-11.530000,,"",,,,"D1 PROFILE",,,,
"62502100000166","Nodes","166",21.000000,24.523382,"DDS demands","Known Flow",262387.024554,613054.040027,,0.000000,,,,-10.810000,,,,,-9.666496,-10.810000,,"",,,,"D1 PROFILE",,,,
"62502100000070","Nodes","70",21.000000,22.840665,"DDS demands","Known Flow",262002.437369,612592.487237,,0.000000,,,,-1.109999,,,,,-0.992581,-1.109999,,"",,,,"D1 PROFILE",,,,
"62502100000076","Nodes","76",21.000000,22.895118,"DDS demands","Known Flow",261960.258858,612659.008160,,0.000000,,,,-12.119999,,,,,-10.837920,-12.119999,,"",,,,"D1 PROFILE",,,,
"62502100000032","Nodes","32",21.000000,29.530664,"Default Known Flow Node","Known Flow",259322.596720,611769.366678,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62502100000248","Nodes",,21.000000,25.763660,"Default Known Flow Node","Known Flow",258863.972595,611372.394570,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62502100000191","Nodes","191",21.000000,23.176391,"DDS demands","Known Flow",262141.321927,612400.487692,,0.000000,,,,-7.679999,,,,,-6.867593,-7.679999,,"",,,,"D1 PROFILE",,,,
"62502100000187","Nodes","187",21.000000,23.201658,"DDS demands","Known Flow",262070.415070,612485.137881,,0.000000,,,,-4.750000,,,,,-4.247535,-4.750000,,"",,,,"D1 PROFILE",,,,
