"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"62501900000276","Nodes","276",21.000000,22.979455,"DDS demands","Known Flow",257471.215216,618802.195591,,0.000000,,,,,,-5.949999,,,,,,-5.320596,-5.949999,,"",,,,,,"D1 PROFILE",,,,,
"62501900000275","Nodes","275",21.000000,23.135636,"DDS demands","Known Flow",257452.698211,618757.454579,,0.000000,,,,,,-6.469999,,,,,,-5.785589,-6.469999,,"",,,,,,"D1 PROFILE",,,,,
"62501900000024","Nodes","24",21.000000,24.366238,"DDS demands","Known Flow",256445.835937,620554.571068,,0.000000,,,,,,-28.160000,,,,,,-25.181177,-28.160000,,"",,,,,,"D1 PROFILE",,,,,
"62501900001016","Nodes",,21.000000,24.809864,"Default Known Flow Node","Known Flow",256515.024734,620494.738520,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62501900000397","Nodes","397",21.000000,24.393359,"DDS demands","Known Flow",256787.586030,620648.321094,,0.000000,,,,,,-10.110000,,,,,,-9.040542,-10.110000,,"",,,,,,"D1 PROFILE",,,,,
"62501900001015","Nodes","Logger 9786, 42 Oakbank Drive, Cumnock",21.000000,24.405608,"Val Log Cath","Known Flow",256778.956798,620631.671719,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62501900000205","Nodes","205",21.000000,24.241047,"DDS demands","Known Flow",256767.048024,620613.375084,,0.000000,,,,,,-27.540000,,,,,,-24.626761,-27.540000,,"",,,,,,"D1 PROFILE",,,,,
"62501900001014","Nodes","Logger 7014, 14 Barshare Road, Cumnock",21.000000,45.581460,"Val Log Cath","Known Flow",257631.700985,619808.829407,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62501900000297","Nodes","297",21.000000,45.271416,"DDS demands","Known Flow",257654.874266,619829.662871,,0.000000,,,,,,-23.669999,,,,,,-21.166137,-23.669999,,"",,,,,,"D1 PROFILE",,,,,
"62501900000339","Nodes","339",21.000000,38.723441,"DDS demands","Known Flow",257588.711248,620096.945944,,0.000000,,,,,,-17.030000,,,,,,-15.228531,-17.030000,,"",,,,,,"D1 PROFILE",,,,,
"62501900001013","Nodes",,21.000000,39.809516,"Default Known Flow Node","Known Flow",257540.935311,620108.081269,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62501900000338","Nodes","338",21.000000,40.468506,"DDS demands","Known Flow",257511.336227,620117.445949,,0.000000,,,,,,-12.489999,,,,,,-11.168782,-12.489999,,"",,,,,,"D1 PROFILE",,,,,
"62501900000256","Nodes","256",21.000000,29.221897,"DDS demands","Known Flow",257236.711152,620300.695999,,0.000000,,,,,,-15.479999,,,,,,-13.842492,-15.479999,,"",,,,,,"D1 PROFILE",,,,,
"62501900001012","Nodes",,21.000000,29.242844,"Default Known Flow Node","Known Flow",257206.272485,620300.642221,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62501900000055","Nodes","55",21.000000,29.334934,"Default Known Flow Node","Known Flow",257181.586137,620298.195998,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62501900000043","Nodes","43",21.000000,35.248091,"Default Known Flow Node","Known Flow",256569.835971,619831.195871,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62501900001010","Nodes",,21.000000,35.497778,"Default Known Flow Node","Known Flow",256564.906642,619897.886795,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62501900000365","Nodes","365",21.000000,35.570995,"DDS demands","Known Flow",256563.460969,619917.445895,,0.000000,,,,,,-27.300000,,,,,,-24.412149,-27.300000,,"",,,,,,"D1 PROFILE",,,,,
"62501900001009","Nodes","Logger 9297, 4 Glenlamont, Cumnock",21.000000,30.853419,"Val Log Cath","Known Flow",256767.739115,619342.910170,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62501900000199","Nodes","199",21.000000,30.819001,"DDS demands","Known Flow",256738.586017,619353.070741,,0.000000,,,,,,-24.990000,,,,,,-22.346506,-24.990000,,"",,,,,,"D1 PROFILE",,,,,
"62501900000120","Nodes","120",21.000000,34.154006,"DDS demands","Known Flow",257401.363197,619104.469674,,0.000000,,,,,,-24.520000,,,,,,-21.926223,-24.520000,,"",,,,,,"D1 PROFILE",,,,,
"62501900001008","Nodes","1008",21.000000,33.929632,"Default Known Flow Node","Known Flow",257413.850610,619084.480624,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62501900001007","Nodes","1007",21.000000,33.926690,"DDS demands","Known Flow",257343.752201,619126.137644,,0.000000,,,,-5.639999,,,,,,,,-5.043388,-5.639999,,"",,,,"C4 PROFILE",,,,,,,
"62501900000798","Nodes","-289296",21.000000,34.185331,"Default Known Flow Node","Known Flow",257378.692191,619085.142668,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62501900000819","Nodes","-3344357",21.000000,32.064141,"Default Known Flow Node","Known Flow",257841.561107,619643.934360,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
