"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"62501400001290","Nodes","1290",21.000000,22.674284,"DDS demands","Known Flow",227323.703013,640836.951587,,0.000000,,,,,,-15.229999,,,,,-13.618938,-15.229999,,"",,,,,,"D1 PROFILE",,,,
"62501400001289","Nodes","1289",21.000000,26.168632,"DDS demands","Known Flow",227417.078039,640923.076611,,0.000000,,,,,,-16.559999,,,,,-14.808248,-16.559999,,"",,,,,,"D1 PROFILE",,,,
"62501400003558","Nodes",,21.000000,32.885166,"Default Known Flow Node","Known Flow",223705.702029,643741.077377,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62501400004391","Nodes",,21.000000,33.610974,"Default Known Flow Node","Known Flow",224907.202356,641693.326820,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62501400000283","Nodes","283",21.000000,33.593911,"Default Known Flow Node","Known Flow",224909.077356,641692.201820,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62501400001126","Nodes","1126",21.000000,34.688438,"Default Known Flow Node","Known Flow",227041.472506,642238.351352,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62501400003980","Nodes","P00072288, Green Street, 4.98",22.999998,31.024146,"CSEP DDS Matched","Known Flow",224725.831838,641272.879574,,0.000000,,,,,,,-4.980000,,,,-4.453205,-4.980000,,"",,,,,,,"DC PROFILE",,,
"62501400003155","Nodes",,21.000000,33.522969,"Default Known Flow Node","Known Flow",224702.182348,642558.589792,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62501400001238","Nodes","P09122246 CP2, Dev@Princess Street, 5.45",22.999998,27.025721,"CSEP DDS Matched","Known Flow",222998.051804,642104.190113,,0.000000,,,,,,,-3.229999,,,,-2.888323,-3.229999,,"",,,,,,,"DC PROFILE",,,
"62501400000211","Nodes","211",21.000000,33.884712,"DDS demands","Known Flow",224670.202291,642508.952042,,0.000000,,,,,,-11.039999,,,,,-9.872165,-11.039999,,"",,,,,,"D1 PROFILE",,,,
"62501400003029","Nodes",,21.000000,27.473832,"Default Known Flow Node","Known Flow",224605.452274,642904.452150,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62501400001180","Nodes","Logger 9282, 11 Kilmory Road, Saltcoats",21.000000,27.473832,"Val Log Cath","Known Flow",224623.791448,642897.266625,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62501400001064","Nodes","1064",21.000000,27.517371,"Default Known Flow Node","Known Flow",224639.077283,642888.702145,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
