"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)"
"62502800001738","Nodes","-30",21.000000,43.226267,"DDS demands","Known Flow",228780.953410,648943.203793,,0.000000,,,,,-4.839999,,,-4.328014,-4.839999,,"",,,,,"D1 PROFILE",,
"62502800000206","Nodes","206",21.000000,42.987639,"DDS demands","Known Flow",228751.453402,648940.828792,,0.000000,,,,,-15.420000,,,-13.788840,-15.420000,,"",,,,,"D1 PROFILE",,
"62502800000086","Nodes","86",21.000000,29.955842,"DDS demands","Known Flow",229291.203549,649562.578961,,0.000000,,-11.819999,,-2.069999,-17.049999,,,-27.667101,-30.939997,,"",,"C2 PROFILE",,"C4 PROFILE","D1 PROFILE",,
"62502800001020","Nodes","Logger 10111, 16 Courthill Street",21.000000,30.033547,"Val Log Cath","Known Flow",229278.573514,649559.403410,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62502800001730","Nodes","-279",21.000000,30.259295,"Default Known Flow Node","Known Flow",229249.078537,649551.453958,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62502800000158","Nodes","158",21.000000,22.901327,"DDS demands","Known Flow",229748.078673,649564.953962,,0.000000,,,,,-14.170000,,,-12.671067,-14.170000,,"",,,,,"D1 PROFILE",,
"62502800001017","Nodes","Logger 10098, 15 Tofts",21.000000,23.077407,"Val Log Cath","Known Flow",229742.846808,649545.208284,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62502800000117","Nodes","117",21.000000,24.143761,"DDS demands","Known Flow",229689.828657,649436.203927,,0.000000,-2.440000,,,,-15.109999,,,-15.693523,-17.549999,,"","C1 PROFILE",,,,"D1 PROFILE",,
"62502800001011","Nodes","1011",21.000000,34.411719,"DDS demands","Known Flow",229121.154502,649255.731878,,0.000000,,,,,-1.999999,,,-1.788435,-1.999999,,"",,,,,"D1 PROFILE",,
"62502800000067","Nodes","67",21.000000,34.419309,"DDS demands","Known Flow",229143.238028,649281.839970,,0.000000,,,,,-11.350000,,,-10.149373,-11.350000,,"",,,,,"D1 PROFILE",,
"62502800000141","Nodes","141",21.000000,34.319415,"DDS demands","Known Flow",229159.275281,649298.337827,,0.000000,,,,,-18.290000,,,-16.355246,-18.290000,,"",,,,,"D1 PROFILE",,
"62502800001016","Nodes","1016",21.000000,34.307162,"Default Known Flow Node","Known Flow",229161.692513,649300.768890,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62502800000066","Nodes","66",21.000000,32.109254,"DDS demands","Known Flow",229264.953542,649358.453906,,0.000000,-3.829999,,,,-8.399999,,,-10.936284,-12.229999,,"","C1 PROFILE",,,,"D1 PROFILE",,
"62502800000140","Nodes","140",21.000000,31.632405,"DDS demands","Known Flow",229237.366745,649342.031544,,0.000000,,,,,-2.799999,,,-2.503810,-2.799999,,"",,,,,"D1 PROFILE",,
"62502800001622","Nodes",,21.000000,31.998129,"DDS demands","Known Flow",229277.487704,649323.226418,,0.000000,-22.889999,,,,,,,-20.468647,-22.889999,,"","C1 PROFILE",,,,,,
"62502800000068","Nodes","68",21.000000,34.774954,"DDS demands","Known Flow",229061.839486,649188.374860,,0.000000,,,,,-3.839999,,,-3.433796,-3.839999,,"",,,,,"D1 PROFILE",,
"62502800000201","Nodes","201",21.000000,34.731659,"DDS demands","Known Flow",229067.068686,649194.313040,,0.000000,,,,,-11.239999,,,-10.051008,-11.239999,,"",,,,,"D1 PROFILE",,
"62502800001007","Nodes","Logger 10103, 44 Garnock Street",21.000000,33.365212,"Val Log Cath","Known Flow",229271.882543,649080.761830,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62502800001001","Nodes","1001",21.000000,33.363141,"Default Known Flow Node","Known Flow",229273.870370,649085.829273,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62502800000061","Nodes","61",21.000000,33.392329,"DDS demands","Known Flow",229287.683548,649135.825845,,0.000000,,,,,-19.650000,,,-17.571382,-19.650000,,"",,,,,"D1 PROFILE",,
"62502800001008","Nodes","1008",21.000000,34.902930,"Default Known Flow Node","Known Flow",229031.932478,649142.828847,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62502800000062","Nodes","62",21.000000,34.902799,"DDS demands","Known Flow",229033.182478,649141.725847,,0.000000,,,,,-19.470000,,,-17.410422,-19.470000,,"",,,,,"D1 PROFILE",,
"62502800000059","Nodes","59",21.000000,35.084164,"DDS demands","Known Flow",228998.815469,649108.206838,,0.000000,,,,,-9.899999,,,-8.852757,-9.899999,,"",,,,,"D1 PROFILE",,
"62502800001776","Nodes","-61",21.000000,33.224107,"Default Known Flow Node","Known Flow",229261.208225,649049.077244,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62502800001018","Nodes","1018",21.000000,33.425488,"Default Known Flow Node","Known Flow",229290.385548,649144.584848,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62502800000169","Nodes","169",21.000000,33.363295,"DDS demands","Known Flow",229108.703499,649007.828810,,0.000000,,,,,-3.390000,,,-3.031398,-3.390000,,"",,,,,"D1 PROFILE",,
"62502800001005","Nodes","Logger 10102, O/S 116 Garnock Street",21.000000,33.292205,"Val Log Post","Known Flow",229126.275557,649005.503097,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62502800001767","Nodes","-39",21.000000,33.260130,"DDS demands","Known Flow",229134.203506,649004.453810,,0.000000,,,,,-7.230000,,,-6.465195,-7.230000,,"",,,,,"D1 PROFILE",,
"62502800000040","Nodes","40",21.000000,32.696957,"DDS demands","Known Flow",229072.203489,650023.329087,,0.000000,,,,,-3.769999,,,-3.371201,-3.769999,,"",,,,,"D1 PROFILE",,
"62502800001004","Nodes","Logger 10116, 5 Netherlee Crescent",21.000000,32.692874,"Val Log Cath","Known Flow",229069.982518,650013.334718,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62502800000042","Nodes","42",21.000000,32.685929,"DDS demands","Known Flow",229066.203487,649996.329079,,0.000000,,,,,-9.590000,,,-8.575549,-9.590000,,"",,,,,"D1 PROFILE",,
"62502800000175","Nodes","175",21.000000,31.893207,"DDS demands","Known Flow",230186.203792,649117.453840,,0.000000,,,,,-16.509999,,,-14.763537,-16.509999,,"",,,,,"D1 PROFILE",,
"62502800001003","Nodes","Logger 10112, O/S 5 Kerse Avenue",21.000000,31.136396,"Val Log Post","Known Flow",230225.975513,649097.543764,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62502800000291","Nodes","291",21.000000,30.683954,"DDS demands","Known Flow",230249.828809,649085.828832,,0.000000,,,,,-10.209999,,,-9.129964,-10.209999,,"",,,,,"D1 PROFILE",,
"62502800000219","Nodes","219",21.000000,36.943242,"DDS demands","Known Flow",228405.828308,649290.453887,,0.000000,,,,,-6.190000,,,-5.535208,-6.190000,,"",,,,,"D1 PROFILE",,
"62502800001002","Nodes","Logger 10105, 132 St. Margaret Avenue",21.000000,36.943242,"Val Log Cath","Known Flow",228394.975486,649312.331475,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
