"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"96113316509043","Nodes","-1650","21.000000","26.152367","Default Known Flow Node","Known Flow","553053.666647","154933.194369","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316509686","Nodes","-2470","21.000000","34.695256","Default Known Flow Node","Known Flow","554725.917102","155404.069497","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316509684","Nodes","-2467","21.000000","34.645427","Default Known Flow Node","Known Flow","554763.167112","155383.444491","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113306507061","Nodes","6507061","21.000000","25.653636","DDS demands","Known Flow","553477.510414","154854.814393","","0.000000","-12.770000","","","","-4.719999","","","","","","","-15.639871","-17.490000","","","C1 PROFILE","","","","D1 PROFILE","","","","","",""
"96113316509036","Nodes","-1642","21.000000","25.863879","Default Known Flow Node","Known Flow","553429.041749","154888.569357","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316509045","Nodes","-1652","21.000000","25.892371","Default Known Flow Node","Known Flow","553339.416725","154983.694382","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113306507103","Nodes","6507103","21.000000","28.532104","DDS demands","Known Flow","553129.871190","155850.938744","","0.000000","","","","","-21.389999","","","","","","","-19.127321","-21.389999","","","","","","","D1 PROFILE","","","","","",""
"96113316509071","Nodes","-1683","21.000000","27.055210","Default Known Flow Node","Known Flow","553064.791650","155100.069414","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113300006783","Nodes","Logger 6783, Op 1 Dartford Road / High Street","21.000000","26.992413","Val Log Cath","Known Flow","553063.620960","155082.058800","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316509062","Nodes","-1673","21.000000","26.895176","Default Known Flow Node","Known Flow","553060.291649","155041.444398","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316508900","Nodes","-1491","21.000000","25.107559","Default Known Flow Node","Known Flow","553127.416667","154189.819166","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113300006781","Nodes","Logger 6781, So 7 High Street","21.000000","25.218105","Val Log Cath","Known Flow","553113.540102","154189.660396","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113316508899","Nodes","-1490","21.000000","25.307703","Default Known Flow Node","Known Flow","553102.292089","154189.531700","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113306506162","Nodes","6506162","21.000000","31.742919","DDS demands","Known Flow","552115.059287","154620.059180","","0.000000","0.000000","","-2.980000","","-22.830000","","","","","","","-23.079764","-25.810001","","","C1 PROFILE","","C3 PROFILE","","D1 PROFILE","","","","","",""
"96113306506190","Nodes","6506190","21.000000","31.582385","DDS demands","Known Flow","552116.291392","154680.069300","","0.000000","","","","","-2.250000","","","","","","","-2.011990","-2.250000","","","","","","","D1 PROFILE","","","","","",""
"96113300006778","Nodes","","21.000000","33.524508","Default Known Flow Node","Known Flow","551889.816294","154680.055233","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113306506027","Nodes","6506027","21.000000","33.523039","DDS demands","Known Flow","551889.666330","154681.194300","","0.000000","","","","","-40.959999","","","","","","","-36.627166","-40.959999","","","","","","","D1 PROFILE","","","","","",""
"96113300006776","Nodes","Logger 6776, Childsbridge Lane / West End","21.000000","31.218690","Val Log Post","Known Flow","554588.087064","158706.195395","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113306507129","Nodes","P08118469, Childsbridge Lane, 9.88","22.999998","33.105116","CSEP DDS Matched","Known Flow","554629.900898","158903.477113","","0.000000","","","","","-14.779999","-9.880000","","","","","","-22.051414","-24.660001","","","","","","","D1 PROFILE","DC PROFILE","","","","",""
