"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-DC)"
"96110905910202","Nodes","","21.000000","28.416248","DDS demands","Known Flow","586452.985000","152756.395000","","0.000000","","","","","-7.369999","","","","-6.590385","-7.369999","","","","","","","D1 PROFILE","","",""
"96110905910254","Nodes","","21.000000","29.433692","DDS demands","Known Flow","587862.860000","152672.145000","","0.000000","","","","-5.719999","-12.340000","","","","-16.149575","-18.059999","","","","","","C4 PROFILE","D1 PROFILE","","",""
"96110905910225","Nodes","","21.000000","32.583136","DDS demands","Known Flow","588263.610000","152696.723125","","0.000000","","","","-6.000000","-8.680000","","","","-13.127118","-14.680000","","","","","","C4 PROFILE","D1 PROFILE","","",""
"96110905910400","Nodes","","21.000000","34.925287","Default Known Flow Node","Known Flow","588518.079965","152712.905283","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910414","Nodes","","21.000000","30.083450","DDS demands","Known Flow","586829.110000","152619.645000","","0.000000","","","","","-7.719999","","","","-6.903361","-7.719999","","","","","","","D1 PROFILE","","",""
"96110905910208","Nodes","P00091179, Roebuck Inn Ashford Road, 37783, -9.58","22.999998","29.304137","CSEP DDS Matched","Known Flow","586770.735000","152683.316875","","0.000000","","-15.609999","","-14.619999","-30.590001","-9.580000","","","-62.952939","-70.399998","","","","C2 PROFILE","","C4 PROFILE","D1 PROFILE","DC PROFILE","",""
"96110905910422","Nodes","","21.000000","29.164673","Default Known Flow Node","Known Flow","586748.860000","152701.395000","","0.000000","","","","","-16.469999","","","","-14.727768","-16.469999","","","","","","","D1 PROFILE","","",""
"96110905910481","Nodes","","21.000000","28.417553","Default Known Flow Node","Known Flow","586440.235000","152755.020000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910201","Nodes","5910201, P12130943, WEST STREET, SCH 75.14","25.000000","28.334751","CSEP Unmatched","Known Flow","586340.972806","152738.155646","","0.000000","","","","","","","","-37.569999","-33.595766","-37.569999","","","","","","","","","","DC PROFILE"
"96110905910433","Nodes","","21.000000","28.408921","Default Known Flow Node","Known Flow","586107.735000","152701.645000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910417","Nodes","","21.000000","30.421554","DDS demands","Known Flow","587051.860000","152451.895000","","0.000000","","","","","-12.040000","","","","-10.766383","-12.040000","","","","","","","D1 PROFILE","","",""
"96110905910490","Nodes","","21.000000","30.434222","DDS demands","Known Flow","587032.735000","152458.145000","","0.000000","","","","","-13.950000","","","","-12.474339","-13.950000","","","","","","","D1 PROFILE","","",""
