"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"96113106505016","Nodes","42","21.000000","33.417275","DDS demands","Known Flow","544457.164308","153975.194108","","0.000000","","","","","","","-1.729999","","","","","-1.546996","-1.729999","","","","","","","","","D1 PROFILE","","","",""
"96113106505046","Nodes","6505046","21.000000","27.255199","DDS demands","Known Flow","544521.664325","154251.194183","","0.000000","","","","","","","-21.069999","","","","","-18.841169","-21.069999","","","","","","","","","D1 PROFILE","","","",""
"96113100007158","Nodes","Logger 7158, CROYDON ROAD / THE PADDOCK","21.000000","27.393212","Val Log Post","Known Flow","544422.470669","154172.313427","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113100000156","Nodes","156","21.000000","27.400868","DDS demands","Known Flow","544413.060484","154176.059347","","0.000000","","","","","","","-9.960000","","","","","-8.906410","-9.960000","","","","","","","","","D1 PROFILE","","","",""
"96113100000153","Nodes","153","21.000000","33.220115","Default Known Flow Node","Known Flow","544339.789276","154173.069162","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113106505026","Nodes","6505026","21.000000","33.279363","DDS demands","Known Flow","544315.848763","154174.430484","","0.000000","","","","","","","-2.730000","","","","","-2.441214","-2.730000","","","","","","","","","D1 PROFILE","","","",""
"96113100000160","Nodes","160","21.000000","33.323050","Default Known Flow Node","Known Flow","544253.799607","154194.094316","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113106505025","Nodes","6505025","21.000000","33.424684","DDS demands","Known Flow","544179.349672","154228.147114","","0.000000","","","","","","","-3.609999","","","","","-3.228126","-3.609999","","","","","","","","","D1 PROFILE","","","",""
"96113100000221","Nodes","221","21.000000","33.968084","Default Known Flow Node","Known Flow","543949.782890","154346.411845","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113106505028","Nodes","6505028","21.000000","27.548526","DDS demands","Known Flow","544406.539294","154162.194159","","0.000000","","","","","","","-17.889999","","","","","-15.997558","-17.889999","","","","","","","","","D1 PROFILE","","","",""
"96113106505024","Nodes","6505024","0.000000","31.319203","Default Known Flow Node","Known Flow","544222.742596","154193.863936","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113106505011","Nodes","5011","21.000000","33.901371","Default Known Flow Node","Known Flow","543949.180797","154342.301393","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113100000026","Nodes","26","21.000000","31.051206","DDS demands","Known Flow","543700.789102","153895.819086","","0.000000","","","","","","","-10.140000","","","","","-9.067369","-10.140000","","","","","","","","","D1 PROFILE","","","",""
"96113100000033","Nodes","33","21.000000","31.252455","Default Known Flow Node","Known Flow","543732.039110","153939.194098","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113110000017","Nodes","10000017","21.000000","32.854529","DDS demands","Known Flow","543914.789160","153833.319069","","0.000000","","","","","","","-2.250000","","","","","-2.011990","-2.250000","","","","","","","","","D1 PROFILE","","","",""
"96113106505100","Nodes","6505100","21.000000","32.238819","DDS demands","Known Flow","543971.171599","153658.469420","","0.000000","","","-7.219999","-10.499999","","","-14.319999","","","","","-28.650740","-32.039998","","","","","C3 PROFILE","C4 PROFILE","","","D1 PROFILE","","","",""
"96113100000002","Nodes","2","21.000000","32.238819","Default Known Flow Node","Known Flow","543957.414172","153657.444022","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113106505095","Nodes","6505095","21.000000","31.715150","DDS demands","Known Flow","543768.539120","153970.444107","","0.000000","","","","","","","-6.260000","","","","","-5.597804","-6.260000","","","","","","","","","D1 PROFILE","","","",""
"96113100000032","Nodes","32","21.000000","31.300397","Default Known Flow Node","Known Flow","543740.664113","153937.194098","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96113100000029","Nodes","29","21.000000","31.241118","DDS demands","Known Flow","543744.539114","153919.194093","","0.000000","","","","","","","-3.359999","","","","","-3.004572","-3.359999","","","","","","","","","D1 PROFILE","","","",""
