"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-AF)"
"96114709000120","Nodes","9000120","21.000000","36.940620","DDS demands","Known Flow","588843.730000","176269.395000","","0.000000","","","","-15.189999","","","-13.583169","-15.189999","","","","","","D1 PROFILE","",""
"96114700005902","Nodes","Logger 5902","21.000000","36.936831","Val Log Post","Known Flow","588844.980000","176268.520000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96114709000121","Nodes","9000121","21.000000","36.179716","DDS demands","Known Flow","588948.605000","176252.145000","","0.000000","-5.199999","","","-3.150000","","","-7.466718","-8.349999","","","C1 PROFILE","","","D1 PROFILE","",""
"96114709000166","Nodes","-448403","21.000000","35.698162","DDS demands","Known Flow","589003.730000","176209.645000","","0.000000","","","","-2.689999","","","-2.405446","-2.689999","","","","","","D1 PROFILE","",""
"96114709000111","Nodes","9000111","21.000000","47.551731","DDS demands","Known Flow","588471.355000","176506.270000","","0.000000","","","","-10.810000","","","-9.666496","-10.810000","","","","","","D1 PROFILE","",""
"96114709000132","Nodes","-448350","21.000000","50.074029","DDS demands","Known Flow","588391.355000","176572.145000","","0.000000","","","","-6.329999","","","-5.660399","-6.329999","","","","","","D1 PROFILE","",""
"96114709000112","Nodes","9000112","21.000000","39.341101","DDS demands","Known Flow","588448.355000","176587.020000","","0.000000","","","","-34.609999","","","-30.948881","-34.609999","","","","","","D1 PROFILE","",""
"96114709000165","Nodes","-448401","21.000000","37.070898","DDS demands","Known Flow","588948.980000","176490.395000","","0.000000","","","","-5.570000","","","-4.980793","-5.570000","","","","","","D1 PROFILE","",""
"96114709000157","Nodes","-448392","21.000000","37.284807","DDS demands","Known Flow","588869.105000","176504.520000","","0.000000","","","","-5.400000","","","-4.828776","-5.400000","","","","","","D1 PROFILE","",""
"96114709000114","Nodes","9000114","21.000000","41.884385","DDS demands","Known Flow","588683.230000","176636.895000","","0.000000","","","-5.249999","-13.049999","","","-16.364187","-18.299999","","","","","C4 PROFILE","D1 PROFILE","",""
"96114709000136","Nodes","-448357","21.000000","37.718982","DDS demands","Known Flow","588500.730000","176611.395000","","0.000000","","","","-14.409999","","","-12.885679","-14.409999","","","","","","D1 PROFILE","",""
"96114709000139","Nodes","-448362","21.000000","38.940259","Default Known Flow Node","Known Flow","588592.605000","176674.520000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96114709000113","Nodes","9000113","21.000000","38.911377","DDS demands","Known Flow","588591.605000","176674.645000","","0.000000","","","","-23.099999","","","-20.656432","-23.099999","","","","","","D1 PROFILE","",""
"96114709000140","Nodes","-448363","21.000000","38.521183","DDS demands","Known Flow","588594.230000","176623.770000","","0.000000","","","","-9.520000","","","-8.512955","-9.520000","","","","","","D1 PROFILE","",""
"96114709000142","Nodes","-448365","21.000000","42.173894","DDS demands","Known Flow","588611.105000","176539.145000","","0.000000","","","","-5.209999","","","-4.658875","-5.209999","","","","","","D1 PROFILE","",""
"96114709000163","Nodes","-448398","21.000000","37.170864","DDS demands","Known Flow","588916.855000","176580.145000","","0.000000","","","","-9.140000","","","-8.173152","-9.140000","","","","","","D1 PROFILE","",""
"96114709000118","Nodes","9000118","21.000000","37.487735","DDS demands","Known Flow","588859.605000","176538.395000","","0.000000","","0.000000","","-10.699999","","","-9.568131","-10.699999","","","","C2 PROFILE","","D1 PROFILE","",""
"96114709000115","Nodes","9000115","21.000000","41.695028","DDS demands","Known Flow","588692.980000","176647.395000","","0.000000","","","","-14.449999","","","-12.921448","-14.449999","","","","","","D1 PROFILE","",""
"96114709000127","Nodes","9000127","21.000000","38.689376","DDS demands","Known Flow","588731.730000","176545.270000","","0.000000","","","","-15.020000","","","-13.431153","-15.020000","","","","","","D1 PROFILE","",""
"96114709000154","Nodes","-448384","21.000000","37.809939","DDS demands","Known Flow","588796.355000","176499.020000","","0.000000","","","","-16.020000","","","-14.325371","-16.020000","","","","","","D1 PROFILE","",""
"96114709000117","Nodes","9000117","21.000000","38.942026","DDS demands","Known Flow","588765.480000","176599.895000","","0.000000","","","","-11.989999","","","-10.721671","-11.989999","","","","","","D1 PROFILE","",""
"96114709000161","Nodes","-448396","21.000000","39.983611","DDS demands","Known Flow","588896.105000","176934.895000","","0.000000","","","","-3.800000","","","-3.398028","-3.800000","","","","","","D1 PROFILE","",""
"96114709000130","Nodes","-3458178","21.000000","32.454265","DDS demands","Known Flow","588786.605000","176145.645000","","0.000000","","","","-2.289999","","","-2.047759","-2.289999","","","","","","D1 PROFILE","",""
"96114700000001","Nodes","Plots 1-3 Chapel Road, Isle Of Grain, NA:12787","21.000000","33.087700","Point Loads","Known Flow","588906.898904","176174.889657","","0.000000","","","","","","-7.060000","-6.313178","-7.060000","","","","","","","","PL-AF PROFILE"
"96114700000002","Nodes","","21.000000","32.447626","DDS demands","Known Flow","588873.350974","176155.784753","","0.000000","","","","-12.189999","","","-10.900516","-12.189999","","","","","","D1 PROFILE","",""
"96114700000004","Nodes","","21.000000","32.438622","Default Known Flow Node","Known Flow","588875.156822","176150.096545","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96114700000003","Nodes","","21.000000","32.430774","DDS demands","Known Flow","588857.979599","176122.199616","","0.000000","","","","-1.830000","","","-1.636418","-1.830000","","","","","","D1 PROFILE","",""
"96114700000005","Nodes","","21.000000","32.427084","DDS demands","Known Flow","588890.749257","176146.857973","","0.000000","","","","-2.970000","","","-2.655827","-2.970000","","","","","","D1 PROFILE","",""
