"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"96105405002053","Nodes","5002053","21.000000","29.951895","DDS demands","Known Flow","599871.948298","141221.122524","","0.000000","","","","","","","-7.979999","","","","","","","","","-7.135858","-7.979999","","","","","","","","","D1 PROFILE","","","","","","","",""
"96105405002632","Nodes","5002632","21.000000","30.633258","Default Known Flow Node","Known Flow","599871.804386","141133.690614","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105400000463","Nodes","463","21.000000","29.950375","Default Known Flow Node","Known Flow","599911.804397","141204.190633","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002047","Nodes","5002047","21.000000","30.598183","DDS demands","Known Flow","599886.179390","141167.565623","","0.000000","","","","","","","-20.809999","","","","","","","","","-18.608673","-20.809999","","","","","","","","","D1 PROFILE","","","","","","","",""
"96105405002046","Nodes","5002046","21.000000","30.699381","DDS demands","Known Flow","599907.429395","141019.065583","","0.000000","","","","","","","-23.519999","","","","","","","","","-21.032005","-23.519999","","","","","","","","","D1 PROFILE","","","","","","","",""
"96105405002628","Nodes","5002628","21.000000","30.687016","Default Known Flow Node","Known Flow","599911.404824","141030.823894","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002050","Nodes","5002050","21.000000","29.950317","DDS demands","Known Flow","599916.179398","141202.315632","","0.000000","","","","","","","-13.439999","","","","","","","","","-12.018288","-13.439999","","","","","","","","","D1 PROFILE","","","","","","","",""
"96105400000486","Nodes","486","21.000000","29.950375","Default Known Flow Node","Known Flow","599951.929407","141290.190656","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002670","Nodes","5002670","21.000000","29.993869","Default Known Flow Node","Known Flow","599997.304420","141167.190623","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002630","Nodes","5002630","21.000000","30.439199","Default Known Flow Node","Known Flow","599969.054412","141070.815597","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105400000484","Nodes","484","21.000000","29.950375","Default Known Flow Node","Known Flow","599982.554416","141287.690656","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002083","Nodes","5002083","21.000000","27.673558","DDS demands","Known Flow","599982.304416","141440.940697","","0.000000","","","","","","","-29.850000","","","","","","","","","-26.692404","-29.850000","","","","","","","","","D1 PROFILE","","","","","","","",""
"96105400000535","Nodes","535","21.000000","27.133863","Default Known Flow Node","Known Flow","599836.172084","141481.291925","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002052","Nodes","5002052","21.000000","29.780112","DDS demands","Known Flow","599960.429410","141311.690662","","0.000000","","","","","","","-12.260000","","","","","","","","","-10.963111","-12.260000","","","","","","","","","D1 PROFILE","","","","","","","",""
"96105400000500","Nodes","500","21.000000","29.736174","Default Known Flow Node","Known Flow","599978.357782","141331.768808","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105400000502","Nodes","502","21.000000","29.735089","Default Known Flow Node","Known Flow","599988.804417","141340.440670","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105400000503","Nodes","503","21.000000","29.736152","Default Known Flow Node","Known Flow","599987.179417","141341.815670","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105400000405","Nodes","405","21.000000","34.803910","Default Known Flow Node","Known Flow","599703.929340","141034.315587","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105400000411","Nodes","411","21.000000","34.803910","Default Known Flow Node","Known Flow","599705.804340","141053.190592","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105400000389","Nodes","389","21.000000","34.847077","Default Known Flow Node","Known Flow","599764.929357","141015.190582","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002075","Nodes","5002075","21.000000","26.361362","DDS demands","Known Flow","599495.792670","141536.570044","","0.000000","","","","","","","-21.389999","","","","","","","","","-19.127321","-21.389999","","","","","","","","","D1 PROFILE","","","","","","","",""
