"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-DC)"
"96114105511116","Nodes","-351387","21.000000","31.512826","DDS demands","Known Flow","607100.995000","153579.325000","","0.000000","","","","-6.550000","","-5.857127","-6.550000","","","","","","D1 PROFILE",""
"96114105511099","Nodes","5511099","21.000000","30.313965","DDS demands","Known Flow","607083.620000","153579.825000","","0.000000","","","-17.120000","-7.690000","","-22.185546","-24.810000","","","","","C4 PROFILE","D1 PROFILE",""
"96114105511091","Nodes","5511091","21.000000","31.589563","DDS demands","Known Flow","607090.370000","153600.575000","","0.000000","","","","-11.100000","","-9.925818","-11.100000","","","","","","D1 PROFILE",""
"96114105511118","Nodes","-421972","21.000000","31.818385","Default Known Flow Node","Known Flow","607066.495000","153637.950000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96114105511133","Nodes","-429525","21.000000","31.880415","Default Known Flow Node","Known Flow","607166.870000","153661.700000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96114105511090","Nodes","5511090","21.000000","31.873310","DDS demands","Known Flow","607188.995000","153649.825000","","0.000000","","","","-3.420000","","-3.058225","-3.420000","","","","","","D1 PROFILE",""
"96114105511137","Nodes","-429531","21.000000","31.937426","Default Known Flow Node","Known Flow","607209.245000","153625.450000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96114105511136","Nodes","-429530","21.000000","31.894213","Default Known Flow Node","Known Flow","607207.370000","153624.325000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96114105511131","Nodes","-429521","21.000000","26.992043","DDS demands","Known Flow","606944.745000","153483.075000","","0.000000","","","","-5.949999","","-5.320596","-5.949999","","","","","","D1 PROFILE",""
"96114105511098","Nodes","5511098","21.000000","31.824967","DDS demands","Known Flow","607042.995000","153640.575000","","0.000000","","","","-5.229999","","-4.676759","-5.229999","","","","","","D1 PROFILE",""
"96114105511097","Nodes","5511097","21.000000","31.873885","DDS demands","Known Flow","607104.620000","153690.450000","","0.000000","","","","-5.769999","","-5.159637","-5.769999","","","","","","D1 PROFILE",""
"96114105511096","Nodes","5511096","21.000000","31.689995","DDS demands","Known Flow","607076.870000","153738.075000","","0.000000","","","","-5.039999","","-4.506857","-5.039999","","","","","","D1 PROFILE",""
