"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-DC)"
"96114607311061","Nodes","7311061","21.000000","29.760998","DDS demands","Known Flow","574590.440000","174445.270000","","0.000000","","","","-0.629999","","","-0.563357","-0.629999","","","","","","D1 PROFILE","",""
"96114607311105","Nodes","-165502","21.000000","29.774913","DDS demands","Known Flow","574693.815000","174176.395000","","0.000000","","","","-1.200000","","","-1.073061","-1.200000","","","","","","D1 PROFILE","",""
"96114607311072","Nodes","7311072","21.000000","29.943863","Default Known Flow Node","Known Flow","573567.440000","174771.270000","","0.000000","","","","0.000000","","","0.000000","0.000000","","","","","","D1 PROFILE","",""
"96114607311071","Nodes","7311071","21.000000","29.911531","DDS demands","Known Flow","573530.502500","174912.270000","","0.000000","","","","-5.339999","","","-4.775123","-5.339999","","","","","","D1 PROFILE","",""
"96114607311116","Nodes","-74895","21.000000","29.929268","Default Known Flow Node","Known Flow","573505.315000","175034.270000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96114607311075","Nodes","-102195","21.000000","29.157163","DDS demands","Known Flow","573370.565000","174923.145000","","0.000000","-6.000000","","","-3.510000","","","-8.504012","-9.509999","","","C1 PROFILE","","","D1 PROFILE","",""
"96114607311148","Nodes","-77433","21.000000","29.195882","Default Known Flow Node","Known Flow","573369.440000","174931.145000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96114607311074","Nodes","7311074","21.000000","29.064112","DDS demands","Known Flow","573170.065000","174993.395000","","0.000000","","","","-5.019999","","","-4.488973","-5.019999","","","","","","D1 PROFILE","",""
"96114607311113","Nodes","-74888","21.000000","29.064167","DDS demands","Known Flow","573189.690000","174784.270000","","0.000000","","","","-1.720000","","","-1.538054","-1.720000","","","","","","D1 PROFILE","",""
"96114607311117","Nodes","-74897","21.000000","29.942014","Default Known Flow Node","Known Flow","573566.565000","174752.770000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96114607311118","Nodes","-74899","21.000000","29.925092","DDS demands","Known Flow","573574.315000","174731.020000","","0.000000","","","","-3.039999","","","-2.718422","-3.039999","","","","","","D1 PROFILE","",""
"96114607311119","Nodes","-74900","21.000000","29.943863","Default Known Flow Node","Known Flow","573582.315000","174773.270000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96114607311003","Nodes","COOLING STREET DG,","21.000000","30.000000","Default Known Pressure Node","Known Pressure","574545.065000","174599.020000","","999998.967025","","","","","","","26.978550","30.169998","","","","","","","",""
"96114607311060","Nodes","7311060","21.000000","29.722483","DDS demands","Known Flow","574579.690000","174601.270000","","0.000000","","","","-20.719998","","","-18.528193","-20.719998","","","","","","D1 PROFILE","",""
"96114607311120","Nodes","-74907","21.000000","29.592990","Default Known Flow Node","Known Flow","574572.315000","174687.895000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96114607311073","Nodes","7311073","21.000000","29.621260","DDS demands","Known Flow","573352.440000","175018.270000","","0.000000","","","0.000000","-2.539999","","","-2.271313","-2.539999","","","","","C4 PROFILE","D1 PROFILE","",""
"96114607311114","Nodes","-74889","21.000000","29.620504","Default Known Flow Node","Known Flow","573350.565000","175018.145000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96114607311155","Nodes","-77442","21.000000","29.930303","Default Known Flow Node","Known Flow","573504.940000","175036.020000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96114607311070","Nodes","7311070","21.000000","29.957661","DDS demands","Known Flow","573503.565000","175042.270000","","0.000000","","","","-3.910000","","","-3.496392","-3.910000","","","","","","D1 PROFILE","",""
"96114607311002","Nodes","STATION ROAD/RECTORY ROAD DG,","21.000000","30.000000","Default Known Pressure Node","Known Pressure","573502.190000","175048.145000","","399.999988","","","","","","","32.370684","36.200000","","","","","","","",""
