"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)"
"96110315902287","Nodes","","21.000000","37.497947","Default Known Flow Node","Known Flow","569060.125000","147962.500000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110315902286","Nodes","","21.000000","37.497947","Default Known Flow Node","Known Flow","569066.625000","147955.125000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110315902289","Nodes","","21.000000","37.497947","Default Known Flow Node","Known Flow","569029.625000","147993.250000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110315902288","Nodes","","21.000000","37.497947","Default Known Flow Node","Known Flow","569100.375000","147984.375000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110315902223","Nodes","","21.000000","37.497947","Default Known Flow Node","Known Flow","569111.625000","147990.625000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110315902204","Nodes","","21.000000","37.497947","Default Known Flow Node","Known Flow","569080.000000","148021.625000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110315902296","Nodes","","21.000000","37.497947","Default Known Flow Node","Known Flow","569024.750000","148189.125000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110315902284","Nodes","","21.000000","37.497947","Default Known Flow Node","Known Flow","569002.875000","148080.125000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110315902294","Nodes","","21.000000","37.493624","Default Known Flow Node","Known Flow","569036.250000","148184.625000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110305902156","Nodes","","21.000000","37.475480","DDS demands","Known Flow","569045.875000","148182.875000","","0.000000","","","","","-3.479999","","-3.111878","-3.479999","","","","","","","D1 PROFILE",""
"96110315902292","Nodes","","21.000000","37.723983","Default Known Flow Node","Known Flow","571663.679778","146049.102348","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110305902157","Nodes","","21.000000","37.472607","DDS demands","Known Flow","569052.875000","148162.125000","","0.000000","","","","","-9.209999","","-8.235746","-9.209999","","","","","","","D1 PROFILE",""
"96110315902291","Nodes","","21.000000","37.464191","Default Known Flow Node","Known Flow","569045.250000","148098.750000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110315902206","Nodes","","21.000000","37.472607","Default Known Flow Node","Known Flow","569068.375000","148143.125000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110305902216","Nodes","","21.000000","37.462350","DDS demands","Known Flow","569053.375000","148084.375000","","0.000000","","","","","-13.130000","","-11.741081","-13.130000","","","","","","","D1 PROFILE",""
"96110315902222","Nodes","","21.000000","37.462350","Default Known Flow Node","Known Flow","569055.125000","148080.125000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110315902290","Nodes","","21.000000","37.392039","Default Known Flow Node","Known Flow","571661.409961","145529.529719","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110315902298","Nodes","","21.000000","35.820394","Default Known Flow Node","Known Flow","569116.250000","148483.375000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110305902160","Nodes","","21.000000","35.606452","DDS demands","Known Flow","569120.625000","148634.625000","","0.000000","","","","","-11.850000","","-10.596483","-11.850000","","","","","","","D1 PROFILE",""
"96110315902299","Nodes","","21.000000","35.524638","Default Known Flow Node","Known Flow","569299.000000","148542.375000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110315902212","Nodes","","21.000000","35.567436","Default Known Flow Node","Known Flow","569335.500000","148507.625000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110305902163","Nodes","","21.000000","29.549960","DDS demands","Known Flow","569797.058558","149502.871886","","0.000000","","","","","-2.339999","","-2.092469","-2.339999","","","","","","","D1 PROFILE",""
"96110305902166","Nodes","","21.000000","34.181789","DDS demands","Known Flow","569523.811543","149900.759190","","0.000000","","","","0.000000","-16.339999","","-14.611520","-16.339999","","","","","","C4 PROFILE","D1 PROFILE",""
"96110315902198","Nodes","","21.000000","29.466595","Default Known Flow Node","Known Flow","569785.059535","149752.648029","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110315902184","Nodes","","21.000000","29.466595","Default Known Flow Node","Known Flow","569782.016493","149752.333231","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110315902180","Nodes","","21.000000","29.574688","Default Known Flow Node","Known Flow","569855.386862","149520.976992","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110315902181","Nodes","","21.000000","29.524397","Default Known Flow Node","Known Flow","569792.299878","149739.111735","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110315902187","Nodes","","21.000000","29.344328","Default Known Flow Node","Known Flow","569603.055660","149847.234091","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110305902172","Nodes","","21.000000","29.227047","DDS demands","Known Flow","569717.658770","149852.506642","","0.000000","","","","","-14.579999","","-13.037696","-14.579999","","","","","","","D1 PROFILE",""
"96110315902186","Nodes","","21.000000","29.365070","Default Known Flow Node","Known Flow","569637.875000","149837.375000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110315902234","Nodes","","21.000000","34.459018","DDS demands","Known Flow","569653.000000","149977.250000","","0.000000","","","","","-9.980000","","-8.924294","-9.980000","","","","","","","D1 PROFILE",""
"96110315902220","Nodes","","21.000000","34.459018","Default Known Flow Node","Known Flow","569639.375000","149997.000000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110315902229","Nodes","","21.000000","34.177983","DDS demands","Known Flow","569656.000000","149957.125000","","0.000000","","","-2.400000","","-10.180000","","-11.249262","-12.580000","","","","","C3 PROFILE","","D1 PROFILE",""
"96110315902182","Nodes","","21.000000","29.368450","Default Known Flow Node","Known Flow","569680.500000","149742.375000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110315902183","Nodes","","21.000000","29.406336","Default Known Flow Node","Known Flow","569719.875000","149745.500000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110305902173","Nodes","","21.000000","29.230057","DDS demands","Known Flow","569721.214988","149838.970069","","0.000000","","","","","-1.580000","","-1.412864","-1.580000","","","","","","","D1 PROFILE",""
"96110300003903","Nodes","","21.000000","29.227556","Default Known Flow Node","Known Flow","569725.459506","149865.928497","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
