"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"96105600211889","Nodes","","21.000000","37.544854","DDS demands","Known Flow","598631.179048","141816.815800","","0.000000","","","","","-4.780000","","","","-4.274362","-4.780000","","","","","","","D1 PROFILE","","",""
"96105600211887","Nodes","","21.000000","37.533955","DDS demands","Known Flow","598623.679046","141834.315804","","0.000000","","","","","-2.869999","","","","-2.566405","-2.869999","","","","","","","D1 PROFILE","","",""
"96105600211890","Nodes","","21.000000","37.544205","Default Known Flow Node","Known Flow","598633.429049","141816.565800","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105600211906","Nodes","","21.000000","37.414288","DDS demands","Known Flow","598685.179063","141800.065795","","0.000000","","","","","-6.079999","","","","-5.436844","-6.079999","","","","","","","D1 PROFILE","","",""
"96105600211898","Nodes","","21.000000","38.114596","DDS demands","Known Flow","598666.429058","141759.315784","","0.000000","","","","","-10.779999","","","","-9.639668","-10.779999","","","","","","","D1 PROFILE","","",""
"96105600211894","Nodes","","21.000000","38.335363","Default Known Flow Node","Known Flow","598651.179054","141725.190775","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105600211903","Nodes","","21.000000","39.552223","Default Known Flow Node","Known Flow","598675.054060","141902.690823","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105600211905","Nodes","","21.000000","39.552223","Default Known Flow Node","Known Flow","598682.804062","141912.315826","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105600211904","Nodes","","21.000000","38.775583","Default Known Flow Node","Known Flow","598675.429060","141698.565767","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105600211901","Nodes","","21.000000","38.776348","Default Known Flow Node","Known Flow","598674.929060","141700.065768","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105600211910","Nodes","","21.000000","40.294576","Default Known Flow Node","Known Flow","598703.804068","141778.565789","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105600211922","Nodes","","21.000000","40.372358","Default Known Flow Node","Known Flow","598735.026096","141816.165482","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105600211912","Nodes","","21.000000","32.276159","Default Known Flow Node","Known Flow","598709.804069","141509.190716","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105600211908","Nodes","","21.000000","32.308909","DDS demands","Known Flow","598690.054064","141523.065720","","0.000000","","","","","-5.719999","","","","-5.114926","-5.719999","","","","","","","D1 PROFILE","","",""
"96105600211919","Nodes","","21.000000","31.905905","DDS demands","Known Flow","598729.179075","141549.940727","","0.000000","","","","","-7.869999","","","","-7.037494","-7.869999","","","","","","","D1 PROFILE","","",""
"96105600211923","Nodes","","21.000000","39.758849","Default Known Flow Node","Known Flow","598742.554078","141843.815807","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105600211913","Nodes","","21.000000","39.758849","Default Known Flow Node","Known Flow","598715.304071","141884.440818","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105600211936","Nodes","","21.000000","40.576281","Default Known Flow Node","Known Flow","598836.429104","141856.690810","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105600211937","Nodes","","21.000000","40.576281","DDS demands","Known Flow","598836.679104","141855.565810","","0.000000","","","","","-1.370000","","","","-1.225078","-1.370000","","","","","","","D1 PROFILE","","",""
"96105600211945","Nodes","","21.000000","40.458405","DDS demands","Known Flow","598878.179115","141875.565816","","0.000000","","","","","-3.190000","","","","-2.852555","-3.190000","","","","","","","D1 PROFILE","","",""
"96105600211951","Nodes","","21.000000","41.523674","DDS demands","Known Flow","598951.429135","141746.565781","","0.000000","","","","","-2.650000","","","","-2.369677","-2.650000","","","","","","","D1 PROFILE","","",""
"96105600211949","Nodes","","21.000000","41.495120","DDS demands","Known Flow","598943.429133","141760.815784","","0.000000","","","","","-9.899999","","","","-8.852757","-9.899999","","","","","","","D1 PROFILE","","",""
"96105600211954","Nodes","","21.000000","41.521167","Default Known Flow Node","Known Flow","598966.804139","141756.065783","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105600211952","Nodes","","21.000000","41.533862","Default Known Flow Node","Known Flow","598958.304137","141744.315780","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105650021320","Nodes","","21.000000","41.508218","DDS demands","Known Flow","598968.054140","141757.440783","","0.000000","","","","","-1.949999","","","","-1.743724","-1.949999","","","","","","","D1 PROFILE","","",""
"96105600211958","Nodes","","21.000000","41.454004","DDS demands","Known Flow","598990.554146","141755.815783","","0.000000","","","","","-2.730000","","","","-2.441214","-2.730000","","","","","","","D1 PROFILE","","",""
"96105600145726","Nodes","","21.000000","35.901879","Default Known Flow Node","Known Flow","598915.929126","141912.690826","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105600170329","Nodes","","21.000000","31.886352","DDS demands","Known Flow","598952.304135","141950.190836","","0.000000","","","","","-3.099999","","-25.499999","","-25.574631","-28.600000","","","","","","","D1 PROFILE","","I2 PROFILE",""
"96105600170316","Nodes","","21.000000","39.758849","Default Known Flow Node","Known Flow","598723.554073","141892.940820","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105650021309","Nodes","","21.000000","39.602463","Default Known Flow Node","Known Flow","598716.929071","141916.440827","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105605002331","Nodes","","21.000000","40.411769","Default Known Flow Node","Known Flow","598739.551044","141813.544749","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105600002953","Nodes","","21.000000","40.369946","Default Known Flow Node","Known Flow","598734.814183","141816.401513","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105600170318","Nodes","","21.000000","39.927289","Default Known Flow Node","Known Flow","598743.804079","141874.815815","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105600170320","Nodes","","21.000000","39.813708","Default Known Flow Node","Known Flow","598764.679084","141892.440820","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105600170321","Nodes","","21.000000","39.801815","DDS demands","Known Flow","598771.804086","141898.440822","","0.000000","","","","","-4.349999","","","","-3.889847","-4.349999","","","","","","","D1 PROFILE","","",""
"96105600170324","Nodes","","21.000000","39.734003","DDS demands","Known Flow","598783.304089","141871.440815","","0.000000","","","","","-4.429999","","","","-3.961385","-4.429999","","","","","","","D1 PROFILE","","",""
"96105600170322","Nodes","","21.000000","40.237946","Default Known Flow Node","Known Flow","598778.679088","141841.190806","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105650021308","Nodes","","21.000000","40.240987","DDS demands","Known Flow","598780.019834","141839.230073","","0.000000","","","","","-1.100000","","","","-0.983639","-1.100000","","","","","","","D1 PROFILE","","",""
"96105605002330","Nodes","","21.000000","38.857644","DDS demands","Known Flow","598958.026109","141985.454734","","0.000000","","","","","-4.369999","","","","-3.907732","-4.369999","","","","","","","D1 PROFILE","","",""
"96105600211856","Nodes","","21.000000","37.404774","Default Known Flow Node","Known Flow","598504.929014","141750.065781","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105650021311","Nodes","","21.000000","37.406036","DDS demands","Known Flow","598507.316085","141749.225052","","0.000000","","","","","-9.580000","","","","-8.566607","-9.580000","","","","","","","D1 PROFILE","","",""
"96105600211859","Nodes","","21.000000","37.242819","Default Known Flow Node","Known Flow","598523.429019","141780.065790","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105600211865","Nodes","","21.000000","37.232019","DDS demands","Known Flow","598552.554027","141779.315789","","0.000000","","","","","-2.309999","","","","-2.065643","-2.309999","","","","","","","D1 PROFILE","","",""
"96105650021312","Nodes","","21.000000","37.192773","DDS demands","Known Flow","598526.304020","141798.065795","","0.000000","","","","","-0.569999","","","","-0.509704","-0.569999","","","","","","","D1 PROFILE","","",""
"96105600211858","Nodes","","21.000000","37.001442","DDS demands","Known Flow","598511.804016","141823.565801","","0.000000","","","","","-6.949999","","","","-6.214813","-6.949999","","","","","","","D1 PROFILE","","",""
"96105600211867","Nodes","","21.000000","37.199812","Default Known Flow Node","Known Flow","598556.679028","141628.440748","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
