"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)"
"96106300006020","Nodes","6020","21.000000","26.511500","DDS demands","Known Flow","626211.062168","147802.113320","","0.000000","","","","","-6.390000","-5.714052","-6.390000","","","","","","","D1 PROFILE"
"96106300006022","Nodes","6022","21.000000","31.943048","DDS demands","Known Flow","626466.456204","148024.648428","","0.000000","","","","","-6.399999","-5.722994","-6.399999","","","","","","","D1 PROFILE"
"96106300006013","Nodes","6013","21.000000","24.797248","DDS demands","Known Flow","626099.299135","147850.907736","","0.000000","","","","","-2.939999","-2.629000","-2.939999","","","","","","","D1 PROFILE"
"96106300006015","Nodes","6015","21.000000","25.883513","DDS demands","Known Flow","626159.041837","147788.003376","","0.000000","","","","-5.519999","","-4.936082","-5.519999","","","","","","C4 PROFILE",""
"96106300006021","Nodes","6021","21.000000","33.065421","DDS demands","Known Flow","626326.758122","148081.153703","","0.000000","","","","","-3.309999","-2.959861","-3.309999","","","","","","","D1 PROFILE"
"96106300006024","Nodes","6024","21.000000","31.987072","Default Known Flow Node","Known Flow","626462.432330","148028.992064","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300006023","Nodes","6023","21.000000","31.823282","Default Known Flow Node","Known Flow","626439.108204","148000.554986","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"6106300002854","Nodes","132813","21.000000","37.665705","Default Known Flow Node","Known Flow","626246.388549","148423.177053","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300060004","Nodes","132811","21.000000","26.497121","Default Known Flow Node","Known Flow","626233.257916","147863.937678","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300060013","Nodes","132824","21.000000","29.879125","Default Known Flow Node","Known Flow","626402.875266","147901.586696","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300060012","Nodes","132822","21.000000","29.873591","Default Known Flow Node","Known Flow","626398.283922","147896.864171","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300060002","Nodes","6014","21.000000","25.921551","Default Known Flow Node","Known Flow","626173.002355","147791.697916","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300000002","Nodes","299092","21.000000","25.857686","Default Known Flow Node","Known Flow","626172.879565","147784.979576","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300060008","Nodes","2854","21.000000","26.297772","Default Known Flow Node","Known Flow","626179.145883","147802.621713","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300000003","Nodes","170676","21.000000","28.189084","Default Known Flow Node","Known Flow","625629.444596","148157.359474","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300006000","Nodes","170674","21.000000","28.189084","Default Known Flow Node","Known Flow","625613.443046","148196.525172","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300060003","Nodes","60003","21.000000","34.895722","Default Known Flow Node","Known Flow","625870.562151","148121.860569","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300060014","Nodes","6020","21.000000","32.937434","Default Known Flow Node","Known Flow","626360.683457","148128.729467","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300060005","Nodes","132825","21.000000","33.156209","Default Known Flow Node","Known Flow","626405.541649","148151.041509","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300060009","Nodes","60009","21.000000","31.848315","Default Known Flow Node","Known Flow","626588.227904","148083.626953","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300060006","Nodes","6008","21.000000","31.998168","Default Known Flow Node","Known Flow","625722.664206","148049.606776","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300060015","Nodes","133866","21.000000","35.962413","Default Known Flow Node","Known Flow","625938.262677","148399.266766","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300060017","Nodes","6002","21.000000","34.183026","Default Known Flow Node","Known Flow","625784.097917","148011.128476","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300060018","Nodes","60018","21.000000","32.912859","Default Known Flow Node","Known Flow","626322.341807","148093.198200","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300060010","Nodes","132805","21.000000","33.506217","Default Known Flow Node","Known Flow","626034.625000","148094.125000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300060009aa","Nodes","132851","21.000000","30.976822","Default Known Flow Node","Known Flow","626806.750000","148237.000000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300060020","Nodes","170704","21.000000","38.614216","Default Known Flow Node","Known Flow","626233.548138","148502.635146","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300060016","Nodes","60016","21.000000","34.284342","DDS demands","Known Flow","625024.354800","147221.999662","","0.000000","","","","","-2.619999","-2.342850","-2.619999","","","","","","","D1 PROFILE"
"96106300060001","Nodes","6023","21.000000","31.987072","Default Known Flow Node","Known Flow","626390.750073","148064.833193","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300060021","Nodes","60021","21.000000","24.699304","Default Known Flow Node","Known Flow","626091.523578","147857.633451","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300060019","Nodes","60019","21.000000","25.162381","Default Known Flow Node","Known Flow","626120.101399","147836.754006","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300060000","Nodes","60000","21.000000","24.017025","Default Known Flow Node","Known Flow","626025.710281","147900.644125","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
