"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-DC)"
"96107100000009","Nodes","9","21.000000","41.058735","Default Known Flow Node","Known Flow","635701.669733","144452.785220","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96107105213065","Nodes","5213065","21.000000","41.058735","DDS demands","Known Flow","635711.687870","144393.207695","","0.000000","","","","","-10.180000","","","-9.103139","-10.180000","","","","","","","D1 PROFILE","",""
"96107105213037","Nodes","5213037","21.000000","31.168820","DDS demands","Known Flow","636307.106731","144054.912105","","0.000000","","","","","-15.500000","","","-13.860377","-15.500000","","","","","","","D1 PROFILE","",""
"96107100005206","Nodes","5206","21.000000","30.922006","DDS demands","Known Flow","636314.512880","144064.487627","","0.000000","","","","","-12.579999","","","-11.249261","-12.579999","","","","","","","D1 PROFILE","",""
"96107105213038","Nodes","5213038","21.000000","25.739981","DDS demands","Known Flow","636513.725406","144255.633053","","0.000000","","","","","-4.999999","","","-4.471089","-4.999999","","","","","","","D1 PROFILE","",""
"96107105213023","Nodes","5213023","21.000000","23.173158","DDS demands","Known Flow","636856.551601","144722.478729","","0.000000","","","","","-20.430000","","","-18.268872","-20.430000","","","","","","","D1 PROFILE","",""
"96107100005205","Nodes","5205","21.000000","23.461126","Default Known Flow Node","Known Flow","636868.093238","144729.921724","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96107105213022","Nodes","5213022","21.000000","23.179432","DDS demands","Known Flow","636996.177514","144814.959930","","0.000000","","","","","-12.000000","","","-10.730614","-12.000000","","","","","","","D1 PROFILE","",""
"96107105213029","Nodes","5213029","21.000000","35.385529","DDS demands","Known Flow","636407.585519","144431.407065","","0.000000","","","","","-6.439999","","","-5.758763","-6.439999","","","","","","","D1 PROFILE","",""
"96107100000076","Nodes","76","21.000000","38.013167","DDS demands","Known Flow","635813.857419","144906.742801","","0.000000","","","","","-3.769999","","","-3.371201","-3.769999","","","","","","","D1 PROFILE","",""
