"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-DC)"
"96115207415073","Nodes","","21.000000","25.980970","Default Known Flow Node","Known Flow","585833.250000","166955.750000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96115207415069","Nodes","","21.000000","26.189318","Default Known Flow Node","Known Flow","585823.500000","166969.500000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96115207415028","Nodes","","21.000000","28.852928","DDS demands","Known Flow","585750.750000","167103.125000","","0.000000","","-19.040001","","","-17.025910","-19.040001","","","","D1 PROFILE","",""
"96115200006153","Nodes","P08119909, PLOTS1-6 BREACH LANE, -8.22","22.999998","27.362453","CSEP DDS Matched","Known Flow","585542.250000","167058.875000","","0.000000","","","-8.220000","","-7.350471","-8.220000","","","","","DC PROFILE",""
"96115207415027","Nodes","","21.000000","29.658125","DDS demands","Known Flow","585791.625000","167234.000000","","0.000000","-6.000000","-10.039999","","","-14.343255","-16.039999","","","C4 PROFILE","D1 PROFILE","",""
"96115207415031","Nodes","","21.000000","25.704922","DDS demands","Known Flow","586098.125000","167170.500000","","0.000000","","-16.750000","","","-14.978150","-16.750000","","","","D1 PROFILE","",""
"96115200006152","Nodes","","21.000000","25.763422","Default Known Flow Node","Known Flow","586105.937500","167176.812500","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96115207415095","Nodes","","21.000000","26.066936","Default Known Flow Node","Known Flow","586100.000000","167206.625000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96115207415074","Nodes","","21.000000","25.809690","Default Known Flow Node","Known Flow","585845.375000","166954.375000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96115207415029","Nodes","","21.000000","24.927372","DDS demands","Known Flow","585904.625000","166957.125000","","0.000000","","-15.720000","","","-14.057105","-15.720000","","","","D1 PROFILE","",""
"96115207415098","Nodes","","21.000000","24.540639","Default Known Flow Node","Known Flow","586109.625000","166810.500000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96115207415030","Nodes","","21.000000","24.453464","DDS demands","Known Flow","586098.000000","166907.500000","","0.000000","","-14.189999","","","-12.688951","-14.189999","","","","D1 PROFILE","",""
"96115207415086","Nodes","","21.000000","24.308479","DDS demands","Known Flow","586012.000000","166920.000000","","0.000000","","-19.470000","","","-17.410422","-19.470000","","","","D1 PROFILE","",""
"96115207415051","Nodes","","21.000000","29.792913","Default Known Flow Node","Known Flow","585729.875000","167240.500000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96115207415052","Nodes","","21.000000","29.777116","Default Known Flow Node","Known Flow","585732.875000","167250.500000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96115207415053","Nodes","","21.000000","29.250432","Default Known Flow Node","Known Flow","585733.625000","167351.500000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96115207415054","Nodes","","21.000000","29.250432","Default Known Flow Node","Known Flow","585738.250000","167350.625000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96115207415068","Nodes","","21.000000","29.228253","Default Known Flow Node","Known Flow","585817.125000","167320.625000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96115207415062","Nodes","","21.000000","29.228253","Default Known Flow Node","Known Flow","585793.500000","167311.625000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96115207415037","Nodes","","21.000000","27.549498","DDS demands","Known Flow","585563.750000","167103.625000","","0.000000","","-14.659999","","","-13.109234","-14.659999","","","","D1 PROFILE","",""
"96115207415036","Nodes","","21.000000","27.514790","DDS demands","Known Flow","585615.711605","167123.114838","","0.000000","","-6.809999","","","-6.089623","-6.809999","","","","D1 PROFILE","",""
"96115207415038","Nodes","","21.000000","27.618403","DDS demands","Known Flow","585579.500000","167139.500000","","0.000000","","-9.899999","","","-8.852757","-9.899999","","","","D1 PROFILE","",""
"96115207415044","Nodes","","21.000000","27.442165","DDS demands","Known Flow","585651.250000","167109.500000","","0.000000","","-14.880000","","","-13.305963","-14.880000","","","","D1 PROFILE","",""
"96115207415039","Nodes","","21.000000","28.942092","Default Known Flow Node","Known Flow","585613.875000","167200.375000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96115207415041","Nodes","","21.000000","27.442165","Default Known Flow Node","Known Flow","585641.000000","167081.250000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96115207415042","Nodes","","21.000000","27.442165","Default Known Flow Node","Known Flow","585642.375000","167080.625000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96115207415043","Nodes","","21.000000","27.442165","Default Known Flow Node","Known Flow","585648.250000","167077.875000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96115207415040","Nodes","","21.000000","27.485493","Default Known Flow Node","Known Flow","585627.875000","167045.125000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96115207415045","Nodes","","21.000000","27.485493","Default Known Flow Node","Known Flow","585652.750000","167039.375000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96115207415047","Nodes","","21.000000","27.442165","Default Known Flow Node","Known Flow","585665.625000","167122.000000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96115207415046","Nodes","","21.000000","29.818208","Default Known Flow Node","Known Flow","585660.750000","167185.750000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96115207415026","Nodes","","21.000000","29.976370","DDS demands","Known Flow","585664.000000","167192.500000","","0.000000","","-10.989999","","","-9.827454","-10.989999","","","","D1 PROFILE","",""
"96115207415002","Nodes","The Street, Lower Halstow, SITE ID 6053","21.000000","30.000000","Default Known Pressure Node","Known Pressure","585664.000000","167199.500000","","7499.999742","","","","","312.833151","349.840007","","","","","",""
"96115207415048","Nodes","","21.000000","27.442165","Default Known Flow Node","Known Flow","585666.875000","167102.750000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96115207415050","Nodes","","21.000000","29.800911","Default Known Flow Node","Known Flow","585723.250000","167217.375000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96115207415049","Nodes","","21.000000","29.792913","Default Known Flow Node","Known Flow","585694.375000","167249.750000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96115207415055","Nodes","","21.000000","29.777116","Default Known Flow Node","Known Flow","585739.000000","167284.750000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96115207415056","Nodes","","21.000000","29.250432","Default Known Flow Node","Known Flow","585744.000000","167348.875000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96115207415057","Nodes","","21.000000","29.250432","Default Known Flow Node","Known Flow","585752.000000","167338.250000","","0.000000","","","","","0.000000","0.000000","","","","","",""
