"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-DC)"
"96105700000018","Nodes","-18","21.000000","22.521124","Default Known Flow Node","Known Flow","605219.305840","146429.567055","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105700000017","Nodes","-17","21.000000","22.565133","Default Known Flow Node","Known Flow","605234.430845","146425.817054","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105705003018","Nodes","5003018","21.000000","22.783156","Default Known Flow Node","Known Flow","605347.055875","146463.817064","","0.000000","","","","-22.129998","","","","","-19.789041","-22.129998","","","","","","D1 PROFILE","","","",""
"96105700003854","Nodes","Logger 3854, Chequers Park","21.000000","22.754054","Default Known Flow Node","Known Flow","605350.113680","146467.313249","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105700000032","Nodes","-32","21.000000","22.550322","Default Known Flow Node","Known Flow","605357.430878","146499.317074","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105705003012","Nodes","5003012","21.000000","25.056958","Default Known Flow Node","Known Flow","606029.385599","146624.184956","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105705003011","Nodes","5003011","21.000000","25.143194","Default Known Flow Node","Known Flow","606322.784483","146539.758772","","0.000000","","0.000000","","","","","","","0.000000","0.000000","","","","C2 PROFILE","","","","","",""
"96105700000034","Nodes","-34","21.000000","25.525536","Default Known Flow Node","Known Flow","606645.306228","146501.192074","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105700000109","Nodes","-109","21.000000","25.005311","Default Known Flow Node","Known Flow","605835.806008","146717.192133","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105700000182","Nodes","-182","21.000000","33.125631","Default Known Flow Node","Known Flow","605783.930994","147419.442324","","0.000000","","","","-3.219999","","","","","-2.879381","-3.219999","","","","","","D1 PROFILE","","","",""
"96105705003027","Nodes","5003027","21.000000","33.260757","Default Known Flow Node","Known Flow","605715.493347","147238.584941","","0.000000","","-15.999999","","-8.830000","","","","","-22.203430","-24.830000","","","","C2 PROFILE","","D1 PROFILE","","","",""
"96105700000169","Nodes","-169","21.000000","33.918393","Default Known Flow Node","Known Flow","605624.129784","146983.404824","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105700000172","Nodes","-172","21.000000","33.788764","Default Known Flow Node","Known Flow","605703.185437","146985.353934","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105705003030","Nodes","5003030","21.000000","32.027167","Default Known Flow Node","Known Flow","605859.371992","146966.961611","","0.000000","","-151.420006","","","","","","","-135.402486","-151.420006","","","","C2 PROFILE","","","","","",""
"96105700000162","Nodes","-162","21.000000","31.869591","Default Known Flow Node","Known Flow","605917.806030","146960.567199","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105700000006","Nodes","-6","21.000000","22.132677","Default Known Flow Node","Known Flow","605225.805842","146373.942040","","0.000000","","","","-7.420000","","","","","-6.635097","-7.420000","","","","","","D1 PROFILE","","","",""
"96105705003040","Nodes","5003040","21.000000","22.461641","Default Known Flow Node","Known Flow","605316.430867","146348.442033","","0.000000","","","","-15.819999","","","","","-14.146526","-15.819999","","","","","","D1 PROFILE","","","",""
"96105700000028","Nodes","-28","21.000000","22.920698","Default Known Flow Node","Known Flow","605153.555823","146482.817069","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105700000016","Nodes","-16","21.000000","22.475980","Default Known Flow Node","Known Flow","605143.930820","146423.442053","","0.000000","","","","-7.309999","","","","","-6.536732","-7.309999","","","","","","D1 PROFILE","","","",""
"96105700000029","Nodes","-29","21.000000","22.923328","Default Known Flow Node","Known Flow","605154.805823","146486.317070","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105700000026","Nodes","-26","21.000000","22.967298","Default Known Flow Node","Known Flow","605195.055834","146470.817066","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105700000023","Nodes","-23","21.000000","22.967298","Default Known Flow Node","Known Flow","605190.680833","146458.567063","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105705003039","Nodes","5003039","21.000000","22.565133","Default Known Flow Node","Known Flow","605334.902768","146397.465217","","0.000000","","","","-19.520000","","","","","-17.455132","-19.520000","","","","","","D1 PROFILE","","","",""
"96105700000031","Nodes","-31","21.000000","23.362933","Default Known Flow Node","Known Flow","605245.774788","146498.165244","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105700000027","Nodes","-27","21.000000","23.362933","Default Known Flow Node","Known Flow","605304.078864","146480.910069","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105700000030","Nodes","-30","21.000000","23.022897","Default Known Flow Node","Known Flow","605306.069030","146489.865853","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105700000003","Nodes","-3","21.000000","22.324617","Default Known Flow Node","Known Flow","605523.930923","146321.192025","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105705003036","Nodes","5003036","21.000000","22.456733","Default Known Flow Node","Known Flow","605537.430927","146381.817042","","0.000000","","","","-25.309999","","","","","-22.632654","-25.309999","","","","","","D1 PROFILE","","","",""
"96105700000021","Nodes","-21","21.000000","22.507566","Default Known Flow Node","Known Flow","605606.680946","146442.067058","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105700000014","Nodes","-14","21.000000","22.463507","Default Known Flow Node","Known Flow","605575.997532","146418.643559","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105700000008","Nodes","-8","21.000000","22.442515","Default Known Flow Node","Known Flow","605553.555931","146394.067045","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105700000012","Nodes","-12","21.000000","22.463507","Default Known Flow Node","Known Flow","605579.805939","146413.817051","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105700000010","Nodes","-10","21.000000","22.419454","Default Known Flow Node","Known Flow","605562.380761","146407.983036","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105700000020","Nodes","-20","21.000000","22.475131","Default Known Flow Node","Known Flow","605616.555949","146441.817058","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105705003037","Nodes","5003037","21.000000","22.456262","Default Known Flow Node","Known Flow","605638.033501","146457.971913","","0.000000","","","","-17.670000","","","","","-15.800830","-17.670000","","","","","","D1 PROFILE","","","",""
