"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"96106506000015","Nodes","-10","21.000000","29.569364","Default Known Flow Node","Known Flow","613663.558138","133308.813485","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96106505304224","Nodes","5304224","21.000000","29.569364","DDS demands","Known Flow","613701.558148","133354.938497","","0.000000","","","","","","-20.090000","","","","","","-17.964837","-20.090000","","","","","","","","D1 PROFILE","","","","",""
"96106505304189","Nodes","","21.000000","33.391797","Default Known Flow Node","Known Flow","615927.183753","134668.563855","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96106505304003","Nodes","Burmarsh Road DG, Profiled, Site ID 5251","21.000000","38.000000","Default Known Pressure Node","Known Pressure","614157.639272","133778.306612","","9998.999917","","","","","","","","","","","","1424.284902","1592.771678","","","","","","","","","","","","",""
"96106506002397","Nodes","-66","21.000000","33.013236","Default Known Flow Node","Known Flow","614157.933272","133802.688619","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96106506002545","Nodes","-91011","21.000000","32.976892","Default Known Flow Node","Known Flow","614154.612505","133800.725115","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96106506002270","Nodes","-4904610","21.000000","32.715272","Default Known Flow Node","Known Flow","614129.486012","133789.030773","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96106506000042","Nodes","-1036","21.000000","26.742219","Default Known Flow Node","Known Flow","618457.573442","135559.728097","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96106506000040","Nodes","-1034","21.000000","26.774853","Default Known Flow Node","Known Flow","618468.719563","135543.910277","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96106505302425","Nodes","5302425","21.000000","34.419989","DDS demands","Known Flow","623295.185758","136451.939340","","0.000000","","","","","","-1.960000","","","","","","-1.752667","-1.960000","","","","","","","","D1 PROFILE","","","","",""
"96106506002319","Nodes","-5302328","21.000000","34.722848","Default Known Flow Node","Known Flow","623278.850752","136408.314538","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96106506002017","Nodes","-367738","21.000000","29.457147","Default Known Flow Node","Known Flow","620139.934899","137150.314530","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96106506002321","Nodes","-5303019","21.000000","29.466838","Default Known Flow Node","Known Flow","620138.795968","137150.399453","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96106505304153","Nodes","5304153","21.000000","32.922021","DDS demands","Known Flow","615933.696555","134744.724801","","0.000000","-5.879999","","","-24.969998","","-29.159998","","","","","","-53.662016","-60.009995","","","C1 PROFILE","","","C4 PROFILE","","D1 PROFILE","","","","",""
"96106505304081","Nodes","5304081","21.000000","32.922128","DDS demands","Known Flow","616041.852775","134749.612351","","0.000000","-1.850000","","","-6.449999","","","","","","","","-7.422008","-8.299999","","","C1 PROFILE","","","C4 PROFILE","","","","","","",""
"96106506002309","Nodes","-523","21.000000","32.925490","Default Known Flow Node","Known Flow","616069.808792","134753.938878","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96106505302107","Nodes","5302107","21.000000","28.854506","DDS demands","Known Flow","620888.193378","135987.191663","","0.000000","","-31.669999","","","","-17.389999","","","","","","-43.870329","-49.059998","","","","C2 PROFILE","","","","D1 PROFILE","","","","",""
"96106506001250","Nodes","-2264","21.000000","30.014601","Default Known Flow Node","Known Flow","620913.874153","135882.576615","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
