"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"96107905306158","Nodes","5306158","21.000000","25.591653","DDS demands","Known Flow","608448.056719","120490.059996","","0.000000","","","","","-13.380000","","","","-11.964636","-13.380000","","","","","","","D1 PROFILE","","",""
"96107901462589","Nodes","1462589","21.000000","25.313333","DDS demands","Known Flow","608469.681725","120416.934977","","0.000000","","","","","-5.870000","","","","-5.249059","-5.870000","","","","","","","D1 PROFILE","","",""
"96107900000390","Nodes","390","21.000000","28.032461","Default Known Flow Node","Known Flow","607749.556529","123279.435755","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96107905306125","Nodes","5306125","21.000000","28.076681","DDS demands","Known Flow","607750.661452","123278.291371","","0.000000","","","","","-8.560000","","","","-7.654505","-8.560000","","","","","","","D1 PROFILE","","",""
"96107905306089","Nodes","5306089","21.000000","31.294738","DDS demands","Known Flow","607823.056549","123203.310735","","0.000000","","","","","-15.569999","","","","-13.922972","-15.569999","","","","","","","D1 PROFILE","","",""
"96107900002558","Nodes","","21.000000","28.752785","Default Known Flow Node","Known Flow","606456.577421","124827.186976","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96107905306078","Nodes","5306078","21.000000","27.012277","DDS demands","Known Flow","605891.806023","124793.936168","","0.000000","","","","","-11.470000","","","","-10.256680","-11.470000","","","","","","","D1 PROFILE","","",""
"96107900002564","Nodes","Logger 0969, Sussex Rd/Lydd Rd","21.000000","27.232535","Val Log Post","Known Flow","605926.993814","124751.711665","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96107905306079","Nodes","5306079","21.000000","27.249534","DDS demands","Known Flow","605926.806033","124747.561155","","0.000000","","","","","-8.939999","","","","-7.994307","-8.939999","","","","","","","D1 PROFILE","","",""
"96107905306141","Nodes","5306141","21.000000","26.019195","DDS demands","Known Flow","608554.931748","120511.060002","","0.000000","","","","","-5.599999","","","","-5.007620","-5.599999","","","","","","","D1 PROFILE","","",""
"96107900002563","Nodes","Logger 1024, Coast Drive/Taylor Road","21.000000","26.222480","Val Log Post","Known Flow","608460.813601","120779.311155","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96107905306137","Nodes","5306137","21.000000","26.224545","DDS demands","Known Flow","608459.931722","120782.060076","","0.000000","","","","","-16.559999","","","","-14.808248","-16.559999","","","","","","","D1 PROFILE","","",""
"96107900000360","Nodes","360","21.000000","29.439577","DDS demands","Known Flow","608078.681618","122481.185538","","0.000000","","","","","-1.389999","","","","-1.242962","-1.389999","","","","","","","D1 PROFILE","","",""
