"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"96107300005560","Nodes","5560,","21.000000","33.389800","Default Known Flow Node","Known Flow","631228.068692","142137.864540","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96107305215086","Nodes","5215086,","21.000000","33.350364","DDS demands","Known Flow","631254.033414","142100.712446","","0.000000","0.000000","","-3.029999","","","-22.290001","","","","","","-22.641597","-25.319999","","","C1 PROFILE","","C3 PROFILE","","","D1 PROFILE","","","","",""
"96107300005248","Nodes","5248,","21.000000","27.667895","DDS demands","Known Flow","630266.425635","140561.088398","","0.000000","","","","","","-8.010000","","","","","","-7.162685","-8.010000","","","","","","","","D1 PROFILE","","","","",""
"96107300005884","Nodes","5884,","21.000000","25.761680","Default Known Flow Node","Known Flow","630702.937773","145224.191727","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96107300005885","Nodes","5885,","21.000000","25.761680","Default Known Flow Node","Known Flow","630705.062773","145222.191726","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96107305215246","Nodes","5215246,","21.000000","27.621360","DDS demands","Known Flow","630222.533642","140513.744445","","0.000000","","","","","","-10.039999","","","","","","-8.977947","-10.039999","","","","","","","","D1 PROFILE","","","","",""
"96107305215188","Nodes","5215188,","21.000000","32.273017","DDS demands","Known Flow","630955.812841","141013.190581","","0.000000","","","","","","-26.089999","","","","","","-23.330144","-26.089999","","","","","","","","D1 PROFILE","","","","",""
"96107300005244","Nodes","5244,","21.000000","32.266828","Default Known Flow Node","Known Flow","630958.408024","141007.033383","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96107300005210","Nodes","5210,","21.000000","32.262821","Default Known Flow Node","Known Flow","630963.062843","140989.065574","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"96107305215269","Nodes","5215269,","21.000000","27.266042","Default Known Flow Node","Known Flow","630370.469682","140675.581489","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
