"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)"
"96123801000001","Nodes","","21.000000","69.999999","Default Known Pressure Node","Known Pressure","594191.905642","136338.361401","","271.500002","","","","","93.678270","104.760003","","","","","",""
"96123801000003","Nodes","","21.000000","68.205573","DDS demands","Known Flow","594148.171453","136347.701177","","0.000000","","-3.319999","","","-2.968803","-3.319999","","","","D1 PROFILE","",""
"96123801000004","Nodes","","21.000000","66.628252","DDS demands","Known Flow","594102.730080","136348.970489","","0.000000","","-3.119999","","","-2.789959","-3.119999","","","","D1 PROFILE","",""
"96123801000002","Nodes","","21.000000","66.425571","DDS demands","Known Flow","594088.539590","136346.749558","","0.000000","","-24.299999","","","-21.729495","-24.299999","","","","D1 PROFILE","",""
"96123801000005","Nodes","","21.000000","68.205573","Default Known Flow Node","Known Flow","594122.813015","136413.319488","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123801000006","Nodes","","21.000000","59.998032","DDS demands","Known Flow","594076.668276","136461.867599","","0.000000","","-20.330000","","","-18.179449","-20.330000","","","","D1 PROFILE","",""
"96123801000007","Nodes","","21.000000","61.522458","DDS demands","Known Flow","593984.878164","136347.471906","","0.000000","","-21.649999","","","-19.359817","-21.649999","","","","D1 PROFILE","",""
"96123801000016","Nodes","","21.000000","61.481428","Default Known Flow Node","Known Flow","593966.319814","136336.315673","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123801000009","Nodes","","21.000000","60.523025","Default Known Flow Node","Known Flow","594044.079658","136422.150342","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96123801000010","Nodes","","21.000000","60.523025","Default Known Flow Node","Known Flow","594035.613852","136433.175969","","0.000000","","","","","0.000000","0.000000","","","","","",""
