"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)"
"96108205308068","Nodes","5308068","21.000000","26.421208","Default Known Flow Node","Known Flow","619476.615000","142357.515000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108205308037","Nodes","5308037","21.000000","26.501134","Default Known Flow Node","Known Flow","619435.865000","142368.640000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108205308095","Nodes","5308095","21.000000","27.075495","Default Known Flow Node","Known Flow","620359.615000","141678.765000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108200004652","Nodes","Logger 4652","21.000000","26.990297","Val Log Cath","Known Flow","620343.615000","141645.640000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108205308103","Nodes","5308103","21.000000","26.957835","DDS demands","Known Flow","620295.427500","141546.311875","","0.000000","","","-9.659999","","","-8.638144","-9.659999","","","","","D1 PROFILE","",""
"96108205308036","Nodes","5308036","21.000000","25.834746","Default Known Flow Node","Known Flow","619679.615000","142198.483750","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108205308035","Nodes","5308035","21.000000","25.925765","Default Known Flow Node","Known Flow","619882.865000","141995.296250","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108205308034","Nodes","5308034","21.000000","26.663876","Default Known Flow Node","Known Flow","620022.365000","141821.640000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108205308069","Nodes","5308069","21.000000","27.136181","Default Known Flow Node","Known Flow","620227.990000","141726.640000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108205308031","Nodes","5308031","21.000000","27.080356","DDS demands","Known Flow","620378.990000","141685.640000","","0.000000","","0.000000","-13.149999","","0.000000","-11.758964","-13.149999","","","","C4 PROFILE","D1 PROFILE","","I2 PROFILE"
"96108205308030","Nodes","5308030","21.000000","30.486936","DDS demands","Known Flow","620636.052500","141632.936875","","0.000000","","","-14.149999","","-9.720000","-21.344981","-23.869998","","","","","D1 PROFILE","","I2 PROFILE"
"96108205308029","Nodes","5308029","21.000000","38.634599","DDS demands","Known Flow","620910.615000","141576.515000","","0.000000","","","-16.690000","","","-14.924497","-16.690000","","","","","D1 PROFILE","",""
