"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-DC)"
"96121709709088","Nodes","-3557450","21.000000","31.527044","Default Known Flow Node","Known Flow","581153.520000","115528.170000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709092","Nodes","-3590065","21.000000","30.690807","Default Known Flow Node","Known Flow","581741.270000","115945.920000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709094","Nodes","-3590067","21.000000","30.475624","Default Known Flow Node","Known Flow","581792.270000","115887.302812","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709095","Nodes","-3590068","21.000000","30.376593","DDS demands","Known Flow","581834.770000","115884.052812","","0.000000","","","","-2.019999","","","-1.806320","-2.019999","","","","","","D1 PROFILE","",""
"96121709709093","Nodes","-3590066","21.000000","30.378484","DDS demands","Known Flow","581777.395000","115849.920000","","0.000000","","","","-1.909999","","","-1.707956","-1.909999","","","","","","D1 PROFILE","",""
"96121709709091","Nodes","-3590064","21.000000","30.726048","Default Known Flow Node","Known Flow","581586.895000","116068.920000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709072","Nodes","-125506","21.000000","28.941155","Default Known Flow Node","Known Flow","582687.145000","117489.052812","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709079","Nodes","-1355156","21.000000","28.941155","Default Known Flow Node","Known Flow","582690.020000","117480.920000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709080","Nodes","-1355157","21.000000","28.941155","Default Known Flow Node","Known Flow","582693.395000","117471.802812","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121700000223","Nodes","","21.000000","39.425142","Default Known Flow Node","Known Flow","580976.909216","115275.832127","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121700000222","Nodes","","21.000000","39.226611","DDS demands","Known Flow","580976.870674","115295.229855","","0.000000","","","","-6.260000","","","-5.597804","-6.260000","","","","","","D1 PROFILE","",""
