"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"90101100919231","Nodes","-248739",21.000000,23.888323,"DDS demands","Known Flow",546670.539910,180112.951220,,0.000000,,,,,-2.910000,,,,,-2.602174,-2.910000,,"",,,,,"D1 PROFILE",,,,
"90101100919232","Nodes","-248744",21.000000,23.889255,"DDS demands","Known Flow",546681.414913,180137.701227,,0.000000,,,,,-7.770000,,,,,-6.948073,-7.770000,,"",,,,,"D1 PROFILE",,,,
"90101100919056","Nodes","919056",21.000000,21.987686,"DDS demands","Known Flow",546963.164990,180132.951226,,0.000000,-46.450002,,,,-29.330000,,,,,-67.763835,-75.780000,,"","C1 PROFILE",,,,"D1 PROFILE",,,,
"90101100005488","Nodes","Logger 5488",21.000000,22.004885,"Val Log Post","Known Flow",546960.113609,180138.331970,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"90101100919057","Nodes","919057",21.000000,22.188156,"DDS demands","Known Flow",546919.837874,180209.353408,,0.000000,,,,,-27.379998,,,,,-24.483685,-27.379998,,"",,,,,"D1 PROFILE",,,,
"90101100919237","Nodes","-248770",21.000000,21.993727,"DDS demands","Known Flow",546750.789932,180293.826270,,0.000000,,,,,-8.310000,,,,,-7.430950,-8.310000,,"",,,,,"D1 PROFILE",,,,
"90101100919251","Nodes",,0.000000,22.108181,"DDS demands","Known Flow",546798.078880,180321.873763,,0.000000,,,,,-11.180000,,,,,-9.997356,-11.180000,,"",,,,,"D1 PROFILE",,,,
"90101100919250","Nodes","-248814",21.000000,22.298986,"DDS demands","Known Flow",546841.914957,180352.326285,,0.000000,,,,,-7.070000,,,,,-6.322121,-7.070000,,"",,,,,"D1 PROFILE",,,,
"90101100919058","Nodes","919058",21.000000,24.422504,"DDS demands","Known Flow",546861.789962,180218.451249,,0.000000,,,,,-24.080000,,,,,-21.532767,-24.080000,,"",,,,,"D1 PROFILE",,,,
"90101100919062","Nodes","919062",21.000000,22.725330,"Default Known Flow Node","Known Flow",546894.906311,180228.577722,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"90101100919235","Nodes","-248759",21.000000,23.860770,"DDS demands","Known Flow",546726.039925,180232.951253,,0.000000,,,,,-11.740000,,,,,-10.498118,-11.740000,,"",,,,,"D1 PROFILE",,,,
"90101100919061","Nodes","919061",21.000000,23.890887,"DDS demands","Known Flow",546696.664917,180130.576225,,0.000000,,0.000000,,,-4.610000,,,,,-4.122344,-4.610000,,"",,"C2 PROFILE",,,"D1 PROFILE",,,,
"90101100919233","Nodes","-248756",21.000000,23.888657,"DDS demands","Known Flow",546722.164924,180120.326222,,0.000000,,,,,-4.460000,,,,,-3.988211,-4.460000,,"",,,,,"D1 PROFILE",,,,
"90101100919234","Nodes","-248758",21.000000,23.894867,"DDS demands","Known Flow",546723.789925,180198.951244,,0.000000,,,,,-7.050000,,,,,-6.304236,-7.050000,,"",,,,,"D1 PROFILE",,,,
"90101100919238","Nodes","-248772",21.000000,23.888982,"Default Known Flow Node","Known Flow",546753.414933,180221.826250,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"90101100919060","Nodes","919060",21.000000,23.918489,"DDS demands","Known Flow",546741.164929,180193.451242,,0.000000,,,,,-13.319999,,,,,-11.910982,-13.319999,,"",,,,,"D1 PROFILE",,,,
"90101100919239","Nodes","-248773",21.000000,24.024432,"Default Known Flow Node","Known Flow",546756.789934,180186.326240,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
