"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"90102800223926","Nodes","223926",21.000000,60.981873,"Default Known Flow Node","Known Flow",557261.309754,163015.270333,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,
"90102802308040","Nodes","2308040",21.000000,60.824270,"DDS demands","Known Flow",557182.314461,162930.153034,,0.000000,,,,,,-34.529999,,,,,,,,-30.877344,-34.529999,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102802308063","Nodes","P00055216, Kayland Park, 41.35",56.000000,56.370246,"CSEP DDS Matched","Known Flow",557207.878777,163064.123581,,0.000000,,,,,,,-41.349997,,,,,,,-36.975908,-41.349997,,,"",,,,,,,"DC PROFILE",,,,,,,
"90102800223927","Nodes","223927",21.000000,65.743267,"Default Known Flow Node","Known Flow",557323.004809,163080.963586,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,
"90102802308033","Nodes","2308033",21.000000,37.573790,"DDS demands","Known Flow",557086.676150,163459.238008,,0.000000,,,,,,-24.169999,,,,,,,,-21.613245,-24.169999,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102800256968","Nodes","256968",21.000000,49.840065,"Default Known Flow Node","Known Flow",557359.183818,163387.914669,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,
"90102802308037","Nodes","2308037",21.000000,44.670206,"DDS demands","Known Flow",557524.604864,163126.985598,,0.000000,,,,,,-34.380000,,,,,,,,-30.743212,-34.380000,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102800172929","Nodes","172929",21.000000,47.719021,"Default Known Flow Node","Known Flow",557519.015963,163268.327528,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,
"90102800172927","Nodes","172927",21.000000,47.934750,"Default Known Flow Node","Known Flow",557500.855857,163201.867619,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,
"90102800172934","Nodes","172934",21.000000,48.478856,"DDS demands","Known Flow",557722.175703,163003.707053,,0.000000,,,,,,-11.709999,,,,,,,,-10.471291,-11.709999,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102800252713","Nodes","252713",21.000000,53.548293,"DDS demands","Known Flow",556859.315682,163536.924710,,0.000000,,,,,,-3.700000,,,,,,,,-3.308606,-3.700000,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102800256946","Nodes","256946",21.000000,53.923302,"DDS demands","Known Flow",556896.288998,163518.663695,,0.000000,,,,,,-5.530000,,,,,,,,-4.945025,-5.530000,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102800252731","Nodes","252731",21.000000,58.155750,"Default Known Flow Node","Known Flow",556963.460711,163834.752791,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,
"90102802308014","Nodes","2308014",21.000000,58.298217,"DDS demands","Known Flow",556939.987704,163827.116789,,0.000000,,,,,,-13.899999,,,,,,,,-12.429627,-13.899999,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102800252702","Nodes","252702",21.000000,29.973312,"Default Known Flow Node","Known Flow",556766.976042,163780.237360,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,
"90102800252701","Nodes","252701",21.000000,29.973312,"Default Known Flow Node","Known Flow",556757.592655,163814.924786,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,
"90102800252700","Nodes","252700",21.000000,29.928859,"Default Known Flow Node","Known Flow",556735.792649,163774.461775,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,
"90102800252706","Nodes","252706",21.000000,30.972608,"DDS demands","Known Flow",556802.101845,163774.287414,,0.000000,,,,,,-7.239999,,,,,,,,-6.474137,-7.239999,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102800252711","Nodes","252711",21.000000,30.734677,"DDS demands","Known Flow",556839.749369,163735.977657,,0.000000,,,,,,-7.369999,,,,,,,,-6.590385,-7.369999,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102800252709","Nodes","252709",21.000000,32.740038,"DDS demands","Known Flow",556828.711444,163784.582818,,0.000000,,,,,,-9.170000,,,,,,,,-8.199978,-9.170000,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102800252712","Nodes","252712",21.000000,30.503341,"DDS demands","Known Flow",556858.918447,163649.466114,,0.000000,,,,,,-5.579999,,,,,,,,-4.989735,-5.579999,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102802308013","Nodes","2308013",21.000000,37.290453,"DDS demands","Known Flow",556876.946687,163802.359782,,0.000000,,,,,,-22.399999,,,,,,,,-20.030480,-22.399999,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102800252721","Nodes","252721",21.000000,54.423921,"DDS demands","Known Flow",556928.008701,163540.588711,,0.000000,,,,,,-8.479999,,,,,,,,-7.582967,-8.479999,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102800252727","Nodes","252727",21.000000,54.333460,"DDS demands","Known Flow",556946.343706,163506.570702,,0.000000,,,,,,-4.750000,,,,,,,,-4.247535,-4.750000,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102802308001","Nodes","MILLFORD ROAD, Site ID 2068, 90800100120661",21.000000,63.000001,"Default Known Pressure Node","Known Pressure",556944.683706,163817.758786,,379.999987,,,,,,,,,,,,,,115.032062,128.639854,,,"",,,,,,,,,,,,,,
"90102800252730","Nodes","252730",21.000000,58.070981,"Default Known Flow Node","Known Flow",556951.630708,163985.947832,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,
"90102802308028","Nodes","2308028",21.000000,61.823025,"DDS demands","Known Flow",557293.062306,163539.580462,,0.000000,,,,,,-19.450000,,,,,,,,-17.392538,-19.450000,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102802308004","Nodes","THE BRIARS, Site ID 2069, 90800100120659",21.000000,67.999998,"Default Known Pressure Node","Known Pressure",556989.292718,163622.074733,,399.999988,,,,,,,,,,,,,,77.631312,86.814761,,,"",,,,,,,,,,,,,,
"90102802308054","Nodes","2308054",21.000000,57.536434,"DDS demands","Known Flow",557005.422722,163577.593721,,0.000000,,,,,,-9.529999,,,,,,,,-8.521896,-9.529999,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102800172873","Nodes","172873",21.000000,49.345443,"Default Known Flow Node","Known Flow",557055.363736,163845.990794,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,
"90102800172875","Nodes","172875",21.000000,49.388482,"Default Known Flow Node","Known Flow",557065.212799,163809.189552,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,
"90102800172874","Nodes","172874",21.000000,48.418412,"DDS demands","Known Flow",557058.819668,163637.158720,,0.000000,,,,,,-3.989999,,,,,,,,-3.567929,-3.989999,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102800172876","Nodes","172876",21.000000,48.506349,"DDS demands","Known Flow",557070.490956,163598.292354,,0.000000,,,,,,-4.940000,,,,,,,,-4.417436,-4.940000,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102800172880","Nodes","172880",21.000000,38.139106,"DDS demands","Known Flow",557083.565380,163948.125440,,0.000000,,,,,,-11.560000,,,,,,,,-10.337159,-11.560000,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102800172882","Nodes","172882",21.000000,38.205722,"DDS demands","Known Flow",557084.665060,163938.295330,,0.000000,,,,,,-12.199999,,,,,,,,-10.909458,-12.199999,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102800172889","Nodes","172889",21.000000,49.576455,"Default Known Flow Node","Known Flow",557158.121797,163665.196048,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,
"90102800256959","Nodes","256959",21.000000,49.576455,"DDS demands","Known Flow",557161.299765,163606.735729,,0.000000,,,,,,-6.329999,,,,,,,,-5.660399,-6.329999,,,"",,,,,,"D1 PROFILE",,,,,,,,
"90102802308055","Nodes","2308055",21.000000,55.956302,"DDS demands","Known Flow",557025.684414,163584.766470,,0.000000,,,,,,-3.370000,,,,,,,,-3.013514,-3.370000,,,"",,,,,,"D1 PROFILE",,,,,,,,
