"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"64300900000333","Nodes","333",21.000000,41.707628,"Default Known Flow Node","Known Flow",299303.692599,668249.672046,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64300900003034","Nodes","3034",21.000000,41.732815,"Default Known Flow Node","Known Flow",299305.972600,668250.584047,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64300900003467","Nodes","3467",21.000000,23.311376,"Default Known Flow Node","Known Flow",297875.142210,669712.023444,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64300900000707","Nodes","707",21.000000,23.703835,"DDS demands","Known Flow",297898.097216,669661.834431,,0.000000,,,,,,,-13.760000,,,,,-12.304439,-13.760000,,"",,,,,,,"D1 PROFILE",,,,
"64300900001019","Nodes","P08120232, BOGHALL PLAYING FIELDS MARINA ROAD, 54.83",22.999998,29.726116,"CSEP DDS Matched","Known Flow",299617.074826,668892.448681,,0.000000,,,,,,,,-54.830002,,,,-49.029970,-54.830002,,"",,,,,,,,"DC PROFILE",,,
"64300900000410","Nodes","410",21.000000,22.997968,"DDS demands","Known Flow",298283.484744,668930.609172,,0.000000,,,,,,,-12.359999,,,,,-11.052533,-12.359999,,"",,,,,,,"D1 PROFILE",,,,
"64300900000052","Nodes","52",21.000000,35.831962,"DDS demands","Known Flow",296995.971971,669534.834396,,0.000000,,,,,,,-1.519999,,,,,-1.359211,-1.519999,,"",,,,,,,"D1 PROFILE",,,,
"64300900000059","Nodes","59",21.000000,35.921329,"DDS demands","Known Flow",297038.846983,669427.334367,,0.000000,,,,,,,-26.420000,,,,,-23.625236,-26.420000,,"",,,,,,,"D1 PROFILE",,,,
"64300900000202","Nodes","202",21.000000,33.311393,"DDS demands","Known Flow",296814.596922,668143.459017,,0.000000,,,,,,,-11.920000,,,,,-10.659077,-11.920000,,"",,,,,,,"D1 PROFILE",,,,
"64300900000201","Nodes","12609/01, DALLING ROAD, 77.17",22.999998,27.127535,"CSEP DDS Matched","Known Flow",296704.846892,668221.959039,,0.000000,,,,,,,-14.199999,-77.169994,,,,-81.704682,-91.369988,,"",,,,,,,"D1 PROFILE","DC PROFILE",,,
