"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)"
"64403800000035","Nodes","35",21.000000,49.910569,"DDS demands","Known Flow",273002.626302,701376.499356,,0.000000,,,,,-1.370000,,-1.225078,-1.370000,,"",,,,,"D1 PROFILE",
"64403800000082","Nodes","82",21.000000,33.784673,"DDS demands","Known Flow",273083.090464,701120.717991,,0.000000,,,,,0.000000,,0.000000,0.000000,,"",,,,,"D1 PROFILE",
"64403800227497","Nodes","227497",21.000000,49.727413,"Default Known Flow Node","Known Flow",273063.581040,701331.427696,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800576978","Nodes","576978",21.000000,49.727413,"Default Known Flow Node","Known Flow",273061.589729,701331.294942,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800000091","Nodes","91",21.000000,47.491316,"DDS demands","Known Flow",272481.090300,701791.218173,,0.000000,,,,,-12.570000,,-11.240319,-12.570000,,"",,,,,"D1 PROFILE",
"64403800000092","Nodes","92",21.000000,45.603372,"DDS demands","Known Flow",272310.965254,701834.218185,,0.000000,,,,,-19.279999,,-17.240520,-19.279999,,"",,,,,"D1 PROFILE",
"64403800000073","Nodes","73",21.000000,32.814685,"DDS demands","Known Flow",272686.840420,701560.720144,,0.000000,,,,,-13.049999,,-11.669543,-13.049999,,"",,,,,"D1 PROFILE",
"64403800000090","Nodes","90",21.000000,49.374588,"DDS demands","Known Flow",272532.965314,701788.718173,,0.000000,,,,,-6.469999,,-5.785589,-6.469999,,"",,,,,"D1 PROFILE",
"64403800216297","Nodes","216297",21.000000,49.476752,"Default Known Flow Node","Known Flow",272531.215314,701816.093180,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800000087","Nodes","87",21.000000,44.604280,"DDS demands","Known Flow",272834.465396,701667.468140,,0.000000,,,,,-3.549999,,-3.174473,-3.549999,,"",,,,,"D1 PROFILE",
"64403800000086","Nodes","86",21.000000,44.663569,"DDS demands","Known Flow",272765.965378,701670.468140,,0.000000,-2.200000,,,,-17.540001,,-17.651863,-19.740001,,"","C1 PROFILE",,,,"D1 PROFILE",
"64403800000036","Nodes","36",21.000000,30.770280,"DDS demands","Known Flow",272581.840328,701697.593148,,0.000000,,,,,-21.500000,,-19.225685,-21.500000,,"",,,,,"D1 PROFILE",
"64403800000021","Nodes","21",21.000000,30.467335,"DDS demands","Known Flow",272486.590302,701750.593162,,0.000000,,,,,-7.970000,,-7.126916,-7.970000,,"",,,,,"D1 PROFILE",
"64403800575819","Nodes","575819",21.000000,47.001765,"DDS demands","Known Flow",272767.357871,701721.990380,,0.000000,-5.409999,,,,-0.270000,,-5.079157,-5.680000,,"","C1 PROFILE",,,,"",
"64403800227545","Nodes","227545",21.000000,44.732549,"Default Known Flow Node","Known Flow",272766.049867,701673.594236,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800227538","Nodes","227538",21.000000,29.282037,"Default Known Flow Node","Known Flow",272536.840315,701579.968116,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800000023","Nodes","23",21.000000,29.512290,"DDS demands","Known Flow",272516.941310,701538.295104,,0.000000,-9.989999,,,,-5.709999,,-14.039220,-15.699999,,"","C1 PROFILE",,,,"D1 PROFILE",
"64403800000071","Nodes","71",21.000000,32.719385,"DDS demands","Known Flow",272669.715352,701567.593112,,0.000000,,,,,-5.320000,,-4.757239,-5.320000,,"",,,,,"D1 PROFILE",
"64403800227530","Nodes","227530",21.000000,31.438137,"Default Known Flow Node","Known Flow",272628.965340,701555.093109,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800000074","Nodes","74",21.000000,33.436273,"DDS demands","Known Flow",272856.363402,701509.139097,,0.000000,,,,,-16.209998,,-14.495270,-16.209998,,"",,,,,"D1 PROFILE",
"64403800000075","Nodes","75",21.000000,33.099139,"DDS demands","Known Flow",272942.840426,701466.843085,,0.000000,-7.699999,,,,-12.819999,,-18.349351,-20.519998,,"","",,,,"D1 PROFILE",
"64403800000095","Nodes","95",21.000000,33.436826,"Default Known Flow Node","Known Flow",272851.975268,701507.914315,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800000030","Nodes","30",21.000000,33.553027,"DDS demands","Known Flow",272859.753403,701517.085099,,0.000000,,,,,-7.989999,,-7.144800,-7.989999,,"",,,,,"D1 PROFILE",
"64403800000033","Nodes","33",21.000000,34.912296,"DDS demands","Known Flow",272983.714167,701572.347883,,0.000000,,,,,-4.249999,,-3.800425,-4.249999,,"",,,,,"D1 PROFILE",
"64403800227536","Nodes","227536",21.000000,34.968659,"Default Known Flow Node","Known Flow",272993.420825,701576.448193,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800000076","Nodes","76",21.000000,34.822913,"DDS demands","Known Flow",272990.465439,701559.718110,,0.000000,,,,,-2.920000,,-2.611116,-2.920000,,"",,,,,"D1 PROFILE",
"64403800227543","Nodes","227543",21.000000,29.280354,"Default Known Flow Node","Known Flow",272555.090320,701596.843120,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800575816","Nodes","575816",21.000000,29.229673,"DDS demands","Known Flow",272569.590324,701611.218124,,0.000000,,,,,-1.049999,,-0.938928,-1.049999,,"",,,,,"",
"64403800000072","Nodes","72",21.000000,31.029051,"DDS demands","Known Flow",272613.526336,701550.511108,,0.000000,,,,,-8.560000,,-7.654505,-8.560000,,"",,,,,"D1 PROFILE",
"64403800575814","Nodes","575814",21.000000,31.438137,"Default Known Flow Node","Known Flow",272612.840336,701587.093118,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800227542","Nodes","227542",21.000000,32.302298,"DDS demands","Known Flow",272700.564472,701593.703726,,0.000000,,,,,-8.800000,,-7.869117,-8.800000,,"",,,,,"",
"64403800000088","Nodes","88",21.000000,43.863090,"DDS demands","Known Flow",272662.840350,701723.218155,,0.000000,,,,,-12.449999,,-11.133012,-12.449999,,"",,,,,"D1 PROFILE",
"64403800000002","Nodes","Doune DG, Tel, Clocked, Site ID 5042",21.000000,34.999999,"Default Known Pressure Node","Known Pressure",272996.090440,701582.468117,,581.999992,,,,,,,315.775156,353.130013,,"",,,,,,
"64403800227516","Nodes","227516",21.000000,34.658352,"Default Known Flow Node","Known Flow",273000.465442,701510.718097,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800000080","Nodes","80",21.000000,34.969592,"Default Known Flow Node","Known Flow",273000.590442,701577.218115,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800227521","Nodes","227521",21.000000,34.681649,"Default Known Flow Node","Known Flow",273000.465442,701517.843099,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800576981","Nodes","576981",21.000000,34.658352,"Default Known Flow Node","Known Flow",273003.465442,701497.093093,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800576982","Nodes","576982",21.000000,34.681649,"Default Known Flow Node","Known Flow",273002.965442,701534.093103,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800000042","Nodes","42",21.000000,33.081143,"DDS demands","Known Flow",272838.340397,701610.718124,,0.000000,,,,,-5.850000,,-5.231174,-5.850000,,"",,,,,"D1 PROFILE",
