"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64301300000365","Nodes","365",21.000000,33.699694,"DDS demands","Known Flow",350498.698530,673431.287456,,0.000000,,,,,,-8.209999,,,,,,,-7.341529,-8.209999,,"",,,,,,"D1 PROFILE",,,,,,
"64301300000357","Nodes","357",21.000000,31.843026,"DDS demands","Known Flow",350692.103582,673327.796428,,0.000000,,,,,,-6.740000,,,,,,,-6.027028,-6.740000,,"",,,,,,"D1 PROFILE",,,,,,
"64301300001014","Nodes","Logger 10040, 13 Chaly Beate",21.000000,31.825234,"Val Log Cath","Known Flow",350681.167173,673338.792953,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301300000368","Nodes","368",21.000000,31.763411,"DDS demands","Known Flow",350668.408444,673355.553564,,0.000000,,,,,,-4.060000,,,,,,,-3.630524,-4.060000,,"",,,,,,"D1 PROFILE",,,,,,
"64301300000150","Nodes","150",21.000000,44.397132,"DDS demands","Known Flow",351666.894848,674209.211668,,0.000000,,,,,,-9.720000,,,,,,,-8.691797,-9.720000,,"",,,,,,"D1 PROFILE",,,,,,
"64301300001013","Nodes",,21.000000,43.852269,"Default Known Flow Node","Known Flow",351692.397841,674223.128391,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301300000466","Nodes","466",21.000000,43.610075,"Default Known Flow Node","Known Flow",351708.048859,674240.662677,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301300000522","Nodes","P00075176, Briery Bank CSEP, 80.2",24.000000,28.660915,"CSEP DDS Matched","Known Flow",352097.651171,673329.680043,,0.000000,,,,,,,-80.199995,,,,,,-71.716270,-80.199995,,"",,,,,,,"DC PROFILE",,,,,
"64301300001006","Nodes","1006",21.000000,28.664630,"Default Known Flow Node","Known Flow",352233.821901,673407.854151,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301300000607","Nodes","607",21.000000,29.338450,"Default Known Flow Node","Known Flow",352084.890482,673698.579172,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
