"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"64304900000109","Nodes","109",21.000000,43.298723,"DDS demands","Known Flow",339359.578261,674190.668898,,0.000000,,,,,,-0.569999,,,,,,-0.509704,-0.569999,,"",,,,,,"D1 PROFILE",,,,,
"64304900001031","Nodes","P09121288, 7, HIGH STREET, 39.79",24.000000,26.329800,"CSEP DDS Matched","Known Flow",338185.023958,674255.420552,,0.000000,,,,,-15.970000,-4.330000,-23.820000,,,,,-39.452893,-44.120003,,"",,,,,"CC PROFILE","D1 PROFILE","DC PROFILE",,,,
"64304900000110","Nodes","110",21.000000,45.864003,"DDS demands","Known Flow",339384.333505,674140.990649,,0.000000,,,,,,-29.440000,,,,,,-26.325775,-29.440000,,"",,,,,,"D1 PROFILE",,,,,
"64304900000883","Nodes","883",21.000000,28.498062,"DDS demands","Known Flow",340389.761468,675733.605007,,0.000000,,,,,,-29.709999,,,,,,-26.567213,-29.709999,,"",,,,,,"D1 PROFILE",,,,,
"64304900012151","Nodes","12151",21.000000,28.491544,"Default Known Flow Node","Known Flow",340389.358779,675734.711083,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64304900001030","Nodes","1030",21.000000,27.938280,"DDS demands","Known Flow",338524.761051,674430.820788,,0.000000,,,,,,-22.169999,,,,,,-19.824811,-22.169999,,"",,,,,,"D1 PROFILE",,,,,
"64304900011976","Nodes","11976",21.000000,28.085167,"DDS demands","Known Flow",338499.733265,674397.585719,,0.000000,,,,,,-13.520000,,,,,,-12.089825,-13.520000,,"",,,,,,"D1 PROFILE",,,,,
"64304900011980","Nodes","11980",21.000000,28.513000,"Default Known Flow Node","Known Flow",338550.858278,674431.460728,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64304900000516","Nodes","Logger ID 10162, 87, North Seton Park",21.000000,32.825010,"Val Log Cath","Known Flow",340778.358885,675700.586074,,0.000000,,,,,,-19.769999,,,,,,-17.678687,-19.769999,,"",,,,,,"D1 PROFILE",,,,,
"64304900012142","Nodes","12142",21.000000,31.603016,"Default Known Flow Node","Known Flow",340848.483904,675719.586079,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64304900000514","Nodes","514",21.000000,33.119639,"DDS demands","Known Flow",340645.858849,675664.836064,,0.000000,,,,,,-6.199999,,,,,,-5.544150,-6.199999,,"",,,,,,"D1 PROFILE",,,,,
"64304900000515","Nodes","515",21.000000,33.013182,"DDS demands","Known Flow",340669.733855,675669.461065,,0.000000,,,,,,-9.399999,,,,,,-8.405647,-9.399999,,"",,,,,,"D1 PROFILE",,,,,
"64304900012132","Nodes","12132",21.000000,32.969616,"Default Known Flow Node","Known Flow",340678.108857,675673.211066,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
