"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"64301204904558","Nodes","4904558",21.000000,49.958319,"Default Known Flow Node","Known Flow",308700.225156,672446.835188,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64301200000009","Nodes","9",21.000000,49.739134,"DDS demands","Known Flow",308705.470012,672447.209821,,0.000000,,,,,,,-1.460000,,,,,-1.305558,-1.460000,,"",,,,,,,"D1 PROFILE",,,,
"64301210000965","Nodes","10000965",21.000000,49.462911,"Default Known Flow Node","Known Flow",308701.725156,672457.835191,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64301200000986","Nodes","986",21.000000,46.519672,"DDS demands","Known Flow",308656.850144,672544.585215,,0.000000,,,,,,,-3.650000,,,,,-3.263895,-3.650000,,"",,,,,,,"D1 PROFILE",,,,
"64301200000008","Nodes","8",21.000000,48.914001,"DDS demands","Known Flow",308716.600160,672545.085215,,0.000000,,,,,,,-5.349999,,,,,-4.784065,-5.349999,,"",,,,,,,"D1 PROFILE",,,,
"64301200001031","Nodes","Hoban Square RRI",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",308726.725163,672545.960215,,499.999994,,,,,,,,,,,,8.047960,8.999999,,"",,,,,,,,,,,
"64301200000988","Nodes","988",21.000000,49.891669,"DDS demands","Known Flow",308621.225134,672230.460130,,0.000000,,,,,,,-4.579999,,,,,-4.095518,-4.579999,,"",,,,,,,"D1 PROFILE",,,,
"64301200000010","Nodes","10",21.000000,49.979085,"DDS demands","Known Flow",308710.600159,672232.710130,,0.000000,,,,,,,-3.869999,,,,,-3.460623,-3.869999,,"",,,,,,,"D1 PROFILE",,,,
"64301200001030","Nodes","Blairmuir Terrace RRI",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",308714.100160,672236.835131,,499.999994,,,,,,,,,,,,7.556141,8.449999,,"",,,,,,,,,,,
"64301200000033","Nodes","33",21.000000,23.212744,"DDS demands","Known Flow",303780.631399,670762.246903,,0.000000,,,,,,,-7.159999,,,,,-6.402599,-7.159999,,"",,,,,,,"D1 PROFILE",,,,
"64301200000730","Nodes","730",21.000000,33.715348,"DDS demands","Known Flow",308728.250163,672331.101157,,0.000000,,,,,,,-0.550000,,,,,-0.491819,-0.550000,,"",,,,,,,"D1 PROFILE",,,,
"64301200000166","Nodes","166",21.000000,33.263066,"DDS demands","Known Flow",308701.296156,672399.781176,,0.000000,,,,,,,-5.119999,,,,,-4.578395,-5.119999,,"",,,,,,,"D1 PROFILE",,,,
"64301200000120","Nodes","120",21.000000,33.268027,"DDS demands","Known Flow",307129.495067,672322.844710,,0.000000,,,,,,,-17.010000,,,,,-15.210646,-17.010000,,"",,,,,,,"D1 PROFILE",,,,
"64301200000232","Nodes","232",21.000000,32.749243,"DDS demands","Known Flow",305483.349280,671739.209996,,0.000000,,,,,,,-10.979999,,,,,-9.818512,-10.979999,,"",,,,,,,"D1 PROFILE",,,,
"64301200001026","Nodes","1026",21.000000,32.894366,"Default Known Flow Node","Known Flow",305474.310305,671737.162707,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64301200001014","Nodes","1014",21.000000,33.022371,"Default Known Flow Node","Known Flow",305454.099009,671732.586025,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64301200000031","Nodes","31",21.000000,23.002370,"DDS demands","Known Flow",303763.611696,670797.285981,,0.000000,,,,,,,-16.739999,,,,,-14.969207,-16.739999,,"",,,,,,,"D1 PROFILE",,,,
"64301200000532","Nodes","532",21.000000,24.230126,"Default Known Flow Node","Known Flow",308079.974987,671813.335016,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64301200001024","Nodes","Queens Avenue OPR, Site ID 7020",21.000000,24.278280,"OPR","Known Flow",308067.748227,671811.479921,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64301200000558","Nodes","558",21.000000,24.441904,"DDS demands","Known Flow",308022.974971,671881.710035,,0.000000,,,,,,,-20.759999,,,,,-18.563963,-20.759999,,"",,,,,,,"D1 PROFILE",,,,
"64301200000175","Nodes","175",21.000000,35.443289,"DDS demands","Known Flow",308653.054803,672219.341424,,0.000000,,,,,,,-16.569999,,,,,-14.817190,-16.569999,,"",,,,,,,"D1 PROFILE",,,,
"64301200000832","Nodes","832",21.000000,35.674840,"DDS demands","Known Flow",308722.190321,672219.295285,,0.000000,,,,,,,-3.829999,,,,,-3.424854,-3.829999,,"",,,,,,,"D1 PROFILE",,,,
"64301200001128","Nodes","P1012304, Respite Centre, Johnston AvenueL, 32.68scmh",24.000000,24.590659,"CSEP DDS Matched","Known Flow",305828.099374,671521.959937,,0.000000,,,,,,,,-32.679999,,,,-29.223041,-32.679999,,"",,,,,,,,"DC PROFILE",,,
"64301200000383","Nodes","383",21.000000,33.001421,"DDS demands","Known Flow",308938.888221,672326.222156,,0.000000,,,,,,,-8.220000,,,,,-7.350471,-8.220000,,"",,,,,,,"D1 PROFILE",,,,
"64301200000181","Nodes","181",21.000000,32.949597,"DDS demands","Known Flow",308943.927623,672322.902973,,0.000000,,,,,,,-1.710000,,,,,-1.529112,-1.710000,,"",,,,,,,"D1 PROFILE",,,,
"64301210000869","Nodes","10000869",21.000000,32.944797,"Default Known Flow Node","Known Flow",308945.713223,672313.441152,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64301200000178","Nodes","178",21.000000,36.460993,"Default Known Flow Node","Known Flow",308887.475207,672218.710126,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64301200000180","Nodes","180",21.000000,33.355994,"DDS demands","Known Flow",308806.689185,672342.660160,,0.000000,,,,,,,-3.089999,,,,,-2.763133,-3.089999,,"",,,,,,,"D1 PROFILE",,,,
"64301200000836","Nodes","836",21.000000,33.425638,"DDS demands","Known Flow",308794.640003,672338.508190,,0.000000,,,,,,,-7.629999,,,,,-6.822882,-7.629999,,"",,,,,,,"D1 PROFILE",,,,
"64301210000887","Nodes","10000887",21.000000,33.545184,"Default Known Flow Node","Known Flow",308779.718654,672334.313785,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64301200000437","Nodes","437",21.000000,33.200896,"Default Known Flow Node","Known Flow",307118.394725,672143.475106,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64301200001018","Nodes","1018",21.000000,32.553008,"DDS demands","Known Flow",307111.821460,672186.961359,,0.000000,,,,,,,-5.599999,,,,,-5.007620,-5.599999,,"",,,,,,,"D1 PROFILE",,,,
"64301200000457","Nodes","457",21.000000,32.251906,"Default Known Flow Node","Known Flow",307108.474723,672207.460123,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
